Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Invercargill City,5-11,"5,141","2,578","1,171",NA,NA,50%,23%,NA
Kaikoura District,12+,"3,473","3,209","3,174","3,015","2,228",92%,91%,74%
Kaikoura District,5-11,315,150,81,NA,NA,48%,26%,NA
Kaipara District,12+,"20,170","18,113","17,686","16,748","10,978",90%,88%,66%
Kaipara District,5-11,"2,228",740,282,NA,NA,33%,13%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,588","33,300",>95%,>95%,78%
Kapiti Coast District,5-11,"4,658","2,566","1,434",NA,NA,55%,31%,NA
Kawerau District,12+,"6,115","5,517","5,326","4,885","2,901",90%,87%,59%
Kawerau District,5-11,854,211,43,NA,NA,25%,5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"81,706","60,444",>95%,>95%,74%
Lower Hutt City,5-11,"10,443","6,605","3,284",NA,NA,63%,31%,NA
Mackenzie District,12+,"4,131","3,857","3,814","3,631","2,558",93%,92%,70%
Mackenzie District,5-11,387,189,76,NA,NA,49%,20%,NA
Manawatu District,12+,"25,552",Masked,Masked,"23,103","16,253",>95%,>95%,70%
Manawatu District,5-11,"3,183","1,688",773,NA,NA,53%,24%,NA
Marlborough District,12+,"41,124",Masked,Masked,"38,293","28,383",>95%,>95%,74%
Marlborough District,5-11,"4,156","2,278","1,090",NA,NA,55%,26%,NA
Masterton District,12+,"22,673",Masked,Masked,"20,340","14,223",>95%,>95%,70%
Masterton District,5-11,"2,400","1,156",414,NA,NA,48%,17%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,613","25,943","16,708",>95%,95%,64%
Matamata-Piako District,5-11,"3,307","1,383",453,NA,NA,42%,14%,NA
Napier City,12+,"54,392",Masked,"51,537","48,288","34,063",>95%,95%,71%
Napier City,5-11,"6,159","2,946","1,143",NA,NA,48%,19%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,619","29,941",>95%,>95%,74%
Nelson City,5-11,"4,453","2,673","1,108",NA,NA,60%,25%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"60,935","41,767",>95%,>95%,69%
New Plymouth District,5-11,"8,373","4,012","1,881",NA,NA,48%,22%,NA
Opotiki District,12+,"7,121","6,716","6,441","5,991","3,780",94%,90%,63%
Opotiki District,5-11,967,257,70,NA,NA,27%,7%,NA
Otorohanga District,12+,"7,960","7,385","7,245","6,731","3,926",93%,91%,58%
Otorohanga District,5-11,"1,086",345,122,NA,NA,32%,11%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"65,035","47,187",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,884","2,417",NA,NA,58%,29%,NA
Porirua City,12+,"47,708",Masked,Masked,"42,782","30,566",>95%,>95%,71%
Porirua City,5-11,"6,751","3,908","1,632",NA,NA,58%,24%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"35,886","23,025",>95%,>95%,64%
Queenstown-Lakes District,5-11,"3,430","2,140",964,NA,NA,62%,28%,NA
Rangitikei District,12+,"12,699","11,838","11,643","10,945","7,672",93%,92%,70%
Rangitikei District,5-11,"1,491",685,266,NA,NA,46%,18%,NA
Rotorua District,12+,"58,081",Masked,"54,424","50,438","33,009",>95%,94%,65%
Rotorua District,5-11,"7,718","3,324","1,257",NA,NA,43%,16%,NA
Ruapehu District,12+,"9,936","8,841","8,579","8,008","5,088",89%,86%,64%
Ruapehu District,5-11,"1,366",415,156,NA,NA,30%,11%,NA
Selwyn District,12+,"52,972",Masked,Masked,"53,537","39,831",>95%,>95%,74%
Selwyn District,5-11,"6,904","5,042","2,660",NA,NA,73%,39%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"18,867","12,173",>95%,>95%,65%
South Taranaki District,5-11,"2,692","1,192",526,NA,NA,44%,20%,NA
South Waikato District,12+,"19,628","18,126","17,714","16,472","9,872",92%,90%,60%
South Waikato District,5-11,"2,626",948,300,NA,NA,36%,11%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,887","6,694",>95%,>95%,75%
South Wairarapa District,5-11,997,558,243,NA,NA,56%,24%,NA
Southland District,12+,"25,064","23,370","23,043","21,487","14,424",93%,92%,67%
Southland District,5-11,"3,087","1,357",597,NA,NA,44%,19%,NA
Stratford District,12+,"7,475",Masked,"7,013","6,536","4,348",>95%,94%,67%
Stratford District,5-11,993,486,217,NA,NA,49%,22%,NA
Tararua District,12+,"15,002","13,987","13,729","12,813","8,570",93%,92%,67%
Tararua District,5-11,"1,897",772,310,NA,NA,41%,16%,NA
Tasman District,12+,"45,608",Masked,Masked,"41,188","29,306",>95%,>95%,71%
Tasman District,5-11,"4,679","2,207","1,079",NA,NA,47%,23%,NA
Taupo District,12+,"32,180","30,565","30,032","28,142","18,322",95%,93%,65%
Taupo District,5-11,"3,743","1,475",589,NA,NA,39%,16%,NA
Tauranga City,12+,"121,578",Masked,Masked,"110,745","73,104",>95%,>95%,66%
Tauranga City,5-11,"14,189","6,733","2,318",NA,NA,47%,16%,NA
Thames-Coromandel District,12+,"26,265","24,814","24,424","23,355","17,267",94%,93%,74%
Thames-Coromandel District,5-11,"2,164",862,390,NA,NA,40%,18%,NA
Timaru District,12+,"41,091",Masked,"38,720","36,419","27,046",>95%,94%,74%
Timaru District,5-11,"4,189","2,306",967,NA,NA,55%,23%,NA
Unknown,12+,"129,607","55,718","54,036","50,891","30,477",43%,42%,60%
Unknown,5-11,"11,053","2,546","1,187",NA,NA,23%,11%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"33,901","25,404",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,866","1,434",NA,NA,67%,34%,NA
Waikato District,12+,"63,214",Masked,Masked,"56,975","36,799",>95%,>95%,65%
Waikato District,5-11,"8,689","4,340","1,681",NA,NA,50%,19%,NA
Waimakariri District,12+,"52,717",Masked,Masked,"48,486","35,255",>95%,>95%,73%
Waimakariri District,5-11,"5,436","2,950","1,581",NA,NA,54%,29%,NA
Waimate District,12+,"6,936","6,491","6,413","6,044","4,333",94%,92%,72%
Waimate District,5-11,693,301,126,NA,NA,43%,18%,NA
Waipa District,12+,"46,630",Masked,Masked,"42,124","29,108",>95%,>95%,69%
Waipa District,5-11,"5,531","2,993","1,409",NA,NA,54%,25%,NA
Wairoa District,12+,"6,303","5,962","5,751","5,336","3,523",95%,91%,66%
Wairoa District,5-11,896,283,71,NA,NA,32%,8%,NA
Waitaki District,12+,"19,318",Masked,"18,183","17,092","12,399",>95%,94%,73%
Waitaki District,5-11,"2,012","1,000",389,NA,NA,50%,19%,NA
Waitomo District,12+,"7,758","7,151","6,980","6,489","3,908",92%,90%,60%
Waitomo District,5-11,967,343,111,NA,NA,35%,11%,NA
Wellington City,12+,"178,488",Masked,Masked,"169,415","137,459",>95%,>95%,81%
Wellington City,5-11,"16,089","12,126","7,660",NA,NA,75%,48%,NA
Western Bay of Plenty District,12+,"45,656",Masked,Masked,"40,896","26,634",>95%,>95%,65%
Western Bay of Plenty District,5-11,"4,861","1,913",627,NA,NA,39%,13%,NA
Westland District,12+,"7,098","6,714","6,632","6,267","4,387",95%,93%,70%
Westland District,5-11,670,305,142,NA,NA,46%,21%,NA
Whakatane District,12+,"30,314","27,298","26,623","24,757","15,801",90%,88%,64%
Whakatane District,5-11,"3,821","1,309",525,NA,NA,34%,14%,NA
Whanganui District,12+,"39,880","37,144","36,557","34,280","24,446",93%,92%,71%
Whanganui District,5-11,"4,481","1,846",865,NA,NA,41%,19%,NA
Whangarei District,12+,"78,668","73,610","72,290","67,552","46,679",94%,92%,69%
Whangarei District,5-11,"9,594","3,893","1,486",NA,NA,41%,15%,NA
