Date,First dose administered,Second dose administered
2021-08-06,30409,11702
2021-08-07,27926,8879
2021-08-08,15888,4625
2021-08-09,26918,11644
2021-08-10,31128,15943
2021-08-11,32044,16921
2021-08-12,32533,16533
2021-08-13,31414,15647
2021-08-14,30464,13303
2021-08-15,18295,7385
2021-08-16,30386,16039
2021-08-17,35870,20407
2021-08-18,416,100
2021-08-19,21604,8754
2021-08-20,38843,20184
2021-08-21,38417,15866
2021-08-22,28536,9067
2021-08-23,46856,19535
2021-08-24,59506,23631
2021-08-25,63500,26445
2021-08-26,67961,25478
2021-08-27,67521,24709
2021-08-28,56913,22376
2021-08-29,37132,11464
2021-08-30,54989,23752
2021-08-31,59423,27461
2021-09-01,63664,27667
2021-09-02,65280,25292
2021-09-03,61980,25890
2021-09-04,56162,22560
2021-09-05,27055,12006
2021-09-06,45371,21803
2021-09-07,50055,23445
2021-09-08,48895,18549
2021-09-09,46576,15617
2021-09-10,44224,21169
2021-09-11,39090,23296
2021-09-12,20697,13446
2021-09-13,34581,20963
2021-09-14,39792,22867
2021-09-15,40088,23205
2021-09-16,37347,24139
2021-09-17,33426,27674
2021-09-18,29374,24609
2021-09-19,14326,12581
2021-09-20,24855,25920
2021-09-21,27858,26562
2021-09-22,24603,25546
2021-09-23,21297,28536
2021-09-24,19198,31801
2021-09-25,19598,32292
2021-09-26,8307,16599
2021-09-27,12793,28268
2021-09-28,13674,31243
2021-09-29,14097,27122
2021-09-30,14230,32389
2021-10-01,12434,35500
2021-10-02,12976,37431
2021-10-03,7143,20045
2021-10-04,15036,41190
2021-10-05,17811,46370
2021-10-06,19128,51671
2021-10-07,19966,62966
2021-10-08,18830,67483
2021-10-09,18494,63743
2021-10-10,9123,33237
2021-10-11,15365,54331
2021-10-12,17708,55751
2021-10-13,15921,53459
2021-10-14,15271,53058
2021-10-15,14143,55768
2021-10-16,39740,91558
2021-10-17,6302,23470
2021-10-18,10090,32853
2021-10-19,10539,32514
2021-10-20,10541,32832
2021-10-21,10204,31448
2021-10-22,11573,33519
2021-10-23,11936,30805
2021-10-24,5383,13718
2021-10-25,3542,7199
2021-10-26,11013,31380
2021-10-27,11054,28452
2021-10-28,13042,32401
2021-10-29,11255,32028
2021-10-30,10868,32046
2021-10-31,4908,15353
2021-11-01,7312,20371
2021-11-02,7667,21479
2021-11-03,6844,20549
2021-11-04,6750,19622
2021-11-05,6567,21634
2021-11-06,7477,26570
2021-11-07,3290,11022
2021-11-08,5254,16257
2021-11-09,5968,16476
2021-11-10,6174,16067
2021-11-11,6432,16606
2021-11-12,6471,16808
2021-11-13,7254,20004
2021-11-14,4662,10005
2021-11-15,7845,13745
2021-11-16,6727,14464
2021-11-17,6271,14266
2021-11-18,6724,14096
2021-11-19,6870,15815
2021-11-20,6047,15563
2021-11-21,3099,6777
2021-11-22,4809,10493
2021-11-23,6496,12384
