Week ending date,DHB of Residence,Ethnic group,People partially vaccinated,People completed primary course
2021-02-21,Tairawhiti,Unknown,<5,0
2021-02-21,Capital and Coast,European or other,26,12
2021-02-21,Nelson Marlborough,European or other,9,8
2021-02-21,Lakes,Unknown,<5,0
2021-02-21,Canterbury,European or other,28,12
2021-02-21,Hawkes Bay,Maori,<5,0
2021-02-21,Southern,Asian,<5,10
2021-02-21,Whanganui,Asian,0,<5
2021-02-21,Waitemata,Maori,7,0
2021-02-21,Auckland,European or other,54,16
2021-02-21,Northland,Maori,<5,0
2021-02-21,Hutt Valley,Maori,<5,0
2021-02-21,Counties Manukau,Unknown,5,5
2021-02-21,Bay of Plenty,European or other,13,10
2021-02-21,Whanganui,European or other,0,<5
2021-02-21,Bay of Plenty,Unknown,<5,<5
2021-02-21,Lakes,European or other,<5,<5
2021-02-21,Canterbury,Unknown,24,14
2021-02-21,Bay of Plenty,Asian,7,6
2021-02-21,Southern,Unknown,<5,13
2021-02-21,Capital and Coast,Pacific Peoples,<5,0
2021-02-21,Waikato,Unknown,6,8
2021-02-21,Nelson Marlborough,Asian,0,5
2021-02-21,Canterbury,Maori,<5,0
2021-02-21,Wairarapa,Asian,<5,0
2021-02-21,Waitemata,Asian,39,30
2021-02-21,Overseas and undefined,Unknown,<5,<5
2021-02-21,Northland,Unknown,<5,6
2021-02-21,Wairarapa,Unknown,<5,<5
2021-02-21,Tairawhiti,European or other,0,<5
2021-02-21,Hawkes Bay,European or other,7,<5
2021-02-28,Tairawhiti,Asian,<5,0
2021-02-28,Wairarapa,Asian,<5,<5
2021-02-28,Waitemata,European or other,855,22
2021-02-28,Hawkes Bay,European or other,32,<5
2021-02-28,Hawkes Bay,Maori,11,<5
2021-02-28,Waikato,European or other,156,11
2021-02-28,Lakes,Pacific Peoples,<5,0
2021-02-28,Canterbury,European or other,529,20
2021-02-28,Waikato,Unknown,10,7
2021-02-28,Overseas and undefined,Unknown,0,<5
2021-02-28,Canterbury,Unknown,33,41
2021-02-28,Hutt Valley,European or other,30,<5
2021-02-28,Northland,Unknown,<5,6
2021-02-28,Wairarapa,European or other,5,0
2021-02-28,Bay of Plenty,Maori,12,<5
2021-02-28,Northland,Maori,8,<5
2021-02-28,Counties Manukau,Maori,180,0
2021-02-28,Counties Manukau,Pacific Peoples,399,<5
2021-02-28,MidCentral,Pacific Peoples,6,0
2021-02-28,Bay of Plenty,Asian,15,6
2021-02-28,Taranaki,Asian,<5,0
2021-02-28,Hutt Valley,Asian,5,<5
2021-02-28,Capital and Coast,Pacific Peoples,10,0
2021-02-28,Bay of Plenty,European or other,53,15
2021-02-28,Whanganui,Unknown,<5,0
2021-02-28,Whanganui,Maori,<5,0
2021-02-28,Counties Manukau,Unknown,12,5
2021-02-28,Canterbury,Maori,61,0
2021-02-28,South Canterbury,Pacific Peoples,<5,0
2021-02-28,Wairarapa,Unknown,<5,0
2021-02-28,Northland,European or other,41,9
2021-02-28,MidCentral,Maori,21,0
2021-02-28,Hawkes Bay,Unknown,<5,7
2021-02-28,Canterbury,Asian,106,7
2021-02-28,Nelson Marlborough,Pacific Peoples,<5,0
2021-02-28,Whanganui,European or other,10,<5
2021-02-28,Counties Manukau,European or other,591,<5
2021-02-28,Waikato,Asian,56,<5
