Week ending,Group,DHB of service,Dose number,# doses administered,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,MidCentral,2,5,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Nelson Marlborough,1,35,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Nelson Marlborough,2,20,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Northland,1,21,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Northland,2,10,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Other Sites,1,33,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Other Sites,2,12,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,South Canterbury,1,12,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,South Canterbury,2,13,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Southern,1,73,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Southern,2,120,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Tairawhiti,2,5,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Taranaki,1,93,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Taranaki,2,6,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Waikato,1,20,,,,,,,,,,,,,,,,,,
29/08/2021,Group 1,Waikato,2,14,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Auckland Metro,1,6578,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Auckland Metro,2,8793,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Bay of Plenty,1,1136,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Bay of Plenty,2,482,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Canterbury,1,6143,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Canterbury,2,782,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Capital & Coast and Hutt Valley,1,3275,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Capital & Coast and Hutt Valley,2,651,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Hawke's Bay,1,483,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Hawke's Bay,2,125,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Lakes,1,112,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Lakes,2,60,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,MidCentral,1,710,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,MidCentral,2,374,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Nelson Marlborough,1,1215,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Nelson Marlborough,2,327,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Northland,1,597,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Northland,2,387,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Other Sites,1,2417,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Other Sites,2,176,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,South Canterbury,1,76,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,South Canterbury,2,87,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Southern,1,1315,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Southern,2,984,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Tairawhiti,1,458,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Tairawhiti,2,491,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Taranaki,1,977,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Taranaki,2,133,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Waikato,1,1002,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Waikato,2,1385,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Wairarapa,1,87,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Wairarapa,2,25,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,West Coast,1,24,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,West Coast,2,14,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Whanganui,1,315,,,,,,,,,,,,,,,,,,
29/08/2021,Group 2,Whanganui,2,72,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Auckland Metro,1,7261,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Auckland Metro,2,9644,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Bay of Plenty,1,1276,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Bay of Plenty,2,4251,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Canterbury,1,5768,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Canterbury,2,11162,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Capital & Coast and Hutt Valley,1,4977,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Capital & Coast and Hutt Valley,2,11796,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Hawke's Bay,1,1862,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Hawke's Bay,2,3355,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Lakes,1,297,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Lakes,2,575,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,MidCentral,1,906,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,MidCentral,2,2741,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Nelson Marlborough,1,918,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Nelson Marlborough,2,3787,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Northland,1,934,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Northland,2,1586,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Other Sites,1,33,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Other Sites,2,57,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,South Canterbury,1,158,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,South Canterbury,2,925,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Southern,1,2864,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Southern,2,8233,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Tairawhiti,1,183,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Tairawhiti,2,491,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Taranaki,1,878,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Taranaki,2,1955,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Waikato,1,4586,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Waikato,2,5558,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Wairarapa,1,358,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Wairarapa,2,729,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,West Coast,1,180,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,West Coast,2,253,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Whanganui,1,884,,,,,,,,,,,,,,,,,,
29/08/2021,Group 3,Whanganui,2,1252,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Auckland Metro,1,103277,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Auckland Metro,2,23081,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Bay of Plenty,1,9978,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Bay of Plenty,2,2038,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Canterbury,1,30651,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Canterbury,2,5674,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Capital & Coast and Hutt Valley,1,40680,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Capital & Coast and Hutt Valley,2,5583,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Hawke's Bay,1,12676,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Hawke's Bay,2,2342,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Lakes,1,4944,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Lakes,2,1764,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,MidCentral,1,11616,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,MidCentral,2,2063,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Nelson Marlborough,1,15869,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Nelson Marlborough,2,3037,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Northland,1,10648,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Northland,2,3029,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Other Sites,1,3083,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Other Sites,2,144,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,South Canterbury,1,4871,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,South Canterbury,2,950,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Southern,1,29903,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Southern,2,6389,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Tairawhiti,1,3385,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Tairawhiti,2,944,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Taranaki,1,9321,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Taranaki,2,1115,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Waikato,1,32706,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Waikato,2,7359,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Wairarapa,1,2323,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Wairarapa,2,794,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,West Coast,1,1761,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,West Coast,2,598,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Whanganui,1,4210,,,,,,,,,,,,,,,,,,
29/08/2021,Group 4,Whanganui,2,1158,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Auckland Metro,1,129,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Auckland Metro,2,120,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Bay of Plenty,2,18,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Canterbury,1,45,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Canterbury,2,57,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Capital & Coast and Hutt Valley,1,25,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Capital & Coast and Hutt Valley,2,81,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Hawke's Bay,1,14,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Nelson Marlborough,1,7,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Nelson Marlborough,2,11,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Northland,1,13,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Northland,2,5,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Other Sites,1,6,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Southern,1,7,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Southern,2,29,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Tairawhiti,1,5,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Waikato,1,8,,,,,,,,,,,,,,,,,,
05/09/2021,Group 1,Waikato,2,6,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Auckland Metro,1,1220,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Auckland Metro,2,2814,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Bay of Plenty,1,109,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Bay of Plenty,2,141,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Canterbury,1,1235,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Canterbury,2,210,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Capital & Coast and Hutt Valley,1,555,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Capital & Coast and Hutt Valley,2,133,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Hawke's Bay,1,44,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Hawke's Bay,2,39,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Lakes,1,12,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Lakes,2,14,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,MidCentral,1,200,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,MidCentral,2,80,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Nelson Marlborough,1,57,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Nelson Marlborough,2,79,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Northland,1,69,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Northland,2,143,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Other Sites,1,798,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Other Sites,2,164,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,South Canterbury,1,34,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,South Canterbury,2,28,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Southern,1,168,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Southern,2,253,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Tairawhiti,1,14,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Tairawhiti,2,73,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Taranaki,1,91,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Taranaki,2,34,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Waikato,1,162,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Waikato,2,291,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Wairarapa,1,31,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Wairarapa,2,10,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,West Coast,1,8,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Whanganui,1,27,,,,,,,,,,,,,,,,,,
05/09/2021,Group 2,Whanganui,2,12,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Auckland Metro,1,2420,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Auckland Metro,2,3604,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Bay of Plenty,1,351,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Bay of Plenty,2,1251,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Canterbury,1,1488,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Canterbury,2,3227,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Capital & Coast and Hutt Valley,1,1009,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Capital & Coast and Hutt Valley,2,3230,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Hawke's Bay,1,429,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Hawke's Bay,2,1321,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Lakes,1,56,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Lakes,2,117,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,MidCentral,1,226,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,MidCentral,2,683,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Nelson Marlborough,1,102,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Nelson Marlborough,2,447,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Northland,1,278,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Northland,2,560,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Other Sites,1,7,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Other Sites,2,13,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,South Canterbury,1,41,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,South Canterbury,2,195,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Southern,1,465,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Southern,2,2255,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Tairawhiti,1,47,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Tairawhiti,2,146,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Taranaki,1,390,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Taranaki,2,376,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Waikato,1,1033,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Waikato,2,1696,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Wairarapa,1,26,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Wairarapa,2,170,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,West Coast,1,17,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,West Coast,2,20,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Whanganui,1,96,,,,,,,,,,,,,,,,,,
05/09/2021,Group 3,Whanganui,2,270,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Auckland Metro,1,33221,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Auckland Metro,2,9589,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Bay of Plenty,1,3486,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Bay of Plenty,2,890,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Canterbury,1,10340,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Canterbury,2,2098,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Capital & Coast and Hutt Valley,1,14588,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Capital & Coast and Hutt Valley,2,2067,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Hawke's Bay,1,2747,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Hawke's Bay,2,826,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Lakes,1,855,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Lakes,2,383,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,MidCentral,1,3215,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,MidCentral,2,860,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Nelson Marlborough,1,2099,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Nelson Marlborough,2,959,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Northland,1,4034,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Northland,2,1004,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Other Sites,1,554,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Other Sites,2,95,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,South Canterbury,1,1251,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,South Canterbury,2,464,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Southern,1,8342,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Southern,2,3156,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Tairawhiti,1,619,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Tairawhiti,2,452,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Taranaki,1,1566,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Taranaki,2,296,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Waikato,1,9485,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Waikato,2,2321,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Wairarapa,1,739,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Wairarapa,2,402,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,West Coast,1,296,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,West Coast,2,133,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Whanganui,1,590,,,,,,,,,,,,,,,,,,
05/09/2021,Group 4,Whanganui,2,347,,,,,,,,,,,,,,,,,,
