DHB of residence,Ethnic group,Age group,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people,,,,,,,,,,,,,,,
South Canterbury,European or Other,55-59,"2,950","1,426","4,095",720,348,,,,,,,,,,,,,,,
South Canterbury,European or Other,60-64,"3,232","2,238","3,949",818,567,,,,,,,,,,,,,,,
South Canterbury,European or Other,65+,"11,653","10,623","12,697",918,837,,,,,,,,,,,,,,,
South Canterbury,Maori,12-15,89,0,384,232,0,,,,,,,,,,,,,,,
South Canterbury,Maori,16-19,86,23,321,268,72,,,,,,,,,,,,,,,
South Canterbury,Maori,20-24,69,31,385,179,81,,,,,,,,,,,,,,,
South Canterbury,Maori,25-29,61,30,330,185,91,,,,,,,,,,,,,,,
South Canterbury,Maori,30-34,87,31,317,274,98,,,,,,,,,,,,,,,
South Canterbury,Maori,35-39,82,34,220,373,155,,,,,,,,,,,,,,,
South Canterbury,Maori,40-44,97,39,258,376,151,,,,,,,,,,,,,,,
South Canterbury,Maori,45-49,129,56,279,462,201,,,,,,,,,,,,,,,
South Canterbury,Maori,50-54,130,63,235,553,268,,,,,,,,,,,,,,,
South Canterbury,Maori,55-59,145,81,221,656,367,,,,,,,,,,,,,,,
South Canterbury,Maori,60-64,119,84,167,713,503,,,,,,,,,,,,,,,
South Canterbury,Maori,65+,293,269,311,942,865,,,,,,,,,,,,,,,
South Canterbury,Pacific Peoples,12-15,29,0,71,408,0,,,,,,,,,,,,,,,
South Canterbury,Pacific Peoples,16-19,15,5,76,197,66,,,,,,,,,,,,,,,
South Canterbury,Pacific Peoples,20-24,27,9,109,248,83,,,,,,,,,,,,,,,
South Canterbury,Pacific Peoples,25-29,43,17,98,439,173,,,,,,,,,,,,,,,
South Canterbury,Pacific Peoples,30-34,45,16,116,388,138,,,,,,,,,,,,,,,
South Canterbury,Pacific Peoples,35-39,47,15,107,439,140,,,,,,,,,,,,,,,
South Canterbury,Pacific Peoples,40-44,56,21,89,629,236,,,,,,,,,,,,,,,
South Canterbury,Pacific Peoples,45-49,31,9,51,608,176,,,,,,,,,,,,,,,
South Canterbury,Pacific Peoples,50-54,24,12,37,649,324,,,,,,,,,,,,,,,
South Canterbury,Pacific Peoples,55-59,12,0,23,522,0,,,,,,,,,,,,,,,
South Canterbury,Pacific Peoples,60-64,19,13,24,792,542,,,,,,,,,,,,,,,
South Canterbury,Pacific Peoples,65+,30,27,36,833,750,,,,,,,,,,,,,,,
South Canterbury,Unknown,45-49,9,0,8,"1,125",0,,,,,,,,,,,,,,,
South Canterbury,Unknown,55-59,6,5,8,750,625,,,,,,,,,,,,,,,
South Canterbury,Unknown,65+,7,0,7,"1,000",0,,,,,,,,,,,,,,,
Southern,Asian,12-15,371,0,927,400,0,,,,,,,,,,,,,,,
Southern,Asian,16-19,774,162,"1,267",611,128,,,,,,,,,,,,,,,
Southern,Asian,20-24,"1,555",750,"1,847",842,406,,,,,,,,,,,,,,,
Southern,Asian,25-29,"1,443",571,"2,152",671,265,,,,,,,,,,,,,,,
Southern,Asian,30-34,"1,964",818,"2,669",736,306,,,,,,,,,,,,,,,
Southern,Asian,35-39,"1,698",696,"2,428",699,287,,,,,,,,,,,,,,,
Southern,Asian,40-44,"1,203",445,"1,669",721,267,,,,,,,,,,,,,,,
Southern,Asian,45-49,"1,013",368,"1,251",810,294,,,,,,,,,,,,,,,
Southern,Asian,50-54,727,266,887,820,300,,,,,,,,,,,,,,,
Southern,Asian,55-59,525,215,672,781,320,,,,,,,,,,,,,,,
Southern,Asian,60-64,425,244,484,878,504,,,,,,,,,,,,,,,
Southern,Asian,65+,644,481,756,852,636,,,,,,,,,,,,,,,
Southern,European or Other,12-15,"4,152",0,"12,088",343,0,,,,,,,,,,,,,,,
Southern,European or Other,16-19,"6,028","1,014","13,651",442,74,,,,,,,,,,,,,,,
Southern,European or Other,20-24,"8,724","2,762","18,021",484,153,,,,,,,,,,,,,,,
Southern,European or Other,25-29,"6,813","2,418","17,765",384,136,,,,,,,,,,,,,,,
Southern,European or Other,30-34,"7,978","2,475","17,577",454,141,,,,,,,,,,,,,,,
Southern,European or Other,35-39,"7,951","2,561","16,257",489,158,,,,,,,,,,,,,,,
Southern,European or Other,40-44,"8,558","2,847","15,986",535,178,,,,,,,,,,,,,,,
Southern,European or Other,45-49,"11,028","3,885","18,190",606,214,,,,,,,,,,,,,,,
Southern,European or Other,50-54,"12,645","4,791","18,051",701,265,,,,,,,,,,,,,,,
Southern,European or Other,55-59,"14,579","6,326","20,230",721,313,,,,,,,,,,,,,,,
Southern,European or Other,60-64,"15,535","8,550","19,008",817,450,,,,,,,,,,,,,,,
Southern,European or Other,65+,"48,851","38,945","53,840",907,723,,,,,,,,,,,,,,,
Southern,Maori,12-15,626,0,"2,505",250,0,,,,,,,,,,,,,,,
Southern,Maori,16-19,908,215,"2,426",374,89,,,,,,,,,,,,,,,
Southern,Maori,20-24,"1,172",395,"2,895",405,136,,,,,,,,,,,,,,,
Southern,Maori,25-29,725,279,"2,464",294,113,,,,,,,,,,,,,,,
Southern,Maori,30-34,735,290,"2,181",337,133,,,,,,,,,,,,,,,
Southern,Maori,35-39,729,282,"1,807",403,156,,,,,,,,,,,,,,,
Southern,Maori,40-44,838,318,"1,609",521,198,,,,,,,,,,,,,,,
Southern,Maori,45-49,910,422,"1,630",558,259,,,,,,,,,,,,,,,
Southern,Maori,50-54,978,456,"1,625",602,281,,,,,,,,,,,,,,,
Southern,Maori,55-59,987,509,"1,465",674,347,,,,,,,,,,,,,,,
Southern,Maori,60-64,864,507,"1,085",796,467,,,,,,,,,,,,,,,
Southern,Maori,65+,"1,706","1,301","1,954",873,666,,,,,,,,,,,,,,,
Southern,Pacific Peoples,12-15,163,0,565,288,0,,,,,,,,,,,,,,,
Southern,Pacific Peoples,16-19,297,67,693,429,97,,,,,,,,,,,,,,,
Southern,Pacific Peoples,20-24,459,174,792,580,220,,,,,,,,,,,,,,,
Southern,Pacific Peoples,25-29,364,152,701,519,217,,,,,,,,,,,,,,,
Southern,Pacific Peoples,30-34,347,160,586,592,273,,,,,,,,,,,,,,,
Southern,Pacific Peoples,35-39,338,178,585,578,304,,,,,,,,,,,,,,,
Southern,Pacific Peoples,40-44,315,152,461,683,330,,,,,,,,,,,,,,,
Southern,Pacific Peoples,45-49,305,148,437,698,339,,,,,,,,,,,,,,,
Southern,Pacific Peoples,50-54,258,124,353,731,351,,,,,,,,,,,,,,,
Southern,Pacific Peoples,55-59,187,95,250,748,380,,,,,,,,,,,,,,,
Southern,Pacific Peoples,60-64,172,105,219,785,479,,,,,,,,,,,,,,,
Southern,Pacific Peoples,65+,331,256,389,851,658,,,,,,,,,,,,,,,
Southern,Unknown,12-15,5,0,5,"1,000",0,,,,,,,,,,,,,,,
Southern,Unknown,16-19,27,0,19,"1,421",0,,,,,,,,,,,,,,,
Southern,Unknown,20-24,59,18,39,"1,513",462,,,,,,,,,,,,,,,
Southern,Unknown,25-29,89,32,48,"1,854",667,,,,,,,,,,,,,,,
Southern,Unknown,30-34,99,41,58,"1,707",707,,,,,,,,,,,,,,,
Southern,Unknown,35-39,72,31,43,"1,674",721,,,,,,,,,,,,,,,
Southern,Unknown,40-44,71,20,58,"1,224",345,,,,,,,,,,,,,,,
Southern,Unknown,45-49,62,20,63,984,317,,,,,,,,,,,,,,,
Southern,Unknown,50-54,63,22,53,"1,189",415,,,,,,,,,,,,,,,
Southern,Unknown,55-59,90,34,79,"1,139",430,,,,,,,,,,,,,,,
Southern,Unknown,60-64,90,50,58,"1,552",862,,,,,,,,,,,,,,,
Southern,Unknown,65+,136,96,142,958,676,,,,,,,,,,,,,,,
Tairawhiti,Asian,12-15,37,0,71,521,0,,,,,,,,,,,,,,,
Tairawhiti,Asian,16-19,29,0,48,604,0,,,,,,,,,,,,,,,
Tairawhiti,Asian,20-24,44,21,59,746,356,,,,,,,,,,,,,,,
Tairawhiti,Asian,25-29,142,58,185,768,314,,,,,,,,,,,,,,,
Tairawhiti,Asian,30-34,185,92,219,845,420,,,,,,,,,,,,,,,
Tairawhiti,Asian,35-39,112,44,120,933,367,,,,,,,,,,,,,,,
Tairawhiti,Asian,40-44,85,38,108,787,352,,,,,,,,,,,,,,,
Tairawhiti,Asian,45-49,64,25,78,821,321,,,,,,,,,,,,,,,
Tairawhiti,Asian,50-54,60,37,65,923,569,,,,,,,,,,,,,,,
Tairawhiti,Asian,55-59,61,33,63,968,524,,,,,,,,,,,,,,,
Tairawhiti,Asian,60-64,31,19,31,"1,000",613,,,,,,,,,,,,,,,
Tairawhiti,Asian,65+,52,39,74,703,527,,,,,,,,,,,,,,,
Tairawhiti,European or Other,12-15,428,0,998,429,0,,,,,,,,,,,,,,,
Tairawhiti,European or Other,16-19,445,49,877,507,56,,,,,,,,,,,,,,,
Tairawhiti,European or Other,20-24,428,148,"1,019",420,145,,,,,,,,,,,,,,,
Tairawhiti,European or Other,25-29,499,153,"1,209",413,127,,,,,,,,,,,,,,,
Tairawhiti,European or Other,30-34,581,177,"1,289",451,137,,,,,,,,,,,,,,,
Tairawhiti,European or Other,35-39,597,177,"1,254",476,141,,,,,,,,,,,,,,,
Tairawhiti,European or Other,40-44,698,261,"1,316",530,198,,,,,,,,,,,,,,,
Tairawhiti,European or Other,45-49,922,398,"1,478",624,269,,,,,,,,,,,,,,,
Tairawhiti,European or Other,50-54,"1,059",526,"1,549",684,340,,,,,,,,,,,,,,,
Tairawhiti,European or Other,55-59,"1,244",666,"1,707",729,390,,,,,,,,,,,,,,,
Tairawhiti,European or Other,60-64,"1,398",863,"1,710",818,505,,,,,,,,,,,,,,,
Tairawhiti,European or Other,65+,"4,888","4,189","5,494",890,762,,,,,,,,,,,,,,,
Tairawhiti,Maori,12-15,542,0,"2,059",263,0,,,,,,,,,,,,,,,
Tairawhiti,Maori,16-19,496,116,"1,851",268,63,,,,,,,,,,,,,,,
Tairawhiti,Maori,20-24,432,140,"1,845",234,76,,,,,,,,,,,,,,,
Tairawhiti,Maori,25-29,427,163,"1,879",227,87,,,,,,,,,,,,,,,
Tairawhiti,Maori,30-34,496,178,"1,666",298,107,,,,,,,,,,,,,,,
Tairawhiti,Maori,35-39,490,179,"1,420",345,126,,,,,,,,,,,,,,,
Tairawhiti,Maori,40-44,557,215,"1,350",413,159,,,,,,,,,,,,,,,
Tairawhiti,Maori,45-49,729,316,"1,477",494,214,,,,,,,,,,,,,,,
Tairawhiti,Maori,50-54,756,368,"1,432",528,257,,,,,,,,,,,,,,,
Tairawhiti,Maori,55-59,900,488,"1,390",647,351,,,,,,,,,,,,,,,
Tairawhiti,Maori,60-64,915,604,"1,253",730,482,,,,,,,,,,,,,,,
Tairawhiti,Maori,65+,"1,865","1,496","2,217",841,675,,,,,,,,,,,,,,,
Tairawhiti,Pacific Peoples,12-15,29,0,72,403,0,,,,,,,,,,,,,,,
Tairawhiti,Pacific Peoples,16-19,26,9,64,406,141,,,,,,,,,,,,,,,
Tairawhiti,Pacific Peoples,20-24,38,22,89,427,247,,,,,,,,,,,,,,,
Tairawhiti,Pacific Peoples,25-29,44,24,100,440,240,,,,,,,,,,,,,,,
Tairawhiti,Pacific Peoples,30-34,61,30,110,555,273,,,,,,,,,,,,,,,
Tairawhiti,Pacific Peoples,35-39,51,17,83,614,205,,,,,,,,,,,,,,,
Tairawhiti,Pacific Peoples,40-44,52,26,84,619,310,,,,,,,,,,,,,,,
Tairawhiti,Pacific Peoples,45-49,48,30,84,571,357,,,,,,,,,,,,,,,
Tairawhiti,Pacific Peoples,50-54,68,39,84,810,464,,,,,,,,,,,,,,,
Tairawhiti,Pacific Peoples,55-59,58,40,76,763,526,,,,,,,,,,,,,,,
Tairawhiti,Pacific Peoples,60-64,37,19,46,804,413,,,,,,,,,,,,,,,
Tairawhiti,Pacific Peoples,65+,64,52,73,877,712,,,,,,,,,,,,,,,
Tairawhiti,Unknown,25-29,9,0,6,"1,500",0,,,,,,,,,,,,,,,
Tairawhiti,Unknown,30-34,9,0,15,600,0,,,,,,,,,,,,,,,
Tairawhiti,Unknown,35-39,6,0,11,545,0,,,,,,,,,,,,,,,
Tairawhiti,Unknown,40-44,11,0,11,"1,000",0,,,,,,,,,,,,,,,
Tairawhiti,Unknown,45-49,9,6,12,750,500,,,,,,,,,,,,,,,
Tairawhiti,Unknown,50-54,11,0,13,846,0,,,,,,,,,,,,,,,
Tairawhiti,Unknown,55-59,11,0,13,846,0,,,,,,,,,,,,,,,
Tairawhiti,Unknown,60-64,11,0,15,733,0,,,,,,,,,,,,,,,
Tairawhiti,Unknown,65+,30,26,34,882,765,,,,,,,,,,,,,,,
Taranaki,Asian,12-15,89,0,263,338,0,,,,,,,,,,,,,,,
Taranaki,Asian,16-19,68,10,183,372,55,,,,,,,,,,,,,,,
Taranaki,Asian,20-24,147,71,206,714,345,,,,,,,,,,,,,,,
Taranaki,Asian,25-29,253,99,441,574,224,,,,,,,,,,,,,,,
Taranaki,Asian,30-34,407,164,656,620,250,,,,,,,,,,,,,,,
Taranaki,Asian,35-39,407,149,640,636,233,,,,,,,,,,,,,,,
Taranaki,Asian,40-44,261,95,451,579,211,,,,,,,,,,,,,,,
Taranaki,Asian,45-49,196,77,298,658,258,,,,,,,,,,,,,,,
Taranaki,Asian,50-54,144,43,247,583,174,,,,,,,,,,,,,,,
Taranaki,Asian,55-59,107,47,195,549,241,,,,,,,,,,,,,,,
Taranaki,Asian,60-64,91,42,146,623,288,,,,,,,,,,,,,,,
Taranaki,Asian,65+,192,128,255,753,502,,,,,,,,,,,,,,,
Taranaki,European or Other,12-15,"1,194",0,"4,660",256,0,,,,,,,,,,,,,,,
Taranaki,European or Other,16-19,"1,148",119,"3,871",297,31,,,,,,,,,,,,,,,
Taranaki,European or Other,20-24,"1,186",307,"4,375",271,70,,,,,,,,,,,,,,,
Taranaki,European or Other,25-29,"1,377",428,"5,004",275,86,,,,,,,,,,,,,,,
Taranaki,European or Other,30-34,"1,523",418,"5,398",282,77,,,,,,,,,,,,,,,
Taranaki,European or Other,35-39,"1,743",499,"5,366",325,93,,,,,,,,,,,,,,,
Taranaki,European or Other,40-44,"2,110",586,"5,403",391,108,,,,,,,,,,,,,,,
Taranaki,European or Other,45-49,"2,601",781,"6,296",413,124,,,,,,,,,,,,,,,
Taranaki,European or Other,50-54,"3,124",948,"6,363",491,149,,,,,,,,,,,,,,,
Taranaki,European or Other,55-59,"3,640","1,208","6,852",531,176,,,,,,,,,,,,,,,
Taranaki,European or Other,60-64,"4,022","1,784","6,732",597,265,,,,,,,,,,,,,,,
Taranaki,European or Other,65+,"15,775","10,790","20,199",781,534,,,,,,,,,,,,,,,
Taranaki,Maori,12-15,272,0,"1,766",154,0,,,,,,,,,,,,,,,
Taranaki,Maori,16-19,230,41,"1,495",154,27,,,,,,,,,,,,,,,
Taranaki,Maori,20-24,241,77,"1,617",149,48,,,,,,,,,,,,,,,
Taranaki,Maori,25-29,208,53,"1,564",133,34,,,,,,,,,,,,,,,
Taranaki,Maori,30-34,281,81,"1,482",190,55,,,,,,,,,,,,,,,
Taranaki,Maori,35-39,311,87,"1,212",257,72,,,,,,,,,,,,,,,
Taranaki,Maori,40-44,324,96,"1,149",282,84,,,,,,,,,,,,,,,
Taranaki,Maori,45-49,410,131,"1,225",335,107,,,,,,,,,,,,,,,
Taranaki,Maori,50-54,501,199,"1,081",463,184,,,,,,,,,,,,,,,
Taranaki,Maori,55-59,508,196,"1,060",479,185,,,,,,,,,,,,,,,
Taranaki,Maori,60-64,492,253,841,585,301,,,,,,,,,,,,,,,
Taranaki,Maori,65+,"1,051",776,"1,412",744,550,,,,,,,,,,,,,,,
Taranaki,Pacific Peoples,12-15,24,0,134,179,0,,,,,,,,,,,,,,,
Taranaki,Pacific Peoples,16-19,32,5,130,246,38,,,,,,,,,,,,,,,
Taranaki,Pacific Peoples,20-24,32,11,124,258,89,,,,,,,,,,,,,,,
Taranaki,Pacific Peoples,25-29,43,18,126,341,143,,,,,,,,,,,,,,,
Taranaki,Pacific Peoples,30-34,65,30,144,451,208,,,,,,,,,,,,,,,
Taranaki,Pacific Peoples,35-39,63,29,121,521,240,,,,,,,,,,,,,,,
Taranaki,Pacific Peoples,40-44,72,27,113,637,239,,,,,,,,,,,,,,,
Taranaki,Pacific Peoples,45-49,45,20,101,446,198,,,,,,,,,,,,,,,
Taranaki,Pacific Peoples,50-54,36,16,72,500,222,,,,,,,,,,,,,,,
Taranaki,Pacific Peoples,55-59,35,18,77,455,234,,,,,,,,,,,,,,,
Taranaki,Pacific Peoples,60-64,39,20,46,848,435,,,,,,,,,,,,,,,
Taranaki,Pacific Peoples,65+,59,36,82,720,439,,,,,,,,,,,,,,,
Taranaki,Unknown,20-24,5,0,6,833,0,,,,,,,,,,,,,,,
Taranaki,Unknown,25-29,25,14,33,758,424,,,,,,,,,,,,,,,
Taranaki,Unknown,30-34,46,23,48,958,479,,,,,,,,,,,,,,,
Taranaki,Unknown,35-39,36,11,69,522,159,,,,,,,,,,,,,,,
Taranaki,Unknown,40-44,29,13,41,707,317,,,,,,,,,,,,,,,
Taranaki,Unknown,45-49,23,6,41,561,146,,,,,,,,,,,,,,,
Taranaki,Unknown,50-54,36,7,56,643,125,,,,,,,,,,,,,,,
Taranaki,Unknown,55-59,36,6,49,735,122,,,,,,,,,,,,,,,
Taranaki,Unknown,60-64,30,12,38,789,316,,,,,,,,,,,,,,,
Taranaki,Unknown,65+,72,53,80,900,662,,,,,,,,,,,,,,,
Waikato,Asian,12-15,918,0,"1,988",462,0,,,,,,,,,,,,,,,
Waikato,Asian,16-19,862,194,"1,568",550,124,,,,,,,,,,,,,,,
Waikato,Asian,20-24,"1,435",582,"2,271",632,256,,,,,,,,,,,,,,,
Waikato,Asian,25-29,"2,901","1,271","4,537",639,280,,,,,,,,,,,,,,,
Waikato,Asian,30-34,"3,964","1,808","5,449",727,332,,,,,,,,,,,,,,,
Waikato,Asian,35-39,"3,590","1,607","4,685",766,343,,,,,,,,,,,,,,,
Waikato,Asian,40-44,"2,734","1,229","3,249",841,378,,,,,,,,,,,,,,,
Waikato,Asian,45-49,"1,996",916,"2,388",836,384,,,,,,,,,,,,,,,
Waikato,Asian,50-54,"1,614",781,"1,908",846,409,,,,,,,,,,,,,,,
Waikato,Asian,55-59,"1,332",748,"1,582",842,473,,,,,,,,,,,,,,,
Waikato,Asian,60-64,"1,116",668,"1,460",764,458,,,,,,,,,,,,,,,
Waikato,Asian,65+,"2,342","1,754","2,893",810,606,,,,,,,,,,,,,,,
Waikato,European or Other,12-15,"4,118",0,"13,376",308,0,,,,,,,,,,,,,,,
Waikato,European or Other,16-19,"3,653",634,"12,132",301,52,,,,,,,,,,,,,,,
Waikato,European or Other,20-24,"4,277","1,549","15,632",274,99,,,,,,,,,,,,,,,
Waikato,European or Other,25-29,"4,869","2,056","16,687",292,123,,,,,,,,,,,,,,,
Waikato,European or Other,30-34,"6,089","1,844","16,097",378,115,,,,,,,,,,,,,,,
Waikato,European or Other,35-39,"6,384","1,924","14,933",428,129,,,,,,,,,,,,,,,
Waikato,European or Other,40-44,"7,721","2,214","15,249",506,145,,,,,,,,,,,,,,,
Waikato,European or Other,45-49,"9,882","3,125","18,025",548,173,,,,,,,,,,,,,,,
Waikato,European or Other,50-54,"11,895","3,971","18,537",642,214,,,,,,,,,,,,,,,
Waikato,European or Other,55-59,"12,729","4,838","19,268",661,251,,,,,,,,,,,,,,,
Waikato,European or Other,60-64,"14,227","6,787","18,590",765,365,,,,,,,,,,,,,,,
Waikato,European or Other,65+,"50,396","34,661","58,995",854,588,,,,,,,,,,,,,,,
Waikato,Maori,12-15,"1,334",0,"7,305",183,0,,,,,,,,,,,,,,,
Waikato,Maori,16-19,"1,256",273,"6,532",192,42,,,,,,,,,,,,,,,
Waikato,Maori,20-24,"1,473",488,"7,894",187,62,,,,,,,,,,,,,,,
Waikato,Maori,25-29,"1,382",495,"7,419",186,67,,,,,,,,,,,,,,,
Waikato,Maori,30-34,"1,601",527,"6,473",247,81,,,,,,,,,,,,,,,
Waikato,Maori,35-39,"1,593",573,"5,345",298,107,,,,,,,,,,,,,,,
Waikato,Maori,40-44,"1,890",651,"4,932",383,132,,,,,,,,,,,,,,,
Waikato,Maori,45-49,"2,169",818,"5,087",426,161,,,,,,,,,,,,,,,
Waikato,Maori,50-54,"2,397","1,025","4,670",513,219,,,,,,,,,,,,,,,
Waikato,Maori,55-59,"2,647","1,254","4,592",576,273,,,,,,,,,,,,,,,
Waikato,Maori,60-64,"2,539","1,550","3,561",713,435,,,,,,,,,,,,,,,
Waikato,Maori,65+,"4,966","4,085","5,897",842,693,,,,,,,,,,,,,,,
Waikato,Pacific Peoples,12-15,289,0,941,307,0,,,,,,,,,,,,,,,
Waikato,Pacific Peoples,16-19,312,67,892,350,75,,,,,,,,,,,,,,,
Waikato,Pacific Peoples,20-24,387,125,"1,175",329,106,,,,,,,,,,,,,,,
Waikato,Pacific Peoples,25-29,412,151,"1,130",365,134,,,,,,,,,,,,,,,
Waikato,Pacific Peoples,30-34,441,186,"1,052",419,177,,,,,,,,,,,,,,,
Waikato,Pacific Peoples,35-39,511,211,"1,002",510,211,,,,,,,,,,,,,,,
Waikato,Pacific Peoples,40-44,525,227,918,572,247,,,,,,,,,,,,,,,
Waikato,Pacific Peoples,45-49,491,218,810,606,269,,,,,,,,,,,,,,,
Waikato,Pacific Peoples,50-54,493,213,747,660,285,,,,,,,,,,,,,,,
Waikato,Pacific Peoples,55-59,441,224,588,750,381,,,,,,,,,,,,,,,
Waikato,Pacific Peoples,60-64,342,219,484,707,452,,,,,,,,,,,,,,,
Waikato,Pacific Peoples,65+,796,675,943,844,716,,,,,,,,,,,,,,,
Waikato,Unknown,12-15,11,0,28,393,0,,,,,,,,,,,,,,,
Waikato,Unknown,16-19,42,6,106,396,57,,,,,,,,,,,,,,,
Waikato,Unknown,20-24,79,18,172,459,105,,,,,,,,,,,,,,,
Waikato,Unknown,25-29,114,49,235,485,209,,,,,,,,,,,,,,,
Waikato,Unknown,30-34,183,69,364,503,190,,,,,,,,,,,,,,,
Waikato,Unknown,35-39,268,84,508,528,165,,,,,,,,,,,,,,,
Waikato,Unknown,40-44,285,88,435,655,202,,,,,,,,,,,,,,,
Waikato,Unknown,45-49,257,77,392,656,196,,,,,,,,,,,,,,,
Waikato,Unknown,50-54,325,114,469,693,243,,,,,,,,,,,,,,,
Waikato,Unknown,55-59,348,122,467,745,261,,,,,,,,,,,,,,,
Waikato,Unknown,60-64,403,201,503,801,400,,,,,,,,,,,,,,,
Waikato,Unknown,65+,"1,403","1,006","1,609",872,625,,,,,,,,,,,,,,,
Wairarapa,Asian,12-15,26,0,89,292,0,,,,,,,,,,,,,,,
Wairarapa,Asian,16-19,27,7,55,491,127,,,,,,,,,,,,,,,
Wairarapa,Asian,20-24,30,13,54,556,241,,,,,,,,,,,,,,,
Wairarapa,Asian,25-29,110,67,139,791,482,,,,,,,,,,,,,,,
Wairarapa,Asian,30-34,133,97,196,679,495,,,,,,,,,,,,,,,
Wairarapa,Asian,35-39,134,84,181,740,464,,,,,,,,,,,,,,,
Wairarapa,Asian,40-44,117,74,126,929,587,,,,,,,,,,,,,,,
Wairarapa,Asian,45-49,66,36,76,868,474,,,,,,,,,,,,,,,
Wairarapa,Asian,50-54,54,30,64,844,469,,,,,,,,,,,,,,,
Wairarapa,Asian,55-59,58,39,64,906,609,,,,,,,,,,,,,,,
Wairarapa,Asian,60-64,51,31,64,797,484,,,,,,,,,,,,,,,
Wairarapa,Asian,65+,80,67,97,825,691,,,,,,,,,,,,,,,
Wairarapa,European or Other,12-15,377,0,"1,674",225,0,,,,,,,,,,,,,,,
Wairarapa,European or Other,16-19,379,66,"1,442",263,46,,,,,,,,,,,,,,,
Wairarapa,European or Other,20-24,348,141,"1,500",232,94,,,,,,,,,,,,,,,
Wairarapa,European or Other,25-29,447,181,"1,744",256,104,,,,,,,,,,,,,,,
Wairarapa,European or Other,30-34,536,213,"1,789",300,119,,,,,,,,,,,,,,,
Wairarapa,European or Other,35-39,658,245,"1,853",355,132,,,,,,,,,,,,,,,
Wairarapa,European or Other,40-44,972,374,"1,952",498,192,,,,,,,,,,,,,,,
Wairarapa,European or Other,45-49,"1,254",469,"2,478",506,189,,,,,,,,,,,,,,,
Wairarapa,European or Other,50-54,"1,728",686,"2,707",638,253,,,,,,,,,,,,,,,
Wairarapa,European or Other,55-59,"2,086","1,023","2,946",708,347,,,,,,,,,,,,,,,
Wairarapa,European or Other,60-64,"2,464","1,517","3,044",809,498,,,,,,,,,,,,,,,
Wairarapa,European or Other,65+,"8,831","7,961","9,779",903,814,,,,,,,,,,,,,,,
Wairarapa,Maori,12-15,107,0,704,152,0,,,,,,,,,,,,,,,
Wairarapa,Maori,16-19,118,35,578,204,61,,,,,,,,,,,,,,,
Wairarapa,Maori,20-24,120,52,717,167,73,,,,,,,,,,,,,,,
Wairarapa,Maori,25-29,101,57,608,166,94,,,,,,,,,,,,,,,
Wairarapa,Maori,30-34,117,59,568,206,104,,,,,,,,,,,,,,,
Wairarapa,Maori,35-39,136,69,461,295,150,,,,,,,,,,,,,,,
Wairarapa,Maori,40-44,161,72,447,360,161,,,,,,,,,,,,,,,
Wairarapa,Maori,45-49,217,97,453,479,214,,,,,,,,,,,,,,,
Wairarapa,Maori,50-54,238,140,400,595,350,,,,,,,,,,,,,,,
Wairarapa,Maori,55-59,295,215,429,688,501,,,,,,,,,,,,,,,
Wairarapa,Maori,60-64,266,206,337,789,611,,,,,,,,,,,,,,,
Wairarapa,Maori,65+,490,440,600,817,733,,,,,,,,,,,,,,,
Wairarapa,Pacific Peoples,12-15,12,0,82,146,0,,,,,,,,,,,,,,,
Wairarapa,Pacific Peoples,16-19,27,18,87,310,207,,,,,,,,,,,,,,,
Wairarapa,Pacific Peoples,20-24,25,15,92,272,163,,,,,,,,,,,,,,,
Wairarapa,Pacific Peoples,25-29,38,20,82,463,244,,,,,,,,,,,,,,,
Wairarapa,Pacific Peoples,30-34,29,26,65,446,400,,,,,,,,,,,,,,,
Wairarapa,Pacific Peoples,35-39,42,29,72,583,403,,,,,,,,,,,,,,,
Wairarapa,Pacific Peoples,40-44,42,33,68,618,485,,,,,,,,,,,,,,,
Wairarapa,Pacific Peoples,45-49,46,32,65,708,492,,,,,,,,,,,,,,,
Wairarapa,Pacific Peoples,50-54,50,39,56,893,696,,,,,,,,,,,,,,,
Wairarapa,Pacific Peoples,55-59,45,36,59,763,610,,,,,,,,,,,,,,,
Wairarapa,Pacific Peoples,60-64,27,23,35,771,657,,,,,,,,,,,,,,,
Wairarapa,Pacific Peoples,65+,66,62,74,892,838,,,,,,,,,,,,,,,
Wairarapa,Unknown,30-34,8,0,9,889,0,,,,,,,,,,,,,,,
Wairarapa,Unknown,35-39,12,0,8,"1,500",0,,,,,,,,,,,,,,,
Wairarapa,Unknown,40-44,8,0,8,"1,000",0,,,,,,,,,,,,,,,
Wairarapa,Unknown,45-49,13,6,22,591,273,,,,,,,,,,,,,,,
Wairarapa,Unknown,50-54,14,6,16,875,375,,,,,,,,,,,,,,,
Wairarapa,Unknown,55-59,16,6,17,941,353,,,,,,,,,,,,,,,
Wairarapa,Unknown,60-64,17,11,20,850,550,,,,,,,,,,,,,,,
Wairarapa,Unknown,65+,59,53,61,967,869,,,,,,,,,,,,,,,
West Coast,Asian,12-15,6,0,66,91,0,,,,,,,,,,,,,,,
West Coast,Asian,16-19,9,5,25,360,200,,,,,,,,,,,,,,,
West Coast,Asian,20-24,19,13,42,452,310,,,,,,,,,,,,,,,
West Coast,Asian,25-29,71,42,140,507,300,,,,,,,,,,,,,,,
West Coast,Asian,30-34,119,68,165,721,412,,,,,,,,,,,,,,,
