DHB of residence,Ethnic group,Age group,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,12-15,"4,922",0,"13,425",367,0,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,16-19,"5,189",863,"13,747",377,63,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,20-24,"7,089","2,417","21,173",335,114,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,25-29,"8,154","3,156","23,085",353,137,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,30-34,"9,227","2,842","21,476",430,132,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,35-39,"9,014","2,787","19,964",452,140,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,40-44,"10,283","3,065","20,090",512,153,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,45-49,"12,181","3,750","22,568",540,166,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,50-54,"15,430","4,785","22,108",698,216,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,55-59,"15,911","5,817","21,500",740,271,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,60-64,"15,131","7,014","18,602",813,377,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,European or Other,65+,"46,997","30,743","52,497",895,586,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,12-15,984,0,"4,322",228,0,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,16-19,"1,085",289,"4,211",258,69,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,20-24,"1,538",576,"5,869",262,98,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,25-29,"1,418",571,"5,318",267,107,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,30-34,"1,306",484,"4,346",301,111,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,35-39,"1,147",431,"3,436",334,125,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,40-44,"1,364",497,"3,407",400,146,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,45-49,"1,712",671,"3,540",484,190,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,50-54,"1,942",770,"3,235",600,238,,,,,,,,,,,,,,,
