Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Hamilton City,12+,"147,441","137,909","135,552","128,015","86,044","38,559","16,919",94%,92%,67%,44%
Hamilton City,5-11,"17,497","8,464","4,367",NA,NA,NA,NA,48%,25%,NA,NA
Hastings District,12+,"74,221",Masked,"69,159","65,251","44,845","25,734","10,411",>95%,93%,69%,40%
Hastings District,5-11,"8,650","3,700","1,758",NA,Masked,NA,NA,43%,20%,>95%,NA
Hauraki District,12+,"18,063","15,896","15,529","14,821","10,015","7,319","2,945",88%,86%,68%,40%
Hauraki District,5-11,"1,779",583,278,NA,NA,NA,NA,33%,16%,NA,NA
Horowhenua District,12+,"30,027","27,791","27,239","25,886","18,374","12,957","6,200",93%,91%,71%,48%
Horowhenua District,5-11,"3,095","1,229",567,NA,NA,NA,NA,40%,18%,NA,NA
Hurunui District,12+,"11,490","10,581","10,409","9,905","7,087","4,673","1,895",92%,91%,72%,41%
Hurunui District,5-11,"1,158",524,283,NA,NA,NA,NA,45%,24%,NA,NA
Invercargill City,12+,"47,368","44,224","43,507","41,205","29,065","17,107","7,109",93%,92%,71%,42%
Invercargill City,5-11,"5,029","2,303","1,214",NA,NA,NA,NA,46%,24%,NA,NA
Kaikoura District,12+,"3,527","3,233","3,199","3,068","2,267","1,624",640,92%,91%,74%,39%
Kaikoura District,5-11,296,133,79,NA,NA,NA,NA,45%,27%,NA,NA
Kaipara District,12+,"21,487","18,162","17,679","16,987","11,138","8,006","2,701",85%,82%,66%,34%
Kaipara District,5-11,"2,339",649,279,NA,NA,NA,NA,28%,12%,NA,NA
Kapiti Coast District,12+,"48,847","45,925","45,392","43,196","33,959","22,864","12,833",94%,93%,79%,56%
Kapiti Coast District,5-11,"4,477","2,333","1,450",NA,NA,NA,NA,52%,32%,NA,NA
Kawerau District,12+,"6,360","5,487","5,275","4,980","2,972","2,132",836,86%,83%,60%,39%
Kawerau District,5-11,806,178,44,NA,NA,NA,NA,22%,5%,NA,NA
Lower Hutt City,12+,"94,100","88,452","87,238","82,516","61,797","30,547","15,239",94%,93%,75%,50%
Lower Hutt City,5-11,"10,256","5,978","3,675",NA,NA,NA,NA,58%,36%,NA,NA
Mackenzie District,12+,"4,339","3,878","3,825","3,658","2,595","1,549",602,89%,88%,71%,39%
Mackenzie District,5-11,379,170,75,NA,NA,NA,NA,45%,20%,NA,NA
Manawatu District,12+,"27,110","25,324","24,960","23,475","16,569","10,230","4,376",93%,92%,71%,43%
Manawatu District,5-11,"3,203","1,507",805,NA,NA,NA,NA,47%,25%,NA,NA
Marlborough District,12+,"44,461","41,340","40,762","38,912","28,783","18,426","8,552",93%,92%,74%,46%
Marlborough District,5-11,"4,100","1,982","1,050",NA,NA,NA,NA,48%,26%,NA,NA
Masterton District,12+,"23,589","22,093","21,673","20,590","14,447","9,555","4,380",94%,92%,70%,46%
Masterton District,5-11,"2,356","1,049",435,NA,NA,NA,NA,45%,18%,NA,NA
Matamata-Piako District,12+,"30,444","28,260","27,737","26,352","17,006","11,328","4,447",93%,91%,65%,39%
Matamata-Piako District,5-11,"3,427","1,237",513,NA,NA,NA,NA,36%,15%,NA,NA
Napier City,12+,"56,989","52,512","51,591","48,875","34,665","21,837","9,576",92%,91%,71%,44%
Napier City,5-11,"5,980","2,644","1,249",NA,NA,NA,NA,44%,21%,NA,NA
Nelson City,12+,"47,440","43,884","43,218","41,105","30,562","18,717","9,111",93%,91%,74%,49%
Nelson City,5-11,"4,405","2,386","1,214",NA,NA,NA,NA,54%,28%,NA,NA
New Plymouth District,12+,"71,868","66,732","65,664","61,992","42,697","26,356","10,855",93%,91%,69%,41%
New Plymouth District,5-11,"8,328","3,593","2,014",NA,NA,NA,NA,43%,24%,NA,NA
Opotiki District,12+,"7,637","6,792","6,497","6,177","3,898","2,713",956,89%,85%,63%,35%
Opotiki District,5-11,987,227,79,NA,NA,NA,NA,23%,8%,NA,NA
Otorohanga District,12+,"8,310","7,365","7,205","6,775","3,967","2,571",938,89%,87%,59%,36%
Otorohanga District,5-11,"1,097",300,121,NA,NA,NA,NA,27%,11%,NA,NA
Palmerston North City,12+,"74,774","70,597","69,690","65,799","48,177","23,892","11,693",94%,93%,73%,49%
Palmerston North City,5-11,"8,389","4,411","2,554",NA,NA,NA,NA,53%,30%,NA,NA
Porirua City,12+,"50,123","47,051","46,311","43,335","31,438","15,648","7,781",94%,92%,73%,50%
Porirua City,5-11,"6,610","3,561","1,893",NA,NA,NA,NA,54%,29%,NA,NA
Queenstown-Lakes District,12+,"42,457","39,954","39,275","37,639","24,041","10,254","4,171",94%,93%,64%,41%
Queenstown-Lakes District,5-11,"3,481","1,903","1,075",NA,NA,NA,NA,55%,31%,NA,NA
Rangitikei District,12+,"13,122","11,897","11,682","11,099","7,789","5,061","2,070",91%,89%,70%,41%
Rangitikei District,5-11,"1,496",625,273,NA,NA,NA,NA,42%,18%,NA,NA
Rotorua District,12+,"61,354","55,430","54,144","50,952","33,580","19,475","8,223",90%,88%,66%,42%
Rotorua District,5-11,"7,635","2,950","1,355",NA,NA,NA,NA,39%,18%,NA,NA
Ruapehu District,12+,"10,400","8,904","8,616","8,182","5,214","3,449","1,319",86%,83%,64%,38%
Ruapehu District,5-11,"1,369",372,179,NA,NA,NA,NA,27%,13%,NA,NA
Selwyn District,12+,"59,127",Masked,Masked,"55,082","41,225","20,852","8,621",>95%,>95%,75%,41%
Selwyn District,5-11,"7,241","4,702","2,894",NA,NA,NA,NA,65%,40%,NA,NA
South Taranaki District,12+,"21,826",Masked,"20,396","19,236","12,418","7,999","2,860",>95%,93%,65%,36%
South Taranaki District,5-11,"2,758","1,021",512,NA,NA,NA,NA,37%,19%,NA,NA
South Waikato District,12+,"20,420","18,167","17,701","16,708","10,122","6,624","2,581",89%,87%,61%,39%
South Waikato District,5-11,"2,641",848,371,NA,NA,NA,NA,32%,14%,NA,NA
South Wairarapa District,12+,"10,074","9,526","9,378","8,924","6,730","4,471","2,216",95%,93%,75%,50%
South Wairarapa District,5-11,975,509,258,NA,NA,NA,NA,52%,26%,NA,NA
Southland District,12+,"25,968","23,434","23,048","21,770","14,612","8,928","2,954",90%,89%,67%,33%
Southland District,5-11,"2,981","1,219",616,NA,NA,NA,NA,41%,21%,NA,NA
Stratford District,12+,"7,772","7,252","7,109","6,722","4,429","2,888","1,060",93%,91%,66%,37%
Stratford District,5-11,960,420,215,NA,NA,NA,NA,44%,22%,NA,NA
Tararua District,12+,"15,623","13,992","13,686","12,928","8,724","5,833","2,164",90%,88%,67%,37%
Tararua District,5-11,"1,887",689,330,NA,NA,NA,NA,37%,17%,NA,NA
Tasman District,12+,"49,220","45,044","44,248","42,163","30,097","20,325","9,060",92%,90%,71%,45%
Tasman District,5-11,"4,677","1,951","1,078",NA,NA,NA,NA,42%,23%,NA,NA
Taupo District,12+,"33,772","30,741","30,122","28,581","18,725","12,502","5,333",91%,89%,66%,43%
Taupo District,5-11,"3,743","1,303",618,NA,Masked,NA,NA,35%,17%,>95%,NA
Tauranga City,12+,"131,025","120,473","118,362","112,394","74,967","44,878","19,365",92%,90%,67%,43%
Tauranga City,5-11,"14,283","6,033","2,686",NA,NA,NA,NA,42%,19%,NA,NA
Thames-Coromandel District,12+,"27,454","24,780","24,359","23,503","17,403","13,566","6,091",90%,89%,74%,45%
Thames-Coromandel District,5-11,"2,163",777,404,NA,NA,NA,NA,36%,19%,NA,NA
Timaru District,12+,"42,396","39,188","38,671","36,705","27,341","17,788","7,576",92%,91%,74%,43%
Timaru District,5-11,"4,148","2,057",974,NA,NA,NA,NA,50%,23%,NA,NA
Unknown,12+,"129,781","50,393","48,604","45,867","27,486","12,744","5,033",39%,37%,60%,39%
Unknown,5-11,"9,527","2,380","1,254",NA,NA,NA,NA,25%,13%,NA,NA
Upper Hutt City,12+,"38,409",Masked,"36,442","34,382","26,056","13,955","7,083",>95%,95%,76%,51%
Upper Hutt City,5-11,"4,202","2,590","1,562",NA,NA,NA,NA,62%,37%,NA,NA
Waikato District,12+,"67,392","63,234","62,085","58,195","38,026","21,735","7,990",94%,92%,65%,37%
Waikato District,5-11,"8,729","3,940","1,885",NA,NA,NA,NA,45%,22%,NA,NA
Waimakariri District,12+,"55,522","52,639","52,041","49,344","36,042","23,508","10,463",95%,94%,73%,45%
Waimakariri District,5-11,"5,443","2,661","1,565",NA,NA,NA,NA,49%,29%,NA,NA
Waimate District,12+,"7,173","6,433","6,339","6,042","4,313","2,943","1,077",90%,88%,71%,37%
Waimate District,5-11,667,263,121,NA,NA,NA,NA,39%,18%,NA,NA
Waipa District,12+,"48,972","46,173","45,544","42,830","29,848","18,178","7,576",94%,93%,70%,42%
Waipa District,5-11,"5,522","2,657","1,426",NA,NA,NA,NA,48%,26%,NA,NA
Wairoa District,12+,"6,748","5,972","5,756","5,441","3,627","2,386","1,101",89%,85%,67%,46%
Wairoa District,5-11,876,251,79,NA,NA,NA,NA,29%,9%,NA,NA
Waitaki District,12+,"19,993","18,446","18,155","17,207","12,512","8,392","3,284",92%,91%,73%,39%
Waitaki District,5-11,"1,935",887,396,NA,NA,NA,NA,46%,20%,NA,NA
Waitomo District,12+,"8,061","7,217","7,010","6,598","4,001","2,609",777,90%,87%,61%,30%
Waitomo District,5-11,937,312,130,NA,NA,NA,NA,33%,14%,NA,NA
Wellington City,12+,"188,336",Masked,Masked,"170,431","139,753","54,750","31,183",>95%,>95%,82%,57%
Wellington City,5-11,"15,438","11,052","8,174",NA,NA,NA,NA,72%,53%,NA,NA
Western Bay of Plenty District,12+,"49,737","44,402","43,506","41,477","27,332","18,669","7,406",89%,87%,66%,40%
Western Bay of Plenty District,5-11,"4,834","1,684",705,NA,NA,NA,NA,35%,15%,NA,NA
Westland District,12+,"7,310","6,744","6,643","6,344","4,429","2,947",992,92%,91%,70%,34%
Westland District,5-11,670,262,134,NA,NA,NA,NA,39%,20%,NA,NA
Whakatane District,12+,"31,208","27,383","26,642","25,255","16,150","10,884","3,993",88%,85%,64%,37%
Whakatane District,5-11,"3,832","1,175",563,NA,NA,NA,NA,31%,15%,NA,NA
Whanganui District,12+,"41,305","37,098","36,418","34,551","24,749","16,347","7,685",90%,88%,72%,47%
Whanganui District,5-11,"4,457","1,652",882,NA,NA,NA,NA,37%,20%,NA,NA
Whangarei District,12+,"83,037","74,058","72,451","68,618","47,728","30,738","12,440",89%,87%,70%,40%
Whangarei District,5-11,"9,559","3,464","1,548",NA,NA,NA,NA,36%,16%,NA,NA
