Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Gisborne District,5-11,"5,499","2,674",392,NA,NA,49%,7%,NA
Gore District,12+,"10,754","10,007","9,871","8,568","6,269",93%,92%,73%
Gore District,5-11,"1,139",378,48,NA,NA,33%,<5%,NA
Grey District,12+,"11,412","10,765","10,568","9,076","6,730",94%,93%,74%
Grey District,5-11,"1,238",564,72,NA,NA,46%,6%,NA
Hamilton City,12+,"137,530",Masked,Masked,"117,356","79,873",>95%,>95%,68%
Hamilton City,5-11,"17,180","9,130","1,526",NA,NA,53%,9%,NA
Hastings District,12+,"69,386",Masked,Masked,"57,997","41,427",>95%,>95%,71%
Hastings District,5-11,"8,940","4,032",599,NA,NA,45%,7%,NA
Hauraki District,12+,"17,324","15,799","15,494","13,546","9,380",91%,89%,69%
Hauraki District,5-11,"1,786",658,82,NA,NA,37%,<5%,NA
Horowhenua District,12+,"28,824",Masked,"27,200","23,573","17,472",>95%,94%,74%
Horowhenua District,5-11,"3,103","1,384",189,NA,NA,45%,6%,NA
Hurunui District,12+,"10,818",Masked,"10,249","9,033","6,697",>95%,95%,74%
Hurunui District,5-11,"1,179",590,49,NA,NA,50%,<5%,NA
Invercargill City,12+,"45,988",Masked,"43,478","37,720","27,796",>95%,95%,74%
Invercargill City,5-11,"5,144","2,534",267,NA,NA,49%,5%,NA
Kaikoura District,12+,"3,473","3,176","3,143","2,832","2,138",91%,90%,75%
Kaikoura District,5-11,315,148,14,NA,NA,47%,<5%,NA
Kaipara District,12+,"20,198","18,039","17,586","15,606","10,504",89%,87%,67%
Kaipara District,5-11,"2,230",715,98,NA,NA,32%,<5%,NA
Kapiti Coast District,12+,"47,238",Masked,Masked,"40,086","32,381",>95%,>95%,81%
Kapiti Coast District,5-11,"4,659","2,524",626,NA,NA,54%,13%,NA
Kawerau District,12+,"6,115","5,501","5,303","4,316","2,831",90%,87%,66%
Kawerau District,5-11,854,211,17,NA,NA,25%,<5%,NA
Lower Hutt City,12+,"90,426",Masked,Masked,"76,225","58,591",>95%,>95%,77%
Lower Hutt City,5-11,"10,445","6,592","1,320",NA,NA,63%,13%,NA
Mackenzie District,12+,"4,141","3,892","3,851","3,456","2,511",94%,93%,73%
Mackenzie District,5-11,391,190,27,NA,NA,49%,7%,NA
Manawatu District,12+,"25,555",Masked,Masked,"21,309","15,656",>95%,>95%,73%
Manawatu District,5-11,"3,185","1,657",230,NA,NA,52%,7%,NA
Marlborough District,12+,"41,136",Masked,Masked,"35,914","27,737",>95%,>95%,77%
Marlborough District,5-11,"4,156","2,257",489,NA,NA,54%,12%,NA
Masterton District,12+,"22,673",Masked,Masked,"18,795","13,785",>95%,>95%,73%
Masterton District,5-11,"2,400","1,125",177,NA,NA,47%,7%,NA
Matamata-Piako District,12+,"29,220",Masked,"27,476","24,050","16,076",>95%,94%,67%
Matamata-Piako District,5-11,"3,307","1,370",158,NA,NA,41%,<5%,NA
Napier City,12+,"54,392",Masked,"51,466","44,716","32,977",>95%,95%,74%
Napier City,5-11,"6,159","2,932",395,NA,NA,48%,6%,NA
Nelson City,12+,"44,843",Masked,Masked,"37,667","28,886",>95%,>95%,77%
Nelson City,5-11,"4,456","2,636",527,NA,NA,59%,12%,NA
New Plymouth District,12+,"68,211",Masked,Masked,"56,014","40,034",>95%,>95%,71%
New Plymouth District,5-11,"8,378","3,968",922,NA,NA,47%,11%,NA
Opotiki District,12+,"7,289","6,721","6,439","5,420","3,712",92%,88%,68%
Opotiki District,5-11,977,264,27,NA,NA,27%,<5%,NA
Otorohanga District,12+,"7,960","7,339","7,191","6,120","3,744",92%,90%,61%
Otorohanga District,5-11,"1,086",351,34,NA,NA,32%,<5%,NA
Palmerston North City,12+,"70,542",Masked,Masked,"60,412","45,528",>95%,>95%,75%
Palmerston North City,5-11,"8,374","4,822",940,NA,NA,58%,11%,NA
Porirua City,12+,"47,711",Masked,Masked,"39,372","29,621",>95%,>95%,75%
Porirua City,5-11,"6,751","3,852",614,NA,NA,57%,9%,NA
Queenstown-Lakes District,12+,"35,862",Masked,Masked,"34,001","22,192",>95%,>95%,65%
Queenstown-Lakes District,5-11,"3,432","2,130",189,NA,NA,62%,6%,NA
Rangitikei District,12+,"12,700","11,803","11,591","10,157","7,370",93%,91%,73%
Rangitikei District,5-11,"1,491",666,87,NA,NA,45%,6%,NA
Rotorua District,12+,"58,120",Masked,"54,327","45,928","31,822",>95%,93%,69%
Rotorua District,5-11,"7,723","3,275",593,NA,NA,42%,8%,NA
Ruapehu District,12+,"9,938","8,842","8,558","7,260","4,830",89%,86%,67%
Ruapehu District,5-11,"1,366",399,36,NA,NA,29%,<5%,NA
Selwyn District,12+,"53,318",Masked,Masked,"49,827","38,015",>95%,>95%,76%
Selwyn District,5-11,"6,937","4,931",775,NA,NA,71%,11%,NA
South Taranaki District,12+,"20,389",Masked,Masked,"17,032","11,464",>95%,>95%,67%
South Taranaki District,5-11,"2,693","1,184",232,NA,NA,44%,9%,NA
South Waikato District,12+,"19,634","18,199","17,753","15,016","9,523",93%,90%,63%
South Waikato District,5-11,"2,629",923,91,NA,NA,35%,<5%,NA
South Wairarapa District,12+,"9,607",Masked,Masked,"8,354","6,481",>95%,>95%,78%
South Wairarapa District,5-11,"1,001",560,102,NA,NA,56%,10%,NA
Southland District,12+,"25,076","23,403","23,065","19,827","13,856",93%,92%,70%
Southland District,5-11,"3,087","1,341",109,NA,NA,43%,<5%,NA
Stratford District,12+,"7,523","7,091","6,957","5,991","4,174",94%,92%,70%
Stratford District,5-11,"1,000",462,68,NA,NA,46%,7%,NA
Tararua District,12+,"15,008","14,001","13,720","11,650","8,249",93%,91%,71%
Tararua District,5-11,"1,897",752,103,NA,NA,40%,5%,NA
Tasman District,12+,"45,613",Masked,Masked,"37,845","28,194",>95%,>95%,74%
Tasman District,5-11,"4,679","2,166",551,NA,NA,46%,12%,NA
Taupo District,12+,"32,192","30,488","29,938","26,005","17,753",95%,93%,68%
Taupo District,5-11,"3,743","1,468",262,NA,NA,39%,7%,NA
Tauranga City,12+,"121,638",Masked,Masked,"102,772","70,917",>95%,>95%,69%
Tauranga City,5-11,"14,197","6,620","1,011",NA,NA,47%,7%,NA
Thames-Coromandel District,12+,"26,267","24,630","24,218","21,903","16,725",94%,92%,76%
Thames-Coromandel District,5-11,"2,165",869,143,NA,NA,40%,7%,NA
Timaru District,12+,"41,101",Masked,"38,791","34,165","26,504",>95%,94%,78%
Timaru District,5-11,"4,189","2,284",409,NA,NA,55%,10%,NA
Unknown,12+,"127,337","67,305","65,203","56,994","37,159",53%,51%,65%
Unknown,5-11,"10,824","2,736",480,NA,NA,25%,<5%,NA
Upper Hutt City,12+,"36,900",Masked,Masked,"31,666","24,582",>95%,>95%,78%
Upper Hutt City,5-11,"4,264","2,838",560,NA,NA,67%,13%,NA
Waikato District,12+,"63,219",Masked,Masked,"52,384","35,129",>95%,>95%,67%
Waikato District,5-11,"8,689","4,253",641,NA,NA,49%,7%,NA
Waimakariri District,12+,"52,773",Masked,Masked,"44,912","33,894",>95%,>95%,75%
Waimakariri District,5-11,"5,446","2,925",645,NA,NA,54%,12%,NA
Waimate District,12+,"6,937","6,518","6,429","5,686","4,210",94%,93%,74%
Waimate District,5-11,693,295,31,NA,NA,43%,<5%,NA
Waipa District,12+,"46,646",Masked,Masked,"39,512","28,134",>95%,>95%,71%
Waipa District,5-11,"5,532","2,952",544,NA,NA,53%,10%,NA
Wairoa District,12+,"6,304","5,938","5,722","4,849","3,396",94%,91%,70%
Wairoa District,5-11,897,276,22,NA,NA,31%,<5%,NA
Waitaki District,12+,"19,323",Masked,"18,113","15,881","11,912",>95%,94%,75%
Waitaki District,5-11,"2,012","1,000",50,NA,NA,50%,<5%,NA
Waitomo District,12+,"7,762","7,130","6,955","5,900","3,731",92%,90%,63%
Waitomo District,5-11,968,335,39,NA,NA,35%,<5%,NA
Wellington City,12+,"178,565",Masked,Masked,"161,496","133,489",>95%,>95%,83%
Wellington City,5-11,"16,095","12,054","3,653",NA,NA,75%,23%,NA
Western Bay of Plenty District,12+,"45,702",Masked,"43,183","37,952","25,835",>95%,94%,68%
Western Bay of Plenty District,5-11,"4,865","1,904",252,NA,NA,39%,5%,NA
Westland District,12+,"7,100","6,696","6,603","5,815","4,242",94%,93%,73%
Westland District,5-11,670,291,39,NA,NA,43%,6%,NA
Whakatane District,12+,"30,432","27,326","26,612","22,433","15,312",90%,87%,68%
Whakatane District,5-11,"3,835","1,284",258,NA,NA,33%,7%,NA
Whanganui District,12+,"39,902","37,163","36,535","31,642","23,692",93%,92%,75%
Whanganui District,5-11,"4,483","1,812",360,NA,NA,40%,8%,NA
Whangarei District,12+,"78,696","73,515","72,123","62,658","44,893",93%,92%,72%
Whangarei District,5-11,"9,595","3,754",458,NA,NA,39%,<5%,NA
