sa2_code,sa2,dhbresidence,ethnicity_priority,population,partially_vaccinated,fully_vaccinated,eligible_for_booster,boosted
107400,Tarewa,Northland,Maori,854,719,673,388,173
107400,Tarewa,Northland,Pacific Peoples,37,39,38,26,13
107500,Morningside (Whangarei District),Northland,Maori,767,686,646,406,193
107500,Morningside (Whangarei District),Northland,Pacific Peoples,51,47,46,33,19
107600,Ngunguru,Northland,Maori,153,134,131,98,53
107600,Ngunguru,Northland,Pacific Peoples,4,4,4,4,3
107700,Otaika-Portland,Northland,Maori,294,242,228,150,86
107700,Otaika-Portland,Northland,Pacific Peoples,16,12,12,7,4
107800,Oakleigh-Mangapai,Northland,Maori,234,201,193,118,58
107800,Oakleigh-Mangapai,Northland,Pacific Peoples,13,13,13,11,5
107900,Port-Limeburners,Northland,Maori,28,21,18,7,3
108000,Pataua,Northland,Maori,185,141,136,84,43
108000,Pataua,Northland,Pacific Peoples,14,12,12,9,6
108100,Onerahi Park,Northland,Maori,245,227,220,146,95
108100,Onerahi Park,Northland,Pacific Peoples,39,31,30,22,10
108200,Sherwood Rise,Northland,Maori,618,558,533,326,162
108200,Sherwood Rise,Northland,Pacific Peoples,44,46,45,27,14
108300,Onerahi,Northland,Maori,592,517,483,247,124
108300,Onerahi,Northland,Pacific Peoples,51,42,39,23,14
108400,Inlet Whangarei Harbour,Northland,Pacific Peoples,1,1,1,1,0
108500,Parua Bay,Northland,Maori,269,247,242,168,96
108500,Parua Bay,Northland,Pacific Peoples,24,24,23,20,15
108600,Bream Bay,Northland,Maori,351,302,286,190,100
108600,Bream Bay,Northland,Pacific Peoples,22,24,24,18,9
108700,Marsden Bay,Northland,Maori,300,284,278,187,105
108700,Marsden Bay,Northland,Pacific Peoples,29,24,24,16,6
108800,Ruakaka,Northland,Maori,598,553,530,313,148
108800,Ruakaka,Northland,Pacific Peoples,52,46,46,32,17
108900,Bream Head,Northland,Maori,91,84,84,62,44
108900,Bream Head,Northland,Pacific Peoples,9,7,7,5,2
109000,Waipu,Northland,Maori,289,233,231,158,95
109000,Waipu,Northland,Pacific Peoples,39,34,34,19,9
109100,Kaipara Coastal,Northland,Maori,858,666,622,389,194
109100,Kaipara Coastal,Northland,Pacific Peoples,50,46,42,24,8
109200,Maungaru,Northland,Maori,249,217,204,140,64
109200,Maungaru,Northland,Pacific Peoples,22,22,22,19,8
109300,Dargaville,Northland,Maori,1348,1101,1008,622,286
109300,Dargaville,Northland,Pacific Peoples,198,187,179,113,34
109400,Ruawai-Matakohe,Northland,Maori,463,382,363,267,141
109400,Ruawai-Matakohe,Northland,Pacific Peoples,29,27,24,17,7
109500,Otamatea (Kaipara District),Northland,Maori,178,133,126,81,42
109500,Otamatea (Kaipara District),Northland,Pacific Peoples,20,14,12,9,5
109600,Maungaturoto,Northland,Maori,176,159,146,92,44
109600,Maungaturoto,Northland,Pacific Peoples,17,16,16,10,7
