Territorial Authority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved ,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
Western Bay of Plenty District,12+,"49,737","44,556","43,623","41,689","27,402","18,984","8,415",90%,88%,66%,44%
Western Bay of Plenty District,5-11,"4,834","1,614",683,NA,NA,NA,NA,33%,14%,NA,NA
Westland District,12+,"7,310","6,763","6,662","6,379","4,431","2,996","1,116",93%,91%,69%,37%
Westland District,5-11,670,248,129,NA,NA,NA,NA,37%,19%,NA,NA
Whakatane District,12+,"31,208","27,435","26,673","25,348","16,190","11,003","4,598",88%,85%,64%,42%
Whakatane District,5-11,"3,832","1,130",546,NA,NA,NA,NA,29%,14%,NA,NA
Whanganui District,12+,"41,305","37,140","36,412","34,613","24,752","16,523","8,704",90%,88%,72%,53%
Whanganui District,5-11,"4,457","1,574",850,NA,NA,NA,NA,35%,19%,NA,NA
Whangarei District,12+,"83,037","74,162","72,507","68,851","47,829","31,222","13,912",89%,87%,69%,45%
Whangarei District,5-11,"9,559","3,363","1,523",NA,NA,NA,NA,35%,16%,NA,NA
