DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 Received,Eligible for booster 2,Booster 2 Received,Population
Auckland,Unknown,45-49,Female,183,178,178,97,<5,7,86
Auckland,Unknown,45-49,Male,395,374,372,220,<5,<5,176
Auckland,Unknown,45-49,Unknown/Other,25,23,23,17,<5,<5,19
Auckland,Unknown,5-11,Female,138,89,NA,NA,NA,NA,43
Auckland,Unknown,5-11,Male,126,66,NA,NA,NA,NA,49
Auckland,Unknown,50-54,Female,164,160,160,78,71,8,79
Auckland,Unknown,50-54,Male,319,301,301,173,162,15,180
Auckland,Unknown,50-54,Unknown/Other,24,21,21,15,13,<5,22
Auckland,Unknown,55-59,Female,161,154,152,87,82,8,71
Auckland,Unknown,55-59,Male,289,266,266,167,153,18,154
Auckland,Unknown,55-59,Unknown/Other,12,12,12,10,9,<5,9
Auckland,Unknown,60-64,Female,182,177,176,105,102,22,74
Auckland,Unknown,60-64,Male,211,204,203,109,103,19,119
Auckland,Unknown,60-64,Unknown/Other,9,9,9,5,5,<5,10
Auckland,Unknown,65-69,Female,108,105,105,65,64,18,67
Auckland,Unknown,65-69,Male,172,168,168,102,95,33,84
Auckland,Unknown,65-69,Unknown/Other,7,7,7,5,5,<5,7
Auckland,Unknown,70-74,Female,64,63,63,41,39,16,40
Auckland,Unknown,70-74,Male,85,83,83,48,45,13,43
Auckland,Unknown,75-79,Female,39,36,36,23,22,8,25
Auckland,Unknown,75-79,Male,33,32,32,22,22,9,21
Auckland,Unknown,80-84,Female,9,9,9,7,7,6,12
Auckland,Unknown,80-84,Male,13,12,12,9,9,<5,13
Auckland,Unknown,85-89,Female,5,5,5,<5,<5,<5,6
Auckland,Unknown,85-89,Male,5,5,5,5,5,<5,5
Bay of Plenty,Asian,12-17,Female,616,582,197,21,<5,<5,652
Bay of Plenty,Asian,12-17,Male,674,638,211,17,<5,<5,736
Bay of Plenty,Asian,12-17,Unknown/Other,6,6,<5,<5,<5,<5,8
Bay of Plenty,Asian,18-24,Female,528,526,526,315,<5,<5,625
Bay of Plenty,Asian,18-24,Male,1114,1100,"1,100",400,<5,<5,1239
Bay of Plenty,Asian,25-29,Female,921,918,916,527,<5,9,1060
Bay of Plenty,Asian,25-29,Male,1659,1637,"1,636",609,<5,<5,1728
Bay of Plenty,Asian,30-34,Female,1411,1407,"1,404",894,<5,32,1436
Bay of Plenty,Asian,30-34,Male,1583,1553,"1,552",772,<5,15,1545
Bay of Plenty,Asian,35-39,Female,1136,1129,"1,129",751,<5,23,1154
Bay of Plenty,Asian,35-39,Male,1100,1084,"1,083",678,<5,19,1063
Bay of Plenty,Asian,40-44,Female,815,807,807,522,<5,21,824
Bay of Plenty,Asian,40-44,Male,797,792,791,521,<5,12,767
Bay of Plenty,Asian,40-44,Unknown/Other,7,7,7,<5,<5,<5,7
Bay of Plenty,Asian,45-49,Female,678,673,672,467,<5,22,700
Bay of Plenty,Asian,45-49,Male,599,594,594,426,<5,10,593
Bay of Plenty,Asian,5-11,Female,525,253,NA,NA,NA,NA,943
Bay of Plenty,Asian,5-11,Male,608,296,NA,NA,NA,NA,1111
Bay of Plenty,Asian,50-54,Female,467,465,465,355,330,26,455
Bay of Plenty,Asian,50-54,Male,442,436,436,319,296,16,410
Bay of Plenty,Asian,55-59,Female,361,357,357,270,259,49,388
Bay of Plenty,Asian,55-59,Male,267,266,266,198,190,16,278
Bay of Plenty,Asian,60-64,Female,327,327,327,246,233,31,340
Bay of Plenty,Asian,60-64,Male,207,206,206,159,153,21,210
Bay of Plenty,Asian,65-69,Female,251,249,249,194,187,54,265
Bay of Plenty,Asian,65-69,Male,191,188,188,157,150,32,206
