Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Horowhenua District,12+,"28,779",Masked,"27,299","25,799","18,249",>95%,95%,71%
Horowhenua District,5-11,"3,100","1,412",575,NA,NA,46%,19%,NA
Hurunui District,12+,"10,812",Masked,Masked,"9,855","7,046",>95%,>95%,71%
Hurunui District,5-11,"1,176",612,314,NA,NA,52%,27%,NA
Invercargill City,12+,"45,867",Masked,"43,344","40,868","28,687",>95%,94%,70%
Invercargill City,5-11,"5,141","2,590","1,241",NA,NA,50%,24%,NA
Kaikoura District,12+,"3,473","3,214","3,180","3,038","2,244",93%,92%,74%
Kaikoura District,5-11,315,153,88,NA,NA,49%,28%,NA
Kaipara District,12+,"20,170","18,119","17,685","16,862","11,053",90%,88%,66%
Kaipara District,5-11,"2,228",738,301,NA,NA,33%,14%,NA
Kapiti Coast District,12+,"47,224",Masked,Masked,"42,870","33,595",>95%,>95%,78%
Kapiti Coast District,5-11,"4,658","2,570","1,527",NA,NA,55%,33%,NA
Kawerau District,12+,"6,115","5,516","5,326","4,972","2,943",90%,87%,59%
Kawerau District,5-11,854,223,44,NA,NA,26%,5%,NA
Lower Hutt City,12+,"90,415",Masked,Masked,"82,147","61,056",>95%,>95%,74%
Lower Hutt City,5-11,"10,443","6,614","3,686",NA,NA,63%,35%,NA
Mackenzie District,12+,"4,131","3,873","3,828","3,655","2,576",94%,93%,70%
Mackenzie District,5-11,387,189,79,NA,NA,49%,20%,NA
Manawatu District,12+,"25,552",Masked,Masked,"23,243","16,378",>95%,>95%,70%
Manawatu District,5-11,"3,183","1,695",843,NA,NA,53%,26%,NA
Marlborough District,12+,"41,124",Masked,Masked,"38,494","28,550",>95%,>95%,74%
Marlborough District,5-11,"4,156","2,273","1,142",NA,NA,55%,27%,NA
Masterton District,12+,"22,673",Masked,Masked,"20,484","14,314",>95%,>95%,70%
Masterton District,5-11,"2,400","1,166",446,NA,NA,49%,19%,NA
Matamata-Piako District,12+,"29,213",Masked,"27,691","26,172","16,846",>95%,95%,64%
Matamata-Piako District,5-11,"3,307","1,380",487,NA,NA,42%,15%,NA
Napier City,12+,"54,392",Masked,"51,588","48,677","34,343",>95%,95%,71%
Napier City,5-11,"6,159","2,941","1,214",NA,NA,48%,20%,NA
Nelson City,12+,"44,831",Masked,Masked,"40,854","30,224",>95%,>95%,74%
Nelson City,5-11,"4,453","2,670","1,206",NA,NA,60%,27%,NA
New Plymouth District,12+,"68,131",Masked,Masked,"61,507","42,205",>95%,>95%,69%
New Plymouth District,5-11,"8,373","4,031","2,055",NA,NA,48%,25%,NA
Opotiki District,12+,"7,121","6,734","6,456","6,091","3,825",95%,91%,63%
Opotiki District,5-11,967,254,74,NA,NA,26%,8%,NA
Otorohanga District,12+,"7,960","7,399","7,256","6,785","3,962",93%,91%,58%
Otorohanga District,5-11,"1,086",343,139,NA,NA,32%,13%,NA
Palmerston North City,12+,"70,520",Masked,Masked,"65,568","47,726",>95%,>95%,73%
Palmerston North City,5-11,"8,374","4,884","2,612",NA,NA,58%,31%,NA
Porirua City,12+,"47,708",Masked,Masked,"43,136","30,963",>95%,>95%,72%
Porirua City,5-11,"6,751","3,920","1,859",NA,NA,58%,28%,NA
Queenstown-Lakes District,12+,"35,833",Masked,Masked,"36,973","23,328",>95%,>95%,63%
Queenstown-Lakes District,5-11,"3,430","2,151","1,067",NA,NA,63%,31%,NA
Rangitikei District,12+,"12,699","11,837","11,651","11,026","7,742",93%,92%,70%
Rangitikei District,5-11,"1,491",690,283,NA,NA,46%,19%,NA
Rotorua District,12+,"58,081",Masked,"54,429","50,894","33,355",>95%,94%,66%
Rotorua District,5-11,"7,718","3,323","1,382",NA,NA,43%,18%,NA
Ruapehu District,12+,"9,936","8,866","8,603","8,114","5,138",89%,87%,63%
Ruapehu District,5-11,"1,366",427,175,NA,NA,31%,13%,NA
Selwyn District,12+,"52,972",Masked,Masked,"54,059","40,332",>95%,>95%,75%
Selwyn District,5-11,"6,904","5,077","2,889",NA,NA,74%,42%,NA
South Taranaki District,12+,"20,386",Masked,Masked,"19,127","12,324",>95%,>95%,64%
South Taranaki District,5-11,"2,692","1,191",562,NA,NA,44%,21%,NA
South Waikato District,12+,"19,628","18,136","17,726","16,639","9,962",92%,90%,60%
South Waikato District,5-11,"2,626",965,360,NA,NA,37%,14%,NA
South Wairarapa District,12+,"9,581",Masked,Masked,"8,934","6,716",>95%,>95%,75%
South Wairarapa District,5-11,997,566,262,NA,NA,57%,26%,NA
Southland District,12+,"25,064","23,367","23,045","21,659","14,509",93%,92%,67%
Southland District,5-11,"3,087","1,365",637,NA,NA,44%,21%,NA
Stratford District,12+,"7,475",Masked,"7,056","6,628","4,400",>95%,94%,66%
Stratford District,5-11,993,487,231,NA,NA,49%,23%,NA
Tararua District,12+,"15,002","14,001","13,742","12,909","8,662",93%,92%,67%
Tararua District,5-11,"1,897",773,326,NA,NA,41%,17%,NA
Tasman District,12+,"45,608",Masked,Masked,"41,549","29,595",>95%,>95%,71%
Tasman District,5-11,"4,679","2,231","1,138",NA,NA,48%,24%,NA
Taupo District,12+,"32,180",Masked,"30,084","28,395","18,451",>95%,93%,65%
Taupo District,5-11,"3,743","1,470",631,NA,NA,39%,17%,NA
Tauranga City,12+,"121,578",Masked,Masked,"111,696","74,075",>95%,>95%,66%
Tauranga City,5-11,"14,189","6,760","2,660",NA,NA,48%,19%,NA
Thames-Coromandel District,12+,"26,265","24,881","24,506","23,571","17,416",95%,93%,74%
Thames-Coromandel District,5-11,"2,164",874,404,NA,NA,40%,19%,NA
Timaru District,12+,"41,091",Masked,"38,660","36,555","27,108",>95%,94%,74%
Timaru District,5-11,"4,189","2,302","1,014",NA,NA,55%,24%,NA
Unknown,12+,"129,586","52,077","50,453","47,729","28,415",40%,39%,60%
Unknown,5-11,"11,050","2,421","1,221",NA,NA,22%,11%,NA
Upper Hutt City,12+,"36,898",Masked,Masked,"34,185","25,692",>95%,>95%,75%
Upper Hutt City,5-11,"4,264","2,882","1,585",NA,NA,68%,37%,NA
Waikato District,12+,"63,214",Masked,Masked,"57,496","37,320",>95%,>95%,65%
Waikato District,5-11,"8,689","4,361","1,852",NA,NA,50%,21%,NA
Waimakariri District,12+,"52,718",Masked,Masked,"48,863","35,539",>95%,>95%,73%
Waimakariri District,5-11,"5,438","2,973","1,648",NA,NA,55%,30%,NA
Waimate District,12+,"6,936","6,479","6,403","6,072","4,353",93%,92%,72%
Waimate District,5-11,693,300,129,NA,NA,43%,19%,NA
Waipa District,12+,"46,630",Masked,Masked,"42,405","29,398",>95%,>95%,69%
Waipa District,5-11,"5,531","2,999","1,506",NA,NA,54%,27%,NA
Wairoa District,12+,"6,303",Masked,"5,782","5,423","3,580",>95%,92%,66%
Wairoa District,5-11,896,282,75,NA,NA,31%,8%,NA
Waitaki District,12+,"19,318",Masked,"18,193","17,215","12,459",>95%,94%,72%
Waitaki District,5-11,"2,012","1,008",417,NA,NA,50%,21%,NA
Waitomo District,12+,"7,758","7,150","6,977","6,468","3,920",92%,90%,61%
Waitomo District,5-11,967,345,117,NA,NA,36%,12%,NA
Wellington City,12+,"178,497",Masked,Masked,"170,021","138,632",>95%,>95%,82%
Wellington City,5-11,"16,089","12,165","8,420",NA,NA,76%,52%,NA
Western Bay of Plenty District,12+,"45,656",Masked,Masked,"41,192","26,921",>95%,>95%,65%
Western Bay of Plenty District,5-11,"4,861","1,919",693,NA,NA,39%,14%,NA
Westland District,12+,"7,098","6,689","6,608","6,279","4,373",94%,93%,70%
Westland District,5-11,670,303,146,NA,NA,45%,22%,NA
Whakatane District,12+,"30,314","27,360","26,685","25,068","16,007",90%,88%,64%
Whakatane District,5-11,"3,821","1,316",573,NA,NA,34%,15%,NA
Whanganui District,12+,"39,880","37,130","36,539","34,505","24,633",93%,92%,71%
Whanganui District,5-11,"4,481","1,854",913,NA,NA,41%,20%,NA
Whangarei District,12+,"78,669","73,748","72,414","68,194","47,147",94%,92%,69%
Whangarei District,5-11,"9,594","3,919","1,587",NA,NA,41%,17%,NA
