SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
106100,Whau Valley,Northland,12+,"2,540","2,263","2,227","1,984","1,482",89%,88%,75%
106100,Whau Valley,Northland,5-11,255,107,21,NA,NA,42%,8%,NA
106200,Tikipunga North,Northland,12+,"2,846","2,659","2,608","2,259","1,615",93%,92%,71%
106200,Tikipunga North,Northland,5-11,436,129,19,NA,NA,30%,<5%,NA
106300,Pukenui,Northland,12+,"2,017","1,893","1,882","1,654","1,292",94%,93%,78%
106300,Pukenui,Northland,5-11,245,150,48,NA,NA,61%,20%,NA
106400,Otangarei,Northland,12+,"1,745","1,444","1,350","1,059",566,83%,77%,53%
106400,Otangarei,Northland,5-11,297,43,Masked,NA,NA,14%,<5%,NA
106500,Tikipunga South,Northland,12+,"3,204","2,965","2,896","2,515","1,747",93%,90%,69%
106500,Tikipunga South,Northland,5-11,436,158,28,NA,NA,36%,6%,NA
106600,Kensington (Whangarei District),Northland,12+,"2,940","2,769","2,727","2,453","1,816",94%,93%,74%
106600,Kensington (Whangarei District),Northland,5-11,251,93,18,NA,NA,37%,7%,NA
106700,Abbey Caves-Glenbervie,Northland,12+,"1,177","1,094","1,081",945,694,93%,92%,73%
106700,Abbey Caves-Glenbervie,Northland,5-11,133,50,14,NA,NA,38%,11%,NA
106800,Mairtown,Northland,12+,"2,212","2,035","2,013","1,815","1,387",92%,91%,76%
106800,Mairtown,Northland,5-11,207,92,23,NA,NA,44%,11%,NA
106900,Maunu-Horahora,Northland,12+,"2,976","2,757","2,720","2,419","1,860",93%,91%,77%
106900,Maunu-Horahora,Northland,5-11,353,162,29,NA,NA,46%,8%,NA
107000,Woodhill-Vinetown,Northland,12+,"2,509","2,300","2,255","2,017","1,394",92%,90%,69%
107000,Woodhill-Vinetown,Northland,5-11,238,93,13,NA,NA,39%,5%,NA
107100,Whangarei Central,Northland,12+,958,901,881,797,550,94%,92%,69%
107100,Whangarei Central,Northland,5-11,60,18,Masked,NA,NA,30%,<5%,NA
107200,Riverside,Northland,12+,"1,922","1,718","1,695","1,523","1,089",89%,88%,72%
107200,Riverside,Northland,5-11,169,76,19,NA,NA,45%,11%,NA
107300,Raumanga,Northland,12+,"2,708","2,399","2,292","1,850","1,073",89%,85%,58%
107300,Raumanga,Northland,5-11,464,104,18,NA,NA,22%,<5%,NA
107400,Tarewa,Northland,12+,"1,519","1,327","1,283","1,039",618,87%,84%,59%
107400,Tarewa,Northland,5-11,316,81,13,NA,NA,26%,<5%,NA
107500,Morningside (Whangarei District),Northland,12+,"1,912","1,763","1,716","1,502",942,92%,90%,63%
107500,Morningside (Whangarei District),Northland,5-11,217,82,14,NA,NA,38%,6%,NA
107600,Ngunguru,Northland,12+,"1,066",961,950,843,650,90%,89%,77%
107600,Ngunguru,Northland,5-11,119,62,23,NA,NA,52%,19%,NA
107700,Otaika-Portland,Northland,12+,"1,179","1,028","1,004",876,606,87%,85%,69%
107700,Otaika-Portland,Northland,5-11,139,60,12,NA,NA,43%,9%,NA
107800,Oakleigh-Mangapai,Northland,12+,"1,988","1,760","1,739","1,525","1,080",89%,87%,71%
107800,Oakleigh-Mangapai,Northland,5-11,224,92,25,NA,NA,41%,11%,NA
107900,Port-Limeburners,Northland,12+,182,168,161,150,92,92%,88%,61%
108000,Pataua,Northland,12+,"1,476","1,275","1,250","1,097",743,86%,85%,68%
