SA2 CODE 2018,SA2 2018,DHB, POPULATION , FIRST DOSE , SECOND DOSE , FIRST DOSE UPTAKE , SECOND DOSE UPTAKE 
108300,Onerahi,Northland,2094,1687,1466, 806 , 700 
108500,Parua Bay,Northland,2224,2002,1850, 900 , 832 
108600,Bream Bay,Northland,1843,1569,1404, 851 , 762 
108700,Marsden Bay,Northland,2280,2101,1974, 921 , 866 
108800,Ruakaka,Northland,2340,2072,1875, 885 , 801 
108900,Bream Head,Northland,1215,1077,1009, 886 , 830 
109000,Waipu,Northland,2702,2325,2154, 860 , 797 
109100,Kaipara Coastal,Northland,3153,2424,2085, 769 , 661 
109200,Maungaru,Northland,1514,1211,1066, 800 , 704 
109300,Dargaville,Northland,4251,3369,2946, 793 , 693 
109400,Ruawai-Matakohe,Northland,2098,1732,1541, 826 , 735 
109500,Otamatea (Kaipara District),Northland,1515,1154,1021, 762 , 674 
109600,Maungaturoto,Northland,1038,871,774, 839 , 746 
109700,Kaiwaka,Northland,1980,1531,1314, 773 , 664 
109800,Mangawhai Rural,Northland,2186,1737,1537, 795 , 703 
109900,Mangawhai Heads,Northland,2124,1845,1696, 869 , 798 
110100,Mangawhai,Northland,950,826,749, 869 , 788 
110200,Okahukura Peninsula,Waitemata,1284,1071,960, 834 , 748 
110400,Cape Rodney,Waitemata,3084,2591,2392, 840 , 776 
110500,Wellsford,Waitemata,1605,1332,1205, 830 , 751 
110700,South Head,Waitemata,2187,1885,1736, 862 , 794 
110800,Kaipara Hills,Waitemata,1701,1430,1266, 841 , 744 
110900,Dome Valley-Matakana,Waitemata,1385,1222,1140, 882 , 823 
111100,Warkworth West,Waitemata,2185,1996,1878, 914 , 859 
111200,Puhoi Valley,Waitemata,3273,2875,2682, 878 , 819 
111300,Warkworth East,Waitemata,3025,2776,2627, 918 , 868 
111400,Sandspit,Waitemata,901,792,743, 879 , 825 
111500,Tawharanui Peninsula,Waitemata,1866,1753,1668, 939 , 894 
111600,Te Kuru,Waitemata,2048,1856,1711, 906 , 835 
111700,Snells Beach,Waitemata,3090,2762,2558, 894 , 828 
111800,Barrier Islands,Auckland,848,673,637, 794 , 751 
111900,Algies Bay-Scotts Landing,Waitemata,1091,924,860, 847 , 788 
112100,Wainui-Waiwera,Waitemata,1562,1372,1278, 878 , 818 
112200,Parakai,Waitemata,874,757,689, 866 , 788 
112300,Helensville Rural,Waitemata,1342,1201,1112, 895 , 829 
112400,Helensville,Waitemata,2333,2064,1855, 885 , 795 
112500,Waitoki,Waitemata,1391,1259,1187, 905 , 853 
112600,Waikoukou Valley,Waitemata,1421,1281,1197, 901 , 842 
112700,Orewa North,Waitemata,4177,3931,3790, 941 , 907 
112800,Hatfields Beach,Waitemata,1308,1200,1134, 917 , 867 
112900,Orewa South,Waitemata,3381,3188,3062, 943 , 906 
113000,Orewa Central,Waitemata,2966,2730,2616, 920 , 882 
113100,Millwater North,Waitemata,3056,2834,2717, 927 , 889 
113200,Waipatukahu,Waitemata,1157,1026,944, 887 , 816 
113300,Millwater South,Waitemata,3024,Masked,2739, >950 , 906 
113400,Dairy Flat North,Waitemata,2035,1825,1667, 897 , 819 
113500,Dairy Flat West,Waitemata,1267,1145,1062, 904 , 838 
113600,Kingsway,Waitemata,2003,1836,1734, 917 , 866 
113800,Silverdale Central (Auckland),Waitemata,406,379,350, 933 , 862 
113900,Red Beach West,Waitemata,2409,2171,2076, 901 , 862 
114000,Red Beach East,Waitemata,3401,3178,3002, 934 , 883 
114100,Silverdale South (Auckland),Waitemata,1698,1540,1433, 907 , 844 
114200,Waimauku,Waitemata,1126,1042,986, 925 , 876 
114400,Vipond,Waitemata,2459,2263,2118, 920 , 861 
114500,Muriwai,Waitemata,940,845,795, 899 , 846 
114600,Stanmore Bay West,Waitemata,2204,1997,1864, 906 , 846 
114700,Kumeu Rural West,Waitemata,1465,1332,1248, 909 , 852 
114800,Okura Bush,Waitemata,1187,1065,992, 897 , 836 
114900,Whangaparoa Central,Waitemata,3672,3383,3163, 921 , 861 
115000,Kumeu-Huapai,Waitemata,3914,3706,3523, 947 , 900 
115100,Stanmore Bay East,Waitemata,2340,2095,1942, 895 , 830 
115200,Manly West,Waitemata,2064,1864,1731, 903 , 839 
115300,Muriwai Valley-Bethells Beach,Waitemata,910,791,736, 869 , 809 
115400,Tindalls-Matakatia,Waitemata,1783,1603,1523, 899 , 854 
115500,Coatesville,Waitemata,1974,1782,1695, 903 , 859 
115600,Dairy Flat South,Waitemata,1434,1310,1237, 914 , 863 
115700,Gulf Harbour North,Waitemata,2499,2329,2224, 932 , 890 
115800,Manly East,Waitemata,3106,2770,2622, 892 , 844 
115900,Riverhead,Waitemata,2456,2297,2185, 935 , 890 
116000,Army Bay,Waitemata,1321,1211,1141, 917 , 864 
116100,Kumeu Rural East,Waitemata,2175,1922,1795, 884 , 825 
116200,Gulf Harbour South,Waitemata,2528,2312,2202, 915 , 871 
116300,Paremoremo West,Waitemata,803,726,676, 904 , 842 
116400,Taupaki,Waitemata,1471,1314,1234, 893 , 839 
116500,Long Bay,Waitemata,1985,Masked,1849, >950 , 931 
116600,Paremoremo East,Waitemata,1815,1644,1538, 906 , 847 
116700,Albany Heights,Waitemata,3018,Masked,2788, >950 , 924 
116800,Awaruku,Waitemata,3712,3493,3333, 941 , 898 
116900,Fairview Heights,Waitemata,3304,Masked,2994, >950 , 906 
117000,Whenuapai,Waitemata,4471,Masked,3986, >950 , 892 
117100,Waitakere Ranges North,Waitemata,1072,957,889, 893 , 829 
117200,Torbay,Waitemata,3779,3518,3337, 931 , 883 
117300,Albany Central,Waitemata,1022,Masked,944, >950 , 924 
117400,Albany West,Waitemata,2437,Masked,2264, >950 , 929 
117500,Glamorgan,Waitemata,2629,Masked,2424, >950 , 922 
117600,Oteha East,Waitemata,2591,Masked,2371, >950 , 915 
117700,Northcross,Waitemata,2775,Masked,2556, >950 , 921 
117800,Oteha West,Waitemata,1662,Masked,1575, >950 , 948 
117900,Waiake,Waitemata,3273,3107,2935, 949 , 897 
118000,Waitakere,Waitemata,1674,1508,1406, 901 , 840 
118100,Albany South,Waitemata,2991,2837,2716, 949 , 908 
118200,Browns Bay South West,Waitemata,3583,3369,3195, 940 , 892 
118300,Browns Bay Central,Waitemata,2657,2482,2370, 934 , 892 
118400,Schnapper Rock,Waitemata,3275,Masked,3050, >950 , 931 
118500,Pinehill ,Waitemata,3955,Masked,3716, >950 , 940 
118600,North Harbour,Waitemata,848,773,725, 912 , 855 
118700,Browns Bay South East,Waitemata,2465,Masked,2264, >950 , 918 
118900,Greenhithe West,Waitemata,3141,2971,2827, 946 , 900 
119000,Rothesay Bay,Waitemata,2567,Masked,2347, >950 , 914 
119100,Greenhithe East,Waitemata,2591,Masked,2399, >950 , 926 
119200,Hobsonville,Waitemata,1262,Masked,1138, >950 , 902 
119400,Greenhithe South,Waitemata,1819,Masked,1640, >950 , 902 
119500,Murrays Bay West,Waitemata,2239,Masked,2089, >950 , 933 
119600,Westgate South,Waitemata,1900,1772,1656, 933 , 872 
119700,Windsor Park,Waitemata,1508,1393,1325, 924 , 879 
119800,West Harbour West,Waitemata,3278,3002,2712, 916 , 827 
119900,Unsworth Heights West,Waitemata,2058,Masked,1881, >950 , 914 
120000,Murrays Bay East,Waitemata,1954,1842,1763, 943 , 902 
120100,Birdwood West,Waitemata,706,640,580, 907 , 822 
120200,Hobsonville Point,Waitemata,7076,Masked,6715, >950 , 949 
120300,West Harbour Clearwater Cove,Waitemata,3796,3592,3411, 946 , 899 
120400,Unsworth Heights East,Waitemata,3194,Masked,2892, >950 , 905 
120500,Mairangi Bay North,Waitemata,2585,2449,2318, 947 , 897 
120600,Massey Central,Waitemata,2654,2418,2181, 911 , 822 
120700,West Harbour Luckens Point,Waitemata,2408,2251,2136, 935 , 887 
120800,Mairangi Bay South,Waitemata,2465,Masked,2260, >950 , 917 
120900,Massey Royal Road West,Waitemata,2416,2284,2105, 945 , 871 
121000,Bayview East,Waitemata,2852,Masked,2651, >950 , 930 
121100,Swanson Rural,Waitemata,2011,1801,1655, 896 , 823 
121200,Sunnynook South,Waitemata,2096,Masked,1958, >950 , 934 
121300,Sunnynook North,Waitemata,2323,Masked,Masked, >950 , >950 
121400,Bayview West,Waitemata,1873,Masked,1697, >950 , 906 
121500,Totara Vale North,Waitemata,2526,Masked,2397, >950 , 949 
121600,Royal Heights North,Waitemata,3229,2966,2760, 919 , 855 
121700,Massey West,Waitemata,1397,1292,1178, 925 , 843 
121800,Beach Haven West,Waitemata,2753,2573,2432, 935 , 883 
121900,Totara Vale South,Waitemata,3188,Masked,2978, >950 , 934 
122000,Swanson,Waitemata,2385,Masked,2126, >950 , 891 
122100,Bayview South,Waitemata,2474,Masked,2272, >950 , 918 
122200,Campbells Bay,Waitemata,2552,Masked,2362, >950 , 926 
122300,Royal Heights South,Waitemata,3068,2792,2577, 910 , 840 
122400,Beach Haven East,Waitemata,3136,2854,2615, 910 , 834 
122500,Massey East,Waitemata,2973,2733,2453, 919 , 825 
122600,Forrest Hill North,Waitemata,1972,Masked,Masked, >950 , >950 
122700,Glenfield North,Waitemata,2726,Masked,2589, >950 , 950 
122800,Birkdale North,Waitemata,3363,Masked,3034, >950 , 902 
122900,Massey South,Waitemata,3675,3366,3095, 916 , 842 
123000,Ranui North,Waitemata,3186,2848,2538, 894 , 797 
123100,Glenfield West,Waitemata,2547,Masked,2405, >950 , 944 
123200,Te Atatu Peninsula North West,Waitemata,2605,2412,2266, 926 , 870 
123300,Glenfield South West,Waitemata,3191,Masked,2986, >950 , 936 
123400,Forrest Hill West,Waitemata,3501,Masked,3255, >950 , 930 
123500,Wairau Valley ,Waitemata,229,208,189, 908 , 825 
123600,Forrest Hill East,Waitemata,2915,Masked,Masked, >950 , >950 
123700,Castor Bay,Waitemata,4041,Masked,3727, >950 , 922 
123800,Ranui Domain,Waitemata,2863,2554,2274, 892 , 794 
123900,Beach Haven South,Waitemata,2652,Masked,2418, >950 , 912 
124000,Glenfield Central,Waitemata,3332,Masked,Masked, >950 , >950 
124100,Piha,Waitemata,829,721,672, 870 , 811 
124200,Ranui South West,Waitemata,2221,2038,1873, 918 , 843 
124300,Henderson Larnoch,Waitemata,3438,3212,2884, 934 , 839 
124400,Birkdale South,Waitemata,3745,Masked,3402, >950 , 908 
124500,Te Atatu Peninsula Central,Waitemata,2739,2496,2308, 911 , 843 
124600,Glenfield East,Waitemata,1859,Masked,Masked, >950 , >950 
124700,Henderson Valley,Waitemata,1220,1107,1011, 907 , 829 
124800,Te Atatu Peninsula West,Waitemata,3096,2920,2693, 943 , 870 
124900,Henderson Lincoln West,Waitemata,2708,2500,2302, 923 , 850 
125000,Ranui South East,Waitemata,2381,2174,2025, 913 , 850 
125100,Henderson Lincoln East,Waitemata,206,Masked,182, >950 , 883 
125200,Birkenhead West,Waitemata,3962,Masked,3655, >950 , 923 
125300,Te Atatu Peninsula East,Waitemata,2612,2444,2321, 936 , 889 
125400,Milford West,Waitemata,2610,2454,2368, 940 , 907 
125500,Westlake,Waitemata,2499,Masked,2331, >950 , 933 
125600,Hillcrest North (Auckland),Waitemata,2988,Masked,2778, >950 , 930 
125700,Henderson Lincoln South,Waitemata,2111,1954,1831, 926 , 867 
125800,Hillcrest West (Auckland),Waitemata,2706,Masked,2495, >950 , 922 
125900,Milford Central,Waitemata,1823,1721,1667, 944 , 914 
126000,Summerland South,Waitemata,2750,2570,2464, 935 , 896 
126100,Summerland North,Waitemata,2226,2106,2015, 946 , 905 
126200,Hillcrest East (Auckland),Waitemata,3279,Masked,3040, >950 , 927 
126300,Chatswood,Waitemata,3012,Masked,2757, >950 , 915 
126400,Te Atatu South-Edmonton,Waitemata,3122,2842,2642, 910 , 846 
126500,Birkenhead North,Waitemata,2397,Masked,2185, >950 , 912 
126600,Takapuna West,Waitemata,4023,Masked,3711, >950 , 922 
126700,Henderson North,Waitemata,3352,3073,2836, 917 , 846 
126800,Takapuna Central,Waitemata,2360,2139,2068, 906 , 876 
126900,Western Heights (Auckland),Waitemata,3801,3554,3353, 935 , 882 
127000,Te Atatu South-Central,Waitemata,3554,3373,3167, 949 , 891 
127100,Northcote Central (Auckland),Waitemata,1700,Masked,1513, >950 , 890 
127200,Akoranga,Waitemata,1097,Masked,1007, >950 , 918 
127300,Northcote South (Auckland),Waitemata,2142,Masked,1983, >950 , 926 
127400,Birkenhead South,Waitemata,2660,Masked,2464, >950 , 926 
127500,Henderson Central,Waitemata,1304,1181,1089, 906 , 835 
127600,Waiatarua,Waitemata,1857,1735,1641, 934 , 884 
127700,Te Atatu South-McLeod North,Waitemata,2909,2695,2500, 926 , 859 
127800,Henderson Valley Park,Waitemata,1696,1538,1388, 907 , 818 
127900,Henderson North East,Waitemata,2301,2089,1928, 908 , 838 
128000,Waitakere Ranges South,Waitemata,946,825,753, 872 , 796 
128100,Northcote Tuff Crater,Waitemata,1847,Masked,1742, >950 , 943 
128200,Northcote Point (Auckland),Waitemata,2552,Masked,2389, >950 , 936 
128300,McLaren Park,Waitemata,3546,3177,2908, 896 , 820 
128400,Henderson East,Waitemata,2365,2190,2031, 926 , 859 
128500,Te Atatu South-McLeod South,Waitemata,3129,2898,2700, 926 , 863 
128600,Takapuna South,Waitemata,1359,1289,1232, 948 , 907 
128700,Rosebank Peninsula,Auckland,46,Masked,Masked, >950 , >950 
128800,Hauraki,Waitemata,3598,Masked,3292, >950 , 915 
128900,Glendene North,Waitemata,4028,3680,3397, 914 , 843 
129000,Sunnyvale West-Parrs Park,Waitemata,2173,1969,1781, 906 , 820 
129100,Sunnyvale East,Waitemata,4129,3751,3459, 908 , 838 
129200,Point Chevalier West,Auckland,3427,3212,3082, 937 , 899 
129300,Belmont (Auckland),Waitemata,2452,Masked,2249, >950 , 917 
129400,Bayswater,Waitemata,2375,2246,2164, 946 , 911 
129500,Glendene South,Waitemata,2521,2336,2179, 927 , 864 
129600,Glen Eden West,Waitemata,3119,2858,2610, 916 , 837 
129700,Herne Bay,Auckland,2718,2571,2486, 946 , 915 
129800,Westmere North,Auckland,2088,1977,1925, 947 , 922 
129900,Point Chevalier East,Auckland,3859,Masked,3640, >950 , 943 
130000,Oratia,Waitemata,1846,1702,1589, 922 , 861 
130100,Glen Eden Rosier,Waitemata,2932,2721,2525, 928 , 861 
130200,Saint Marys Bay,Auckland,1902,1765,1709, 928 , 899 
130300,Westmere South-Western Springs,Auckland,2581,Masked,2431, >950 , 942 
130400,Ponsonby West,Auckland,2010,Masked,1846, >950 , 918 
130500,Kelston North,Waitemata,2390,2217,2045, 928 , 856 
130600,Avondale Rosebank ,Auckland,3790,3512,3268, 927 , 862 
130700,Narrow Neck,Waitemata,3760,Masked,3463, >950 , 921 
130800,Glen Eden North,Waitemata,2180,Masked,1922, >950 , 882 
130900,Glen Eden Woodglen,Waitemata,3585,3300,3036, 921 , 847 
131000,Kelston South,Waitemata,2175,2032,1851, 934 , 851 
131100,Waterview,Auckland,3148,Masked,2806, >950 , 891 
131200,Ponsonby East,Auckland,2956,2770,2683, 937 , 908 
131300,Wynyard-Viaduct,Auckland,1216,Masked,1105, >950 , 909 
131400,Stanley Point,Waitemata,1567,Masked,1475, >950 , 941 
131500,Glen Eden Central,Waitemata,2923,2722,2546, 931 , 871 
131600,Grey Lynn North,Auckland,2635,Masked,2436, >950 , 924 
131700,Avondale West (Auckland),Auckland,3417,3234,2981, 946 , 872 
131800,Freemans Bay,Auckland,3944,3630,3505, 920 , 889 
131900,Mount Albert West,Auckland,2287,Masked,2070, >950 , 905 
132000,Avondale North (Auckland),Auckland,3850,Masked,3453, >950 , 897 
132100,Grey Lynn West,Auckland,2632,2474,2366, 940 , 899 
132200,Mount Albert North,Auckland,3304,Masked,3049, >950 , 923 
132300,New Lynn North,Waitemata,2732,2592,2425, 949 , 888 
132400,Victoria Park ,Auckland,2292,Masked,Masked, >950 , >950 
132500,Konini,Waitemata,2981,2779,2670, 932 , 896 
132600,New Lynn North West,Waitemata,2670,2526,2382, 946 , 892 
132700,Hobson Ridge North,Auckland,2014,Masked,Masked, >950 , >950 
132800,Grey Lynn Central,Auckland,3117,Masked,2850, >950 , 914 
132900,Fruitvale,Waitemata,2457,Masked,2226, >950 , 906 
133000,Devonport,Waitemata,3125,2947,2846, 943 , 911 
133100,Avondale Central (Auckland),Auckland,2548,Masked,2294, >950 , 900 
133200,Queen Street,Auckland,1644,Masked,Masked, >950 , >950 
133300,Quay Street-Customs Street,Auckland,1903,Masked,Masked, >950 , >950 
133400,Hobson Ridge Central,Auckland,2182,Masked,Masked, >950 , >950 
133500,Grey Lynn East,Auckland,1731,Masked,1616, >950 , 934 
133600,Morningside (Auckland),Auckland,3428,Masked,3113, >950 , 908 
133700,Shortland Street,Auckland,1746,Masked,1598, >950 , 915 
133800,Hobson Ridge South,Auckland,1317,Masked,Masked, >950 , >950 
133900,New Lynn Central,Waitemata,520,Masked,470, >950 , 904 
134000,Cheltenham,Waitemata,1861,1751,1719, 941 , 924 
134100,Queen Street South West,Auckland,1440,Masked,Masked, >950 , >950 
134200,Mount Albert Central,Auckland,3138,Masked,2970, >950 , 946 
134300,Karangahape,Auckland,2110,Masked,Masked, >950 , >950 
134400,Kingsland,Auckland,2954,Masked,2685, >950 , 909 
134500,Anzac Avenue,Auckland,2624,Masked,Masked, >950 , >950 
134600,Waima-Woodlands Park,Waitemata,2160,2001,1907, 926 , 883 
134700,Kaurilands,Waitemata,2679,Masked,2441, >950 , 911 
134800,Auckland-University,Auckland,82,Masked,Masked, >950 , >950 
134900,New Lynn Seabrook,Waitemata,2495,2332,2165, 935 , 868 
135000,Avondale South (Auckland),Auckland,3550,Masked,3225, >950 , 908 
135100,Symonds Street North West,Auckland,1887,Masked,Masked, >950 , >950 
135200,Mount Albert South,Auckland,2195,Masked,2045, >950 , 932 
135300,Symonds Street West,Auckland,2089,Masked,Masked, >950 , >950 
135400,West Lynn,Waitemata,2616,2459,2336, 940 , 893 
135500,Owairaka West,Auckland,2438,Masked,2297, >950 , 942 
135600,New Lynn Central South,Waitemata,2610,Masked,2330, >950 , 893 
135700,The Strand,Auckland,1297,Masked,Masked, >950 , >950 
135800,St Lukes,Auckland,1895,1788,1704, 944 , 899 
135900,Symonds Street East,Auckland,1889,Masked,Masked, >950 , >950 
136000,Eden Terrace,Auckland,4248,Masked,4015, >950 , 945 
136100,Grafton,Auckland,1516,Masked,1429, >950 , 943 
136200,Eden Park,Auckland,1451,Masked,1339, >950 , 923 
136300,Sandringham North,Auckland,3243,Masked,3069, >950 , 946 
136400,Parnell West,Auckland,4123,Masked,3765, >950 , 913 
136500,New Lynn South,Waitemata,3758,Masked,3401, >950 , 905 
136600,New Windsor North,Auckland,2953,2797,2663, 947 , 902 
136700,Titirangi South,Waitemata,3410,3160,3035, 927 , 890 
136800,Owairaka East,Auckland,1617,Masked,1506, >950 , 931 
136900,Eden Valley,Auckland,2015,Masked,1835, >950 , 911 
137000,Sandringham Central,Auckland,2070,Masked,1906, >950 , 921 
137100,Glenavon,Auckland,2527,2322,2136, 919 , 845 
137200,Blockhouse Bay North,Auckland,3358,3169,3004, 944 , 895 
137300,Green Bay North,Waitemata,1583,1490,1412, 941 , 892 
137400,Parnell East,Auckland,3171,2981,2905, 940 , 916 
137500,Laingholm,Waitemata,1967,1819,1702, 925 , 865 
137600,Sandringham West,Auckland,2065,Masked,1927, >950 , 933 
137700,Mount Eden North East,Auckland,1144,Masked,1051, >950 , 919 
137800,Mount Eden North,Auckland,3038,2852,2748, 939 , 905 
137900,Wesley West,Auckland,2860,2581,2327, 902 , 814 
138000,Green Bay South,Waitemata,2573,2437,2326, 947 , 904 
138100,Balmoral,Auckland,2801,Masked,2614, >950 , 933 
138200,Sandringham East,Auckland,2910,Masked,2733, >950 , 939 
138300,New Windsor South,Auckland,3823,3610,3384, 944 , 885 
138400,Mount Eden West,Auckland,2888,Masked,2721, >950 , 942 
138500,Newmarket,Auckland,3563,Masked,Masked, >950 , >950 
138600,Blockhouse Bay North East,Auckland,1984,Masked,1811, >950 , 913 
138700,Epsom North,Auckland,3159,Masked,2892, >950 , 915 
138800,Wesley South,Auckland,64,Masked,56, >950 , 875 
138900,Blockhouse Bay South,Auckland,3894,Masked,3585, >950 , 921 
139000,Mount Eden East,Auckland,2679,Masked,2479, >950 , 925 
139100,Wesley East,Auckland,1759,1621,1473, 922 , 837 
139200,Orakei West,Auckland,2626,2419,2334, 921 , 889 
139300,Maungawhau,Auckland,2490,Masked,2365, >950 , 950 
139400,Remuera West,Auckland,2569,2397,2309, 933 , 899 
139500,Blockhouse Bay East,Auckland,2269,2121,2053, 935 , 905 
139600,Lynfield North,Auckland,2929,Masked,2744, >950 , 937 
139700,Mount Roskill North,Auckland,3302,3116,2975, 944 , 901 
139800,Mount Roskill White Swan,Auckland,4045,Masked,3760, >950 , 930 
139900,Mount Eden South,Auckland,3434,Masked,3205, >950 , 933 
140000,Remuera Waitaramoa,Auckland,3684,3499,3407, 950 , 925 
140100,Orakei East,Auckland,2469,2251,2124, 912 , 860 
140200,Epsom Central-North,Auckland,3527,Masked,3236, >950 , 917 
140300,Mount St John,Auckland,3388,3101,2955, 915 , 872 
140400,Mount Roskill Central North,Auckland,2814,Masked,2591, >950 , 921 
140500,Remuera North,Auckland,3174,2985,2921, 940 , 920 
140600,Three Kings West,Auckland,1881,1761,1640, 936 , 872 
140700,Mount Roskill Central South,Auckland,1794,1668,1534, 930 , 855 
140800,Epsom Central-South,Auckland,3632,Masked,3344, >950 , 921 
140900,Lynfield South,Auckland,4010,Masked,3690, >950 , 920 
141000,Remuera South,Auckland,3567,Masked,3331, >950 , 934 
141100,Mission Bay,Auckland,4013,3670,3560, 915 , 887 
141200,Three Kings East,Auckland,1333,Masked,1217, >950 , 913 
141300,Mount Roskill South,Auckland,2729,Masked,2524, >950 , 925 
141500,Epsom East,Auckland,2435,Masked,2235, >950 , 918 
141600,Remuera Waiata,Auckland,2678,Masked,2509, >950 , 937 
141700,Epsom South,Auckland,2114,Masked,1957, >950 , 926 
141800,Kohimarama,Auckland,3833,3587,3506, 936 , 915 
141900,Meadowbank West,Auckland,2454,Masked,2301, >950 , 938 
142000,Hillsborough North (Auckland),Auckland,3463,Masked,3164, >950 , 914 
142100,Hillsborough West (Auckland),Auckland,3223,Masked,2977, >950 , 924 
142200,Greenlane North,Auckland,3862,Masked,3656, >950 , 947 
142300,Waikowhai North,Auckland,2936,2755,2534, 938 , 863 
142400,Remuera East,Auckland,2423,Masked,2263, >950 , 934 
142500,Waikowhai South,Auckland,1753,Masked,Masked, >950 , >950 
142600,Royal Oak West (Auckland),Auckland,2353,2177,2079, 925 , 884 
