Ethnic group,Age group,Gender,DHB of residence,Population
Maori,90+,Male,Capital and Coast,5
Maori,90+,Male,West Coast,5
Pacific Peoples,25 to 29,Unknown/Other,Hawke's Bay,5
Pacific Peoples,30 to 34,Unknown/Other,Auckland,5
Pacific Peoples,30 to 34,Unknown/Other,Southern,5
Pacific Peoples,55 to 59,Male,West Coast,5
Pacific Peoples,60 to 64,Female,West Coast,5
Pacific Peoples,75 to 79,Female,Taranaki,5
Pacific Peoples,75 to 79,Male,Nelson Marlborough,5
Pacific Peoples,75 to 79,Male,Whanganui,5
Pacific Peoples,80 to 84,Female,Overseas/Unknown,5
Pacific Peoples,80 to 84,Male,Tairawhiti,5
Pacific Peoples,85 to 89,Female,Northland,5
Pacific Peoples,85 to 89,Male,Bay of Plenty,5
Asian,10 to 14,Unknown/Other,Auckland,6
Asian,15 to 19,Unknown/Other,Southern,6
Asian,20 to 24,Unknown/Other,Nelson Marlborough,6
Asian,25 to 29,Unknown/Other,MidCentral,6
Asian,25 to 29,Unknown/Other,Overseas/Unknown,6
Asian,35 to 39,Unknown/Other,Northland,6
Asian,45 to 49,Unknown/Other,Overseas/Unknown,6
Asian,50 to 54,Unknown/Other,Capital and Coast,6
Asian,70 to 74,Female,West Coast,6
Asian,80 to 84,Female,Whanganui,6
European or Other,0 to 4,Unknown/Other,Waikato,6
European or Other,0 to 4,Unknown/Other,Waitemata,6
European or Other,10 to 14,Unknown/Other,Southern,6
European or Other,15 to 19,Unknown/Other,Nelson Marlborough,6
European or Other,25 to 29,Unknown/Other,South Canterbury,6
European or Other,25 to 29,Unknown/Other,Tairawhiti,6
European or Other,30 to 34,Unknown/Other,South Canterbury,6
European or Other,40 to 44,Unknown/Other,Nelson Marlborough,6
European or Other,40 to 44,Unknown/Other,Taranaki,6
European or Other,45 to 49,Unknown/Other,Bay of Plenty,6
European or Other,5 to 9,Unknown/Other,Canterbury,6
European or Other,5 to 9,Unknown/Other,Hawke's Bay,6
European or Other,60 to 64,Unknown/Other,Capital and Coast,6
European or Other,65 to 69,Unknown/Other,Counties Manukau,6
Maori,20 to 24,Unknown/Other,Capital and Coast,6
Maori,85 to 89,Male,West Coast,6
Pacific Peoples,20 to 24,Unknown/Other,Southern,6
Pacific Peoples,35 to 39,Unknown/Other,Southern,6
Pacific Peoples,45 to 49,Unknown/Other,Nelson Marlborough,6
Pacific Peoples,50 to 54,Unknown/Other,Counties Manukau,6
Pacific Peoples,65 to 69,Male,South Canterbury,6
Pacific Peoples,75 to 79,Female,Overseas/Unknown,6
Pacific Peoples,75 to 79,Female,South Canterbury,6
Pacific Peoples,80 to 84,Female,Wairarapa,6
Pacific Peoples,80 to 84,Female,Whanganui,6
Pacific Peoples,80 to 84,Male,Northland,6
Pacific Peoples,85 to 89,Female,Lakes,6
Asian,15 to 19,Unknown/Other,Nelson Marlborough,7
Asian,20 to 24,Unknown/Other,Hawke's Bay,7
Asian,25 to 29,Unknown/Other,South Canterbury,7
Asian,30 to 34,Unknown/Other,MidCentral,7
Asian,40 to 44,Unknown/Other,Bay of Plenty,7
Asian,40 to 44,Unknown/Other,Southern,7
Asian,5 to 9,Unknown/Other,Counties Manukau,7
Asian,65 to 69,Unknown/Other,Auckland,7
Asian,75 to 79,Female,South Canterbury,7
Asian,80 to 84,Female,Overseas/Unknown,7
Asian,80 to 84,Female,South Canterbury,7
Asian,85 to 89,Female,Whanganui,7
Asian,85 to 89,Male,Tairawhiti,7
Asian,90+,Female,Northland,7
Asian,90+,Male,Southern,7
European or Other,0 to 4,Unknown/Other,Auckland,7
European or Other,25 to 29,Unknown/Other,Hutt Valley,7
European or Other,30 to 34,Unknown/Other,Hutt Valley,7
European or Other,30 to 34,Unknown/Other,MidCentral,7
European or Other,30 to 34,Unknown/Other,Taranaki,7
European or Other,5 to 9,Unknown/Other,Auckland,7
European or Other,5 to 9,Unknown/Other,Counties Manukau,7
European or Other,5 to 9,Unknown/Other,Waitemata,7
European or Other,55 to 59,Unknown/Other,Capital and Coast,7
European or Other,60 to 64,Unknown/Other,Overseas/Unknown,7
Maori,85 to 89,Male,South Canterbury,7
Pacific Peoples,20 to 24,Male,West Coast,7
Pacific Peoples,65 to 69,Female,South Canterbury,7
Pacific Peoples,70 to 74,Female,South Canterbury,7
Pacific Peoples,75 to 79,Female,Wairarapa,7
Pacific Peoples,75 to 79,Male,South Canterbury,7
Pacific Peoples,80 to 84,Male,Taranaki,7
Pacific Peoples,85 to 89,Male,Northland,7
Asian,20 to 24,Unknown/Other,Overseas/Unknown,8
Asian,30 to 34,Unknown/Other,Overseas/Unknown,8
Asian,40 to 44,Unknown/Other,Capital and Coast,8
Asian,40 to 44,Unknown/Other,Waikato,8
Asian,45 to 49,Unknown/Other,Capital and Coast,8
Asian,45 to 49,Unknown/Other,Southern,8
Asian,55 to 59,Unknown/Other,Counties Manukau,8
Asian,65 to 69,Unknown/Other,Waitemata,8
Asian,70 to 74,Male,Tairawhiti,8
Asian,70 to 74,Male,Wairarapa,8
Asian,75 to 79,Female,Tairawhiti,8
Asian,80 to 84,Female,Tairawhiti,8
Asian,80 to 84,Male,Taranaki,8
European or Other,0 to 4,Unknown/Other,Canterbury,8
European or Other,10 to 14,Unknown/Other,Auckland,8
European or Other,10 to 14,Unknown/Other,Waitemata,8
European or Other,30 to 34,Unknown/Other,Bay of Plenty,8
Maori,25 to 29,Unknown/Other,Capital and Coast,8
Maori,90+,Female,Wairarapa,8
Maori,90+,Male,Waitemata,8
Pacific Peoples,20 to 24,Unknown/Other,Waitemata,8
Pacific Peoples,30 to 34,Unknown/Other,Counties Manukau,8
Pacific Peoples,35 to 39,Unknown/Other,Counties Manukau,8
Pacific Peoples,40 to 44,Unknown/Other,Hawke's Bay,8
Pacific Peoples,65 to 69,Male,West Coast,8
Pacific Peoples,75 to 79,Male,Overseas/Unknown,8
Pacific Peoples,80 to 84,Female,Nelson Marlborough,8
Pacific Peoples,85 to 89,Male,Hawke's Bay,8
Pacific Peoples,90+,Female,Waikato,8
Asian,40 to 44,Unknown/Other,Canterbury,9
Asian,65 to 69,Male,Tairawhiti,9
Asian,75 to 79,Female,Overseas/Unknown,9
Asian,75 to 79,Female,Wairarapa,9
Asian,90+,Female,Hawke's Bay,9
European or Other,10 to 14,Unknown/Other,Counties Manukau,9
European or Other,15 to 19,Unknown/Other,Overseas/Unknown,9
European or Other,20 to 24,Unknown/Other,Overseas/Unknown,9
European or Other,35 to 39,Unknown/Other,Waikato,9
European or Other,50 to 54,Unknown/Other,Counties Manukau,9
European or Other,90+,Male,Overseas/Unknown,9
Maori,75 to 79,Female,Overseas/Unknown,9
Maori,85 to 89,Female,South Canterbury,9
Pacific Peoples,10 to 14,Unknown/Other,Counties Manukau,9
Pacific Peoples,20 to 24,Female,West Coast,9
Pacific Peoples,25 to 29,Unknown/Other,Southern,9
Pacific Peoples,70 to 74,Female,Wairarapa,9
Pacific Peoples,70 to 74,Male,Taranaki,9
Pacific Peoples,80 to 84,Female,Lakes,9
Pacific Peoples,85 to 89,Male,Canterbury,9
Pacific Peoples,90+,Female,Canterbury,9
Asian,10 to 14,Unknown/Other,Waitemata,10
Asian,15 to 19,Unknown/Other,Canterbury,10
Asian,35 to 39,Unknown/Other,Nelson Marlborough,10
Asian,45 to 49,Unknown/Other,Hawke's Bay,10
European or Other,45 to 49,Unknown/Other,Capital and Coast,10
European or Other,50 to 54,Unknown/Other,Overseas/Unknown,10
European or Other,55 to 59,Unknown/Other,Waitemata,10
European or Other,65 to 69,Unknown/Other,Auckland,10
Pacific Peoples,85 to 89,Female,MidCentral,10
Pacific Peoples,85 to 89,Female,Southern,10
Pacific Peoples,85 to 89,Male,Hutt Valley,10
Pacific Peoples,85 to 89,Male,Southern,10
Asian,60 to 64,Male,Tairawhiti,11
Asian,60 to 64,Unknown/Other,Waitemata,11
Asian,75 to 79,Male,Wairarapa,11
Asian,85 to 89,Female,Taranaki,11
Asian,90+,Male,MidCentral,11
European or Other,0 to 4,Unknown/Other,Counties Manukau,11
European or Other,15 to 19,Unknown/Other,Waikato,11
European or Other,20 to 24,Unknown/Other,Hutt Valley,11
European or Other,20 to 24,Unknown/Other,Nelson Marlborough,11
European or Other,20 to 24,Unknown/Other,Waikato,11
European or Other,35 to 39,Unknown/Other,Nelson Marlborough,11
European or Other,40 to 44,Unknown/Other,Overseas/Unknown,11
European or Other,60 to 64,Unknown/Other,Auckland,11
Maori,80 to 84,Female,Overseas/Unknown,11
Maori,80 to 84,Male,West Coast,11
Maori,85 to 89,Male,Nelson Marlborough,11
Maori,90+,Male,MidCentral,11
Maori,90+,Male,Whanganui,11
Pacific Peoples,0 to 4,Unknown/Other,Counties Manukau,11
Pacific Peoples,25 to 29,Female,West Coast,11
Pacific Peoples,25 to 29,Male,West Coast,11
Pacific Peoples,40 to 44,Female,West Coast,11
Pacific Peoples,45 to 49,Male,West Coast,11
Pacific Peoples,55 to 59,Female,West Coast,11
Pacific Peoples,60 to 64,Female,South Canterbury,11
Pacific Peoples,60 to 64,Male,South Canterbury,11
Pacific Peoples,70 to 74,Female,Overseas/Unknown,11
Pacific Peoples,75 to 79,Female,Whanganui,11
Pacific Peoples,80 to 84,Female,Tairawhiti,11
Pacific Peoples,90+,Male,Capital and Coast,11
Asian,55 to 59,Unknown/Other,Auckland,12
Asian,75 to 79,Male,Whanganui,12
Asian,80 to 84,Male,Whanganui,12
Asian,85 to 89,Male,Lakes,12
European or Other,25 to 29,Unknown/Other,Waikato,12
European or Other,30 to 34,Unknown/Other,Waikato,12
European or Other,40 to 44,Unknown/Other,Southern,12
European or Other,60 to 64,Unknown/Other,Waitemata,12
Maori,90+,Female,Nelson Marlborough,12
Maori,90+,Male,Canterbury,12
Maori,90+,Male,Counties Manukau,12
Maori,90+,Male,Hawke's Bay,12
Maori,90+,Male,Southern,12
Pacific Peoples,15 to 19,Unknown/Other,Counties Manukau,12
Pacific Peoples,25 to 29,Unknown/Other,Auckland,12
Pacific Peoples,30 to 34,Unknown/Other,Hawke's Bay,12
Pacific Peoples,40 to 44,Unknown/Other,Counties Manukau,12
Pacific Peoples,5 to 9,Female,West Coast,12
Pacific Peoples,80 to 84,Male,Bay of Plenty,12
Pacific Peoples,85 to 89,Female,Hawke's Bay,12
Asian,15 to 19,Unknown/Other,Capital and Coast,13
Asian,35 to 39,Unknown/Other,Overseas/Unknown,13
Asian,55 to 59,Unknown/Other,Waitemata,13
Asian,60 to 64,Male,West Coast,13
Asian,65 to 69,Female,Tairawhiti,13
Asian,70 to 74,Female,Tairawhiti,13
Asian,80 to 84,Female,Nelson Marlborough,13
Asian,85 to 89,Female,Bay of Plenty,13
European or Other,15 to 19,Unknown/Other,Counties Manukau,13
European or Other,25 to 29,Unknown/Other,Bay of Plenty,13
European or Other,30 to 34,Unknown/Other,Hawke's Bay,13
European or Other,45 to 49,Unknown/Other,Counties Manukau,13
European or Other,50 to 54,Unknown/Other,Capital and Coast,13
Maori,75 to 79,Male,Overseas/Unknown,13
Maori,90+,Female,Hutt Valley,13
Maori,90+,Male,Tairawhiti,13
Pacific Peoples,70 to 74,Female,Tairawhiti,13
Pacific Peoples,75 to 79,Female,Lakes,13
Pacific Peoples,75 to 79,Female,Nelson Marlborough,13
Pacific Peoples,75 to 79,Male,Lakes,13
Pacific Peoples,80 to 84,Male,Hawke's Bay,13
Pacific Peoples,90+,Female,Hutt Valley,13
Asian,20 to 24,Unknown/Other,Capital and Coast,14
Asian,35 to 39,Unknown/Other,Waikato,14
Asian,65 to 69,Female,West Coast,14
Asian,65 to 69,Male,South Canterbury,14
Asian,80 to 84,Female,Taranaki,14
Asian,80 to 84,Male,Northland,14
European or Other,15 to 19,Unknown/Other,Canterbury,14
European or Other,15 to 19,Unknown/Other,Hutt Valley,14
European or Other,35 to 39,Unknown/Other,Hawke's Bay,14
European or Other,40 to 44,Unknown/Other,Canterbury,14
Maori,90+,Female,Taranaki,14
Pacific Peoples,0 to 4,Male,West Coast,14
Pacific Peoples,35 to 39,Female,West Coast,14
Pacific Peoples,50 to 54,Male,West Coast,14
Pacific Peoples,55 to 59,Male,South Canterbury,14
Pacific Peoples,70 to 74,Female,Taranaki,14
Pacific Peoples,70 to 74,Male,Tairawhiti,14
Pacific Peoples,70 to 74,Male,Whanganui,14
Pacific Peoples,80 to 84,Female,Bay of Plenty,14
Pacific Peoples,85 to 89,Male,Waikato,14
Asian,5 to 9,Female,Overseas/Unknown,15
Asian,50 to 54,Unknown/Other,Counties Manukau,15
Asian,55 to 59,Male,West Coast,15
Asian,70 to 74,Female,South Canterbury,15
Asian,75 to 79,Female,Whanganui,15
Asian,85 to 89,Female,Northland,15
Maori,85 to 89,Female,Wairarapa,15
Maori,85 to 89,Male,Wairarapa,15
Maori,90+,Female,Whanganui,15
Maori,90+,Male,Lakes,15
Pacific Peoples,5 to 9,Female,Overseas/Unknown,15
Pacific Peoples,65 to 69,Female,Tairawhiti,15
Pacific Peoples,70 to 74,Male,Nelson Marlborough,15
Pacific Peoples,80 to 84,Male,Lakes,15
Asian,15 to 19,Unknown/Other,Counties Manukau,16
Asian,5 to 9,Male,Overseas/Unknown,16
Asian,70 to 74,Male,Whanganui,16
European or Other,35 to 39,Unknown/Other,Canterbury,16
European or Other,40 to 44,Unknown/Other,Capital and Coast,16
European or Other,40 to 44,Unknown/Other,Counties Manukau,16
European or Other,55 to 59,Unknown/Other,Auckland,16
Maori,80 to 84,Female,West Coast,16
Pacific Peoples,10 to 14,Male,West Coast,16
Pacific Peoples,20 to 24,Unknown/Other,Auckland,16
Pacific Peoples,70 to 74,Male,Wairarapa,16
Asian,20 to 24,Female,West Coast,17
Asian,20 to 24,Male,West Coast,17
Asian,75 to 79,Male,Overseas/Unknown,17
Asian,85 to 89,Male,Bay of Plenty,17
Asian,85 to 89,Male,Southern,17
Asian,90+,Female,Southern,17
Asian,90+,Male,Hutt Valley,17
European or Other,25 to 29,Unknown/Other,Hawke's Bay,17
European or Other,30 to 34,Unknown/Other,Counties Manukau,17
Maori,75 to 79,Male,South Canterbury,17
Pacific Peoples,30 to 34,Male,West Coast,17
Pacific Peoples,45 to 49,Female,West Coast,17
Pacific Peoples,50 to 54,Female,West Coast,17
Pacific Peoples,55 to 59,Female,South Canterbury,17
Asian,20 to 24,Unknown/Other,Southern,18
Asian,20 to 24,Unknown/Other,Waikato,18
Asian,35 to 39,Unknown/Other,Hawke's Bay,18
Asian,50 to 54,Male,West Coast,18
Asian,70 to 74,Male,South Canterbury,18
Asian,75 to 79,Female,Taranaki,18
Asian,75 to 79,Male,Nelson Marlborough,18
Asian,80 to 84,Male,Lakes,18
Asian,85 to 89,Female,Hawke's Bay,18
Maori,80 to 84,Female,South Canterbury,18
Maori,85 to 89,Male,Hutt Valley,18
Pacific Peoples,25 to 29,Unknown/Other,Counties Manukau,18
Pacific Peoples,40 to 44,Male,West Coast,18
Pacific Peoples,60 to 64,Male,Wairarapa,18
Pacific Peoples,80 to 84,Female,Hawke's Bay,18
Pacific Peoples,80 to 84,Male,MidCentral,18
Pacific Peoples,90+,Male,Waitemata,18
Asian,30 to 34,Unknown/Other,Nelson Marlborough,19
Asian,35 to 39,Unknown/Other,Southern,19
Asian,65 to 69,Male,Wairarapa,19
Maori,80 to 84,Male,South Canterbury,19
Maori,85 to 89,Male,Whanganui,19
Pacific Peoples,0 to 4,Female,West Coast,19
Pacific Peoples,15 to 19,Male,West Coast,19
Pacific Peoples,5 to 9,Male,Overseas/Unknown,19
Pacific Peoples,65 to 69,Male,Wairarapa,19
Pacific Peoples,70 to 74,Female,Nelson Marlborough,19
Pacific Peoples,80 to 84,Female,Northland,19
Pacific Peoples,90+,Female,Capital and Coast,19
Asian,25 to 29,Unknown/Other,Waikato,20
Asian,60 to 64,Male,Wairarapa,20
Asian,70 to 74,Female,Wairarapa,20
European or Other,25 to 29,Unknown/Other,Overseas/Unknown,20
European or Other,50 to 54,Unknown/Other,Waitemata,20
Maori,85 to 89,Female,Nelson Marlborough,20
Pacific Peoples,20 to 24,Unknown/Other,Counties Manukau,20
Pacific Peoples,35 to 39,Male,West Coast,20
Pacific Peoples,65 to 69,Female,Wairarapa,20
Asian,50 to 54,Unknown/Other,Waitemata,21
Asian,70 to 74,Male,Overseas/Unknown,21
Asian,75 to 79,Male,Taranaki,21
Asian,80 to 84,Female,Lakes,21
Asian,80 to 84,Female,Northland,21
European or Other,25 to 29,Unknown/Other,Nelson Marlborough,21
Maori,75 to 79,Male,West Coast,21
Maori,90+,Female,Capital and Coast,21
Maori,90+,Female,MidCentral,21
Maori,90+,Male,Bay of Plenty,21
Pacific Peoples,65 to 69,Male,Tairawhiti,21
Pacific Peoples,65 to 69,Male,Taranaki,21
Pacific Peoples,85 to 89,Female,Waikato,21
Asian,35 to 39,Unknown/Other,Canterbury,22
Asian,50 to 54,Male,Wairarapa,22
Asian,65 to 69,Male,Whanganui,22
Asian,70 to 74,Female,Overseas/Unknown,22
Asian,85 to 89,Male,Hawke's Bay,22
European or Other,10 to 14,Unknown/Other,Capital and Coast,22
Maori,70 to 74,Male,Overseas/Unknown,22
Maori,85 to 89,Male,Taranaki,22
Pacific Peoples,40 to 44,Unknown/Other,Nelson Marlborough,22
Pacific Peoples,70 to 74,Female,Whanganui,22
Pacific Peoples,85 to 89,Female,Canterbury,22
Asian,20 to 24,Female,Tairawhiti,23
Asian,20 to 24,Unknown/Other,Waitemata,23
Asian,30 to 34,Unknown/Other,Capital and Coast,23
Asian,30 to 34,Unknown/Other,Waikato,23
Asian,35 to 39,Unknown/Other,Capital and Coast,23
Asian,40 to 44,Unknown/Other,Hawke's Bay,23
European or Other,35 to 39,Unknown/Other,Overseas/Unknown,23
European or Other,45 to 49,Unknown/Other,Auckland,23
European or Other,45 to 49,Unknown/Other,Waitemata,23
Maori,70 to 74,Female,Overseas/Unknown,23
Maori,85 to 89,Male,Capital and Coast,23
Maori,90+,Female,Southern,23
Pacific Peoples,15 to 19,Female,West Coast,23
Pacific Peoples,50 to 54,Female,South Canterbury,23
Pacific Peoples,60 to 64,Male,Taranaki,23
Pacific Peoples,65 to 69,Male,Whanganui,23
Pacific Peoples,80 to 84,Female,MidCentral,23
Asian,15 to 19,Female,West Coast,24
Asian,15 to 19,Male,West Coast,24
Asian,75 to 79,Female,Nelson Marlborough,24
Asian,90+,Female,MidCentral,24
European or Other,35 to 39,Unknown/Other,Southern,24
Maori,90+,Male,Waikato,24
Pacific Peoples,50 to 54,Male,South Canterbury,24
Pacific Peoples,65 to 69,Female,Taranaki,24
Pacific Peoples,75 to 79,Male,Hawke's Bay,24
Pacific Peoples,80 to 84,Male,Southern,24
Asian,0 to 4,Male,Overseas/Unknown,25
Asian,20 to 24,Female,Wairarapa,25
Asian,25 to 29,Unknown/Other,Nelson Marlborough,25
Asian,30 to 34,Unknown/Other,Southern,25
Asian,50 to 54,Unknown/Other,Auckland,25
Asian,60 to 64,Female,West Coast,25
Asian,70 to 74,Female,Whanganui,25
Asian,75 to 79,Female,Lakes,25
Asian,75 to 79,Male,Lakes,25
European or Other,30 to 34,Unknown/Other,Overseas/Unknown,25
Maori,80 to 84,Male,Wairarapa,25
Maori,90+,Female,Hawke's Bay,25
Pacific Peoples,30 to 34,Female,West Coast,25
Pacific Peoples,45 to 49,Female,South Canterbury,25
Pacific Peoples,60 to 64,Female,Tairawhiti,25
Pacific Peoples,60 to 64,Female,Wairarapa,25
Asian,15 to 19,Unknown/Other,Waitemata,26
Asian,50 to 54,Female,West Coast,26
Asian,65 to 69,Female,South Canterbury,26
European or Other,15 to 19,Unknown/Other,Auckland,26
European or Other,30 to 34,Unknown/Other,Nelson Marlborough,26
Maori,75 to 79,Female,South Canterbury,26
Pacific Peoples,5 to 9,Male,West Coast,26
Pacific Peoples,65 to 69,Female,Whanganui,26
Pacific Peoples,80 to 84,Female,Southern,26
Asian,30 to 34,Unknown/Other,Hawke's Bay,27
Asian,45 to 49,Unknown/Other,Waitemata,27
Asian,55 to 59,Male,Wairarapa,27
Asian,85 to 89,Female,MidCentral,27
Asian,90+,Male,Waikato,27
European or Other,20 to 24,Unknown/Other,Counties Manukau,27
European or Other,35 to 39,Unknown/Other,Counties Manukau,27
Maori,5 to 9,Female,Overseas/Unknown,27
Maori,85 to 89,Male,MidCentral,27
Maori,90+,Female,Tairawhiti,27
Pacific Peoples,45 to 49,Female,Wairarapa,27
Pacific Peoples,65 to 69,Female,Overseas/Unknown,27
Pacific Peoples,70 to 74,Male,Overseas/Unknown,27
Pacific Peoples,75 to 79,Male,Bay of Plenty,27
Pacific Peoples,75 to 79,Male,Northland,27
Pacific Peoples,85 to 89,Female,Hutt Valley,27
Asian,25 to 29,Unknown/Other,Southern,28
Asian,30 to 34,Unknown/Other,Canterbury,28
Asian,50 to 54,Male,Tairawhiti,28
Asian,85 to 89,Male,MidCentral,28
Maori,85 to 89,Male,Auckland,28
Pacific Peoples,35 to 39,Female,Wairarapa,28
Pacific Peoples,55 to 59,Female,Wairarapa,28
Pacific Peoples,65 to 69,Female,Nelson Marlborough,28
Asian,20 to 24,Unknown/Other,Canterbury,29
Asian,25 to 29,Unknown/Other,Hawke's Bay,29
Asian,85 to 89,Female,Southern,29
European or Other,85 to 89,Male,Overseas/Unknown,29
European or Other,90+,Female,Overseas/Unknown,29
Maori,75 to 79,Female,West Coast,29
Maori,85 to 89,Female,Hutt Valley,29
Maori,85 to 89,Female,Taranaki,29
Pacific Peoples,40 to 44,Male,Wairarapa,29
Pacific Peoples,45 to 49,Female,Tairawhiti,29
Pacific Peoples,90+,Male,Auckland,29
Asian,65 to 69,Female,Wairarapa,30
Asian,70 to 74,Male,Taranaki,30
Asian,80 to 84,Male,Hawke's Bay,30
Asian,90+,Female,Hutt Valley,30
European or Other,15 to 19,Unknown/Other,Southern,30
European or Other,20 to 24,Unknown/Other,Canterbury,30
European or Other,50 to 54,Unknown/Other,Auckland,30
Maori,90+,Female,Canterbury,30
Pacific Peoples,5 to 9,Female,Tairawhiti,30
Pacific Peoples,60 to 64,Female,Taranaki,30
Pacific Peoples,65 to 69,Male,Overseas/Unknown,30
Asian,60 to 64,Female,Tairawhiti,31
European or Other,15 to 19,Unknown/Other,Waitemata,31
European or Other,40 to 44,Unknown/Other,Waitemata,31
Maori,90+,Female,Auckland,31
Pacific Peoples,0 to 4,Female,Overseas/Unknown,31
Pacific Peoples,60 to 64,Female,Overseas/Unknown,31
Pacific Peoples,60 to 64,Male,Tairawhiti,31
Pacific Peoples,65 to 69,Male,Nelson Marlborough,31
Pacific Peoples,70 to 74,Female,Lakes,31
Asian,60 to 64,Male,Whanganui,32
Asian,75 to 79,Male,Northland,32
Asian,80 to 84,Male,Southern,32
European or Other,25 to 29,Unknown/Other,Counties Manukau,32
European or Other,85 to 89,Female,Overseas/Unknown,32
Maori,90+,Female,Lakes,32
Pacific Peoples,10 to 14,Female,West Coast,32
Pacific Peoples,60 to 64,Male,Whanganui,32
Asian,25 to 29,Unknown/Other,Capital and Coast,33
Asian,35 to 39,Unknown/Other,Waitemata,33
Asian,45 to 49,Male,West Coast,33
Asian,65 to 69,Female,Whanganui,33
Asian,80 to 84,Female,Southern,33
Asian,90+,Male,Canterbury,33
European or Other,30 to 34,Unknown/Other,Canterbury,33
European or Other,35 to 39,Unknown/Other,Capital and Coast,33
Maori,80 to 84,Female,Wairarapa,33
Pacific Peoples,40 to 44,Female,Tairawhiti,33
Pacific Peoples,75 to 79,Female,Northland,33
Pacific Peoples,85 to 89,Male,Capital and Coast,33
Asian,10 to 14,Male,West Coast,34
Maori,85 to 89,Male,Tairawhiti,34
Maori,90+,Female,Waitemata,34
Pacific Peoples,0 to 4,Male,Overseas/Unknown,34
Pacific Peoples,30 to 34,Female,Wairarapa,34
Pacific Peoples,35 to 39,Unknown/Other,Nelson Marlborough,34
Pacific Peoples,50 to 54,Male,Wairarapa,34
Pacific Peoples,55 to 59,Male,Taranaki,34
Pacific Peoples,55 to 59,Male,Wairarapa,34
Pacific Peoples,70 to 74,Male,Bay of Plenty,34
Pacific Peoples,70 to 74,Male,Lakes,34
Pacific Peoples,75 to 79,Female,Hawke's Bay,34
Asian,55 to 59,Female,West Coast,35
Asian,70 to 74,Male,Nelson Marlborough,35
Maori,90+,Female,Counties Manukau,35
Pacific Peoples,20 to 24,Female,Tairawhiti,35
Various,70 to 74,Various,Various,35
Asian,35 to 39,Unknown/Other,Counties Manukau,36
European or Other,25 to 29,Unknown/Other,Canterbury,36
Maori,85 to 89,Male,Canterbury,36
Maori,90+,Male,Northland,36
Pacific Peoples,10 to 14,Female,Tairawhiti,36
Pacific Peoples,55 to 59,Female,Taranaki,36
Pacific Peoples,55 to 59,Female,Whanganui,36
Various,40 to 44,Various,Various,36
Asian,15 to 19,Female,Tairawhiti,37
Asian,90+,Female,Waikato,37
Pacific Peoples,60 to 64,Female,Nelson Marlborough,37
Pacific Peoples,75 to 79,Female,MidCentral,37
Asian,15 to 19,Male,Tairawhiti,38
Asian,45 to 49,Unknown/Other,Auckland,38
Asian,60 to 64,Male,South Canterbury,38
Asian,65 to 69,Male,Overseas/Unknown,38
Maori,85 to 89,Female,Whanganui,38
Maori,85 to 89,Male,Waitemata,38
Pacific Peoples,10 to 14,Male,Overseas/Unknown,38
Pacific Peoples,30 to 34,Female,Tairawhiti,38
Pacific Peoples,40 to 44,Female,Wairarapa,38
Pacific Peoples,45 to 49,Male,Wairarapa,38
Pacific Peoples,50 to 54,Female,Overseas/Unknown,38
Pacific Peoples,50 to 54,Female,Tairawhiti,38
Pacific Peoples,75 to 79,Male,MidCentral,38
Various,30 to 34,Various,Various,38
