SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
110100,Mangawhai,Northland,12+,"1,010",875,864,835,616,588,231,87%,86%,74%,39%
110100,Mangawhai,Northland,5-11,113,40,17,NA,NA,NA,NA,35%,15%,NA,NA
110200,Okahukura Peninsula,Waitemata,12+,"1,363","1,115","1,093","1,051",646,589,168,82%,80%,61%,29%
110200,Okahukura Peninsula,Waitemata,5-11,153,49,25,NA,NA,NA,NA,32%,16%,NA,NA
110400,Cape Rodney,Waitemata,12+,"3,331","2,756","2,707","2,620","1,797","1,666",590,83%,81%,69%,35%
110400,Cape Rodney,Waitemata,5-11,340,145,71,NA,NA,NA,NA,43%,21%,NA,NA
110500,Wellsford,Waitemata,12+,"1,739","1,415","1,385","1,320",796,703,183,81%,80%,60%,26%
110500,Wellsford,Waitemata,5-11,198,63,35,NA,NA,NA,NA,32%,18%,NA,NA
110700,South Head,Waitemata,12+,"2,421","2,031","1,987","1,899","1,259","1,142",388,84%,82%,66%,34%
110700,South Head,Waitemata,5-11,261,111,51,NA,NA,NA,NA,43%,20%,NA,NA
110800,Kaipara Hills,Waitemata,12+,"1,862","1,517","1,492","1,414",825,752,183,81%,80%,58%,24%
110800,Kaipara Hills,Waitemata,5-11,220,95,50,NA,NA,NA,NA,43%,23%,NA,NA
110900,Dome Valley-Matakana,Waitemata,12+,"1,501","1,266","1,249","1,196",889,831,316,84%,83%,74%,38%
110900,Dome Valley-Matakana,Waitemata,5-11,165,111,60,NA,NA,NA,NA,67%,36%,NA,NA
111100,Warkworth West,Waitemata,12+,"2,410","2,128","2,107","2,023","1,529","1,396",681,88%,87%,76%,49%
111100,Warkworth West,Waitemata,5-11,220,96,51,NA,NA,NA,NA,44%,23%,NA,NA
111200,Puhoi Valley,Waitemata,12+,"3,569","3,026","2,983","2,849","1,924","1,722",574,85%,84%,68%,33%
111200,Puhoi Valley,Waitemata,5-11,331,157,73,NA,NA,NA,NA,47%,22%,NA,NA
111300,Warkworth East,Waitemata,12+,"3,396","2,999","2,983","2,858","2,082","1,878",731,88%,88%,73%,39%
111300,Warkworth East,Waitemata,5-11,366,177,102,NA,NA,NA,NA,48%,28%,NA,NA
111400,Sandspit,Waitemata,12+,977,851,836,811,625,582,257,87%,86%,77%,44%
111400,Sandspit,Waitemata,5-11,60,27,18,NA,NA,NA,NA,45%,30%,NA,NA
111500,Tawharanui Peninsula,Waitemata,12+,"2,053","1,824","1,811","1,737","1,322","1,248",576,89%,88%,76%,46%
111500,Tawharanui Peninsula,Waitemata,5-11,160,98,53,NA,NA,NA,NA,61%,33%,NA,NA
111600,Te Kuru,Waitemata,12+,"2,267","1,991","1,960","1,869","1,215","1,075",300,88%,86%,65%,28%
111600,Te Kuru,Waitemata,5-11,271,135,48,NA,NA,NA,NA,50%,18%,NA,NA
111700,Snells Beach,Waitemata,12+,"3,312","2,859","2,837","2,715","2,005","1,866",817,86%,86%,74%,44%
111700,Snells Beach,Waitemata,5-11,366,170,84,NA,NA,NA,NA,46%,23%,NA,NA
