SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
103900,Paihia,Northland,Maori,5-11,69,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104000,Mataraua Forest,Northland,Maori,12+,353,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104000,Mataraua Forest,Northland,Maori,5-11,55,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104100,Matawaia-Taumarere,Northland,Maori,12+,845,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104100,Matawaia-Taumarere,Northland,Maori,5-11,159,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104200,Russell Peninsula,Northland,Maori,12+,82,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104300,Opua (Far North District),Northland,Maori,12+,185,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104400,Russell Forest-Rawhiti,Northland,Maori,12+,414,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104400,Russell Forest-Rawhiti,Northland,Maori,5-11,65,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104500,Moerewa,Northland,Maori,12+,"1,213",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104500,Moerewa,Northland,Maori,5-11,230,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104600,Kawakawa,Northland,Maori,12+,834,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104600,Kawakawa,Northland,Maori,5-11,152,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104700,Maromaku,Northland,Maori,12+,267,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104700,Maromaku,Northland,Maori,5-11,77,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104800,Mangakahia-Hukerenui,Northland,Maori,12+,630,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104800,Mangakahia-Hukerenui,Northland,Maori,5-11,125,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104900,Whangaruru,Northland,Maori,12+,699,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
104900,Whangaruru,Northland,Maori,5-11,138,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105100,Matarau,Northland,Maori,12+,412,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105100,Matarau,Northland,Maori,5-11,89,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105200,Hikurangi,Northland,Maori,12+,497,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105200,Hikurangi,Northland,Maori,5-11,137,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105300,Kauri,Northland,Maori,12+,249,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105300,Kauri,Northland,Maori,5-11,54,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105400,Maungatapere,Northland,Maori,12+,469,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105400,Maungatapere,Northland,Maori,5-11,105,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105500,Kamo West,Northland,Maori,12+,426,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105500,Kamo West,Northland,Maori,5-11,94,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105600,Matapouri-Tutukaka,Northland,Maori,12+,240,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105700,Kiripaka,Northland,Maori,12+,206,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105800,Kamo East,Northland,Maori,12+,989,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105800,Kamo East,Northland,Maori,5-11,244,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105800,Kamo East,Northland,Pacific Peoples,12+,103,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105900,Granfield Reserve,Northland,Maori,12+,475,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
105900,Granfield Reserve,Northland,Maori,5-11,83,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106000,Kamo Central,Northland,Maori,12+,433,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106000,Kamo Central,Northland,Maori,5-11,93,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106100,Whau Valley,Northland,Maori,12+,607,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106100,Whau Valley,Northland,Maori,5-11,125,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106100,Whau Valley,Northland,Pacific Peoples,12+,48,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106200,Tikipunga North,Northland,Maori,12+,"1,040",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106200,Tikipunga North,Northland,Maori,5-11,258,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106200,Tikipunga North,Northland,Pacific Peoples,12+,88,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106300,Pukenui,Northland,Maori,12+,185,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106300,Pukenui,Northland,Maori,5-11,55,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106400,Otangarei,Northland,Maori,12+,"1,324",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106400,Otangarei,Northland,Maori,5-11,298,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106400,Otangarei,Northland,Pacific Peoples,12+,53,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106500,Tikipunga South,Northland,Maori,12+,"1,268",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106500,Tikipunga South,Northland,Maori,5-11,287,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106500,Tikipunga South,Northland,Pacific Peoples,12+,89,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106600,Kensington (Whangarei District),Northland,Maori,12+,753,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106600,Kensington (Whangarei District),Northland,Maori,5-11,118,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106600,Kensington (Whangarei District),Northland,Pacific Peoples,12+,67,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106700,Abbey Caves-Glenbervie,Northland,Maori,12+,144,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106800,Mairtown,Northland,Maori,12+,542,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106800,Mairtown,Northland,Maori,5-11,82,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106800,Mairtown,Northland,Pacific Peoples,12+,54,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106900,Maunu-Horahora,Northland,Maori,12+,547,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106900,Maunu-Horahora,Northland,Maori,5-11,101,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
106900,Maunu-Horahora,Northland,Pacific Peoples,12+,45,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107000,Woodhill-Vinetown,Northland,Maori,12+,747,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107000,Woodhill-Vinetown,Northland,Maori,5-11,106,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107000,Woodhill-Vinetown,Northland,Pacific Peoples,12+,70,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107100,Whangarei Central,Northland,Maori,12+,271,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107200,Riverside,Northland,Maori,12+,430,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107200,Riverside,Northland,Maori,5-11,85,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107200,Riverside,Northland,Pacific Peoples,12+,48,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107300,Raumanga,Northland,Maori,12+,"1,471",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107300,Raumanga,Northland,Maori,5-11,346,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107300,Raumanga,Northland,Pacific Peoples,12+,115,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107400,Tarewa,Northland,Maori,12+,973,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107400,Tarewa,Northland,Maori,5-11,221,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107400,Tarewa,Northland,Pacific Peoples,12+,45,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107500,Morningside (Whangarei District),Northland,Maori,12+,797,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107500,Morningside (Whangarei District),Northland,Maori,5-11,134,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107500,Morningside (Whangarei District),Northland,Pacific Peoples,12+,49,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107600,Ngunguru,Northland,Maori,12+,158,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107600,Ngunguru,Northland,Maori,5-11,47,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107700,Otaika-Portland,Northland,Maori,12+,298,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107700,Otaika-Portland,Northland,Maori,5-11,59,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107800,Oakleigh-Mangapai,Northland,Maori,12+,262,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
107800,Oakleigh-Mangapai,Northland,Maori,5-11,54,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108000,Pataua,Northland,Maori,12+,215,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108000,Pataua,Northland,Maori,5-11,49,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108100,Onerahi Park,Northland,Maori,12+,261,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108100,Onerahi Park,Northland,Maori,5-11,48,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108200,Sherwood Rise,Northland,Maori,12+,649,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108200,Sherwood Rise,Northland,Maori,5-11,148,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108200,Sherwood Rise,Northland,Pacific Peoples,12+,42,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108300,Onerahi,Northland,Maori,12+,594,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108300,Onerahi,Northland,Maori,5-11,142,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108300,Onerahi,Northland,Pacific Peoples,12+,51,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108500,Parua Bay,Northland,Maori,12+,290,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108500,Parua Bay,Northland,Maori,5-11,58,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108600,Bream Bay,Northland,Maori,12+,357,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108600,Bream Bay,Northland,Maori,5-11,73,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108700,Marsden Bay,Northland,Maori,12+,337,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108700,Marsden Bay,Northland,Maori,5-11,85,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108800,Ruakaka,Northland,Maori,12+,640,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108800,Ruakaka,Northland,Maori,5-11,147,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108800,Ruakaka,Northland,Pacific Peoples,12+,51,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
108900,Bream Head,Northland,Maori,12+,104,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109000,Waipu,Northland,Maori,12+,322,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109000,Waipu,Northland,Maori,5-11,50,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109100,Kaipara Coastal,Northland,Maori,12+,897,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109100,Kaipara Coastal,Northland,Maori,5-11,175,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109100,Kaipara Coastal,Northland,Pacific Peoples,12+,60,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109200,Maungaru,Northland,Maori,12+,269,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
