Date,First dose administered,Second dose administered
12/08/2021,"32,487","16,518"
13/08/2021,"31,346","15,623"
14/08/2021,"30,374","13,281"
15/08/2021,"18,269","7,372"
16/08/2021,"30,346","16,037"
17/08/2021,"35,806","20,370"
18/08/2021,402,97
19/08/2021,"21,532","8,725"
20/08/2021,"38,645","20,135"
21/08/2021,"38,291","15,768"
22/08/2021,"28,444","9,042"
23/08/2021,"46,712","19,405"
24/08/2021,"59,280","23,487"
25/08/2021,"63,218","26,378"
26/08/2021,"67,446","25,414"
27/08/2021,"66,939","24,510"
28/08/2021,"56,487","22,300"
29/08/2021,"36,879","11,432"
30/08/2021,"54,583","23,695"
31/08/2021,"59,184","27,412"
01/09/2021,"63,200","27,543"
02/09/2021,"64,775","25,140"
03/09/2021,"61,398","25,777"
04/09/2021,"55,714","22,488"
05/09/2021,"26,865","11,978"
06/09/2021,"44,907","21,723"
07/09/2021,"49,594","23,299"
