SA2 CODE 2018,SA2 2018,DHB,ETHNICITY, POPULATION , FIRST DOSE , SECOND DOSE , FIRST DOSE UPTAKE , SECOND DOSE UPTAKE 
118200,Browns Bay South West,Waitemata,Maori,118,Masked,102, >950 , 864 
118300,Browns Bay Central,Waitemata,Maori,99,92,89, 929 , 899 
118400,Schnapper Rock,Waitemata,Maori,80,Masked,74, >950 , 925 
118500,Pinehill ,Waitemata,Maori,80,63,58, 788 , 725 
118600,North Harbour,Waitemata,Maori,73,52,45, 712 , 616 
118700,Browns Bay South East,Waitemata,Maori,81,73,70, 901 , 864 
118900,Greenhithe West,Waitemata,Maori,107,Masked,91, >950 , 850 
118900,Greenhithe West,Waitemata,Pacific Peoples,41,Masked,37, >950 , 902 
119000,Rothesay Bay,Waitemata,Maori,54,Masked,47, >950 , 870 
119100,Greenhithe East,Waitemata,Maori,90,84,82, 933 , 911 
119100,Greenhithe East,Waitemata,Pacific Peoples,43,38,37, 884 , 860 
119200,Hobsonville,Waitemata,Maori,48,Masked,Masked, >950 , >950 
119200,Hobsonville,Waitemata,Pacific Peoples,45,Masked,Masked, >950 , >950 
119400,Greenhithe South,Waitemata,Maori,68,Masked,Masked, >950 , >950 
119500,Murrays Bay West,Waitemata,Maori,80,73,68, 913 , 850 
119600,Westgate South,Waitemata,Maori,241,203,182, 842 , 755 
119600,Westgate South,Waitemata,Pacific Peoples,245,213,194, 869 , 792 
119800,West Harbour West,Waitemata,Maori,534,443,361, 830 , 676 
119800,West Harbour West,Waitemata,Pacific Peoples,595,491,432, 825 , 726 
119900,Unsworth Heights West,Waitemata,Maori,45,Masked,Masked, >950 , >950 
119900,Unsworth Heights West,Waitemata,Pacific Peoples,40,Masked,Masked, >950 , >950 
120000,Murrays Bay East,Waitemata,Maori,61,Masked,57, >950 , 934 
120100,Birdwood West,Waitemata,Maori,93,86,70, 925 , 753 
120200,Hobsonville Point,Waitemata,Maori,195,Masked,Masked, >950 , >950 
120200,Hobsonville Point,Waitemata,Pacific Peoples,118,Masked,Masked, >950 , >950 
120300,West Harbour Clearwater Cove,Waitemata,Maori,204,Masked,179, >950 , 877 
120300,West Harbour Clearwater Cove,Waitemata,Pacific Peoples,151,Masked,133, >950 , 881 
120400,Unsworth Heights East,Waitemata,Maori,148,Masked,128, >950 , 865 
120400,Unsworth Heights East,Waitemata,Pacific Peoples,114,108,98, 947 , 860 
120500,Mairangi Bay North,Waitemata,Maori,85,Masked,76, >950 , 894 
120600,Massey Central,Waitemata,Maori,488,408,338, 836 , 693 
120600,Massey Central,Waitemata,Pacific Peoples,681,601,530, 883 , 778 
120700,West Harbour Luckens Point,Waitemata,Maori,123,102,99, 829 , 805 
120700,West Harbour Luckens Point,Waitemata,Pacific Peoples,84,Masked,68, >950 , 810 
