SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
108600,Bream Bay,Northland,5-11,231,89,33,NA,NA,39%,14%,NA
108700,Marsden Bay,Northland,12+,"2,371",Masked,Masked,"2,120","1,649",>95%,>95%,78%
108700,Marsden Bay,Northland,5-11,246,102,50,NA,NA,41%,20%,NA
108800,Ruakaka,Northland,12+,"2,379","2,231","2,195","2,059","1,408",94%,92%,68%
108800,Ruakaka,Northland,5-11,243,76,18,NA,NA,31%,7%,NA
108900,Bream Head,Northland,12+,"1,210","1,123","1,111","1,067",822,93%,92%,77%
108900,Bream Head,Northland,5-11,120,69,30,NA,NA,57%,25%,NA
109000,Waipu,Northland,12+,"2,821","2,473","2,448","2,336","1,749",88%,87%,75%
109000,Waipu,Northland,5-11,222,72,38,NA,NA,32%,17%,NA
109100,Kaipara Coastal,Northland,12+,"3,255","2,664","2,592","2,415","1,460",82%,80%,60%
109100,Kaipara Coastal,Northland,5-11,329,101,42,NA,NA,31%,13%,NA
109200,Maungaru,Northland,12+,"1,568","1,320","1,297","1,212",734,84%,83%,61%
109200,Maungaru,Northland,5-11,165,61,16,NA,NA,37%,10%,NA
109300,Dargaville,Northland,12+,"4,337","3,712","3,604","3,361","2,163",86%,83%,64%
109300,Dargaville,Northland,5-11,444,125,47,NA,NA,28%,11%,NA
109400,Ruawai-Matakohe,Northland,12+,"2,146","1,860","1,820","1,700","1,144",87%,85%,67%
109400,Ruawai-Matakohe,Northland,5-11,260,75,25,NA,NA,29%,10%,NA
109500,Otamatea (Kaipara District),Northland,12+,"1,567","1,285","1,252","1,172",817,82%,80%,70%
109500,Otamatea (Kaipara District),Northland,5-11,165,56,14,NA,NA,34%,8%,NA
109600,Maungaturoto,Northland,12+,"1,054",953,924,847,574,90%,88%,68%
109600,Maungaturoto,Northland,5-11,143,53,17,NA,NA,37%,12%,NA
109700,Kaiwaka,Northland,12+,"1,998","1,635","1,591","1,466",938,82%,80%,64%
109700,Kaiwaka,Northland,5-11,229,74,25,NA,NA,32%,11%,NA
109800,Mangawhai Rural,Northland,12+,"2,268","1,868","1,834","1,763","1,172",82%,81%,66%
109800,Mangawhai Rural,Northland,5-11,241,87,38,NA,NA,36%,16%,NA
109900,Mangawhai Heads,Northland,12+,"2,145","1,932","1,898","1,817","1,313",90%,88%,72%
109900,Mangawhai Heads,Northland,5-11,194,64,25,NA,NA,33%,13%,NA
110100,Mangawhai,Northland,12+,959,878,867,821,605,92%,90%,74%
110100,Mangawhai,Northland,5-11,110,38,21,NA,NA,35%,19%,NA
110200,Okahukura Peninsula,Waitemata,12+,"1,304","1,129","1,110","1,032",629,87%,85%,61%
110200,Okahukura Peninsula,Waitemata,5-11,141,45,15,NA,NA,32%,11%,NA
110400,Cape Rodney,Waitemata,12+,"3,192","2,796","2,743","2,594","1,745",88%,86%,67%
110400,Cape Rodney,Waitemata,5-11,321,141,60,NA,NA,44%,19%,NA
110500,Wellsford,Waitemata,12+,"1,654","1,452","1,419","1,305",793,88%,86%,61%
110500,Wellsford,Waitemata,5-11,208,61,30,NA,NA,29%,14%,NA
110700,South Head,Waitemata,12+,"2,253","2,023","1,988","1,846","1,234",90%,88%,67%
110700,South Head,Waitemata,5-11,255,107,46,NA,NA,42%,18%,NA
110800,Kaipara Hills,Waitemata,12+,"1,754","1,520","1,496","1,375",813,87%,85%,59%
110800,Kaipara Hills,Waitemata,5-11,226,92,37,NA,NA,41%,16%,NA
110900,Dome Valley-Matakana,Waitemata,12+,"1,420","1,282","1,262","1,173",859,90%,89%,73%
110900,Dome Valley-Matakana,Waitemata,5-11,172,106,52,NA,NA,62%,30%,NA
111100,Warkworth West,Waitemata,12+,"2,318","2,179","2,159","2,023","1,515",94%,93%,75%
111100,Warkworth West,Waitemata,5-11,220,94,38,NA,NA,43%,17%,NA
111200,Puhoi Valley,Waitemata,12+,"3,350","3,030","2,987","2,788","1,857",90%,89%,67%
111200,Puhoi Valley,Waitemata,5-11,320,138,59,NA,NA,43%,18%,NA
111300,Warkworth East,Waitemata,12+,"3,124","2,940","2,918","2,756","1,992",94%,93%,72%
111300,Warkworth East,Waitemata,5-11,345,170,76,NA,NA,49%,22%,NA
111400,Sandspit,Waitemata,12+,925,845,831,793,603,91%,90%,76%
111400,Sandspit,Waitemata,5-11,73,28,18,NA,NA,38%,25%,NA
111500,Tawharanui Peninsula,Waitemata,12+,"1,918",Masked,Masked,"1,744","1,330",>95%,>95%,76%
111500,Tawharanui Peninsula,Waitemata,5-11,162,102,44,NA,NA,63%,27%,NA
111600,Te Kuru,Waitemata,12+,"2,120","1,981","1,953","1,822","1,174",93%,92%,64%
111600,Te Kuru,Waitemata,5-11,278,133,36,NA,NA,48%,13%,NA
111700,Snells Beach,Waitemata,12+,"3,158","2,910","2,887","2,702","1,986",92%,91%,74%
111700,Snells Beach,Waitemata,5-11,332,164,70,NA,NA,49%,21%,NA
111800,Barrier Islands,Auckland,12+,938,788,772,741,552,84%,82%,74%
111800,Barrier Islands,Auckland,5-11,83,24,10,NA,NA,29%,12%,NA
111900,Algies Bay-Scotts Landing,Waitemata,12+,"1,144",998,984,937,735,87%,86%,78%
111900,Algies Bay-Scotts Landing,Waitemata,5-11,78,34,8,NA,NA,44%,10%,NA
112100,Wainui-Waiwera,Waitemata,12+,"1,579","1,425","1,410","1,321",906,90%,89%,69%
112100,Wainui-Waiwera,Waitemata,5-11,154,58,20,NA,NA,38%,13%,NA
112200,Parakai,Waitemata,12+,891,794,783,702,460,89%,88%,66%
112200,Parakai,Waitemata,5-11,124,62,32,NA,NA,50%,26%,NA
112300,Helensville Rural,Waitemata,12+,"1,419","1,304","1,291","1,213",824,92%,91%,68%
112300,Helensville Rural,Waitemata,5-11,141,61,30,NA,NA,43%,21%,NA
112400,Helensville,Waitemata,12+,"2,390","2,216","2,174","2,023","1,368",93%,91%,68%
112400,Helensville,Waitemata,5-11,326,167,84,NA,NA,51%,26%,NA
112500,Waitoki,Waitemata,12+,"1,424","1,317","1,304","1,217",797,92%,92%,65%
112500,Waitoki,Waitemata,5-11,174,77,28,NA,NA,44%,16%,NA
112600,Waikoukou Valley,Waitemata,12+,"1,460","1,361","1,345","1,221",792,93%,92%,65%
112600,Waikoukou Valley,Waitemata,5-11,169,63,33,NA,NA,37%,20%,NA
112700,Orewa North,Waitemata,12+,"4,406","4,177","4,152","3,941","3,123",95%,94%,79%
112700,Orewa North,Waitemata,5-11,405,227,140,NA,NA,56%,35%,NA
112800,Hatfields Beach,Waitemata,12+,"1,320","1,236","1,227","1,161",805,94%,93%,69%
112800,Hatfields Beach,Waitemata,5-11,137,78,40,NA,NA,57%,29%,NA
112900,Orewa South,Waitemata,12+,"3,579","3,398","3,382","3,246","2,596",95%,94%,80%
112900,Orewa South,Waitemata,5-11,254,162,87,NA,NA,64%,34%,NA
113000,Orewa Central,Waitemata,12+,"2,990","2,798","2,776","2,675","2,121",94%,93%,79%
113000,Orewa Central,Waitemata,5-11,178,98,50,NA,NA,55%,28%,NA
113100,Millwater North,Waitemata,12+,"3,027",Masked,"2,871","2,664","1,962",>95%,95%,74%
113100,Millwater North,Waitemata,5-11,574,366,183,NA,NA,64%,32%,NA
113200,Waipatukahu,Waitemata,12+,"1,190","1,092","1,081","1,000",669,92%,91%,67%
113200,Waipatukahu,Waitemata,5-11,134,79,26,NA,NA,59%,19%,NA
