Territorial Authority,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
Waimakariri District,12+,"52,718",Masked,Masked,"48,771","35,459",>95%,>95%,73%
Waimakariri District,5-11,"5,438","2,967","1,631",NA,NA,55%,30%,NA
Waimate District,12+,"6,936","6,475","6,398","6,061","4,343",93%,92%,72%
Waimate District,5-11,693,301,131,NA,NA,43%,19%,NA
Waipa District,12+,"46,630",Masked,Masked,"42,355","29,341",>95%,>95%,69%
Waipa District,5-11,"5,531","2,997","1,491",NA,NA,54%,27%,NA
Wairoa District,12+,"6,303",Masked,"5,780","5,409","3,569",>95%,92%,66%
Wairoa District,5-11,896,282,73,NA,NA,31%,8%,NA
Waitaki District,12+,"19,318",Masked,"18,189","17,194","12,453",>95%,94%,72%
Waitaki District,5-11,"2,012","1,003",411,NA,NA,50%,20%,NA
Waitomo District,12+,"7,758","7,152","6,978","6,513","3,922",92%,90%,60%
Waitomo District,5-11,967,345,114,NA,NA,36%,12%,NA
Wellington City,12+,"178,497",Masked,Masked,"169,947","138,390",>95%,>95%,81%
Wellington City,5-11,"16,089","12,137","8,260",NA,NA,75%,51%,NA
Western Bay of Plenty District,12+,"45,656",Masked,Masked,"41,156","26,826",>95%,>95%,65%
Western Bay of Plenty District,5-11,"4,861","1,915",677,NA,NA,39%,14%,NA
Westland District,12+,"7,098","6,694","6,611","6,277","4,373",94%,93%,70%
Westland District,5-11,670,303,145,NA,NA,45%,22%,NA
Whakatane District,12+,"30,314","27,354","26,680","25,016","15,976",90%,88%,64%
Whakatane District,5-11,"3,821","1,314",559,NA,NA,34%,15%,NA
Whanganui District,12+,"39,880","37,121","36,533","34,470","24,590",93%,92%,71%
Whanganui District,5-11,"4,481","1,851",897,NA,NA,41%,20%,NA
Whangarei District,12+,"78,669","73,725","72,392","68,109","47,076",94%,92%,69%
Whangarei District,5-11,"9,594","3,919","1,557",NA,NA,41%,16%,NA
