sa2_code,sa2,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
128500,Te Atatu South-McLeod South,Waitemata,335,326,382,877,853
128600,Takapuna South,Waitemata,47,47,masked,>950,>950
128700,Rosebank Peninsula,Auckland,masked,masked,masked,masked,masked
128800,Hauraki,Waitemata,150,148,masked,>950,>950
128900,Glendene North,Waitemata,450,431,masked,>950,>950
129000,Sunnyvale West-Parrs Park,Waitemata,280,264,masked,>950,>950
129100,Sunnyvale East,Waitemata,535,517,565,947,915
129200,Point Chevalier West,Auckland,209,203,masked,>950,>950
129300,Belmont (Auckland),Waitemata,143,143,masked,>950,>950
129400,Bayswater,Waitemata,188,184,masked,>950,>950
129500,Glendene South,Waitemata,251,245,289,869,848
129600,Glen Eden West,Waitemata,402,390,441,912,884
129700,Herne Bay,Auckland,119,119,masked,>950,>950
129800,Westmere North,Auckland,111,107,117,949,915
129900,Point Chevalier East,Auckland,270,266,masked,>950,>950
130000,Oratia,Waitemata,81,80,masked,>950,>950
130100,Glen Eden Rosier,Waitemata,341,331,368,927,899
130200,Saint Marys Bay,Auckland,74,74,83,892,892
130300,Westmere South-Western Springs,Auckland,210,207,masked,>950,>950
130400,Ponsonby West,Auckland,126,124,136,926,912
130500,Kelston North,Waitemata,326,314,masked,>950,>950
130600,Avondale Rosebank ,Auckland,418,406,450,929,902
130700,Narrow Neck,Waitemata,189,185,masked,>950,>950
130800,Glen Eden North,Waitemata,256,250,masked,>950,>950
130900,Glen Eden Woodglen,Waitemata,379,363,408,929,890
131000,Kelston South,Waitemata,268,258,293,915,881
131100,Waterview,Auckland,348,339,masked,>950,>950
131200,Ponsonby East,Auckland,154,152,172,895,884
131300,Wynyard-Viaduct,Auckland,46,46,50,920,920
131400,Stanley Point,Waitemata,63,63,masked,>950,>950
131500,Glen Eden Central,Waitemata,283,276,311,910,887
131600,Grey Lynn North,Auckland,200,198,masked,>950,>950
131700,Avondale West (Auckland),Auckland,344,324,379,908,855
131800,Freemans Bay,Auckland,249,243,masked,>950,>950
131900,Mount Albert West,Auckland,181,174,masked,>950,>950
132000,Avondale North (Auckland),Auckland,304,299,326,933,917
132100,Grey Lynn West,Auckland,220,212,234,940,906
132200,Mount Albert North,Auckland,239,238,258,926,922
132300,New Lynn North,Waitemata,244,235,271,900,867
132400,Victoria Park ,Auckland,118,117,masked,>950,>950
132500,Konini,Waitemata,237,235,251,944,936
132600,New Lynn North West,Waitemata,189,183,214,883,855
132700,Hobson Ridge North,Auckland,108,104,134,806,776
132800,Grey Lynn Central,Auckland,188,184,masked,>950,>950
132900,Fruitvale,Waitemata,239,232,260,919,892
133000,Devonport,Waitemata,135,133,masked,>950,>950
133100,Avondale Central (Auckland),Auckland,205,194,225,911,862
133200,Queen Street,Auckland,110,105,masked,>950,>950
133300,Quay Street-Customs Street,Auckland,84,83,99,848,838
133400,Hobson Ridge Central,Auckland,205,190,232,884,819
133500,Grey Lynn East,Auckland,122,121,130,938,931
133600,Morningside (Auckland),Auckland,268,260,masked,>950,>950
133700,Shortland Street,Auckland,99,98,masked,>950,>950
