sa2_code,sa2_name,dhb,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
111600,Te Kuru,Waitemata,Pacific Peoples,masked,masked,masked,91,<50
111700,Snells Beach,Waitemata,Pacific Peoples,masked,masked,masked,158,<50
111800,Barrier Islands,Auckland,Pacific Peoples,masked,masked,masked,<50,<50
111900,Algies Bay-Scotts Landing,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
112100,Wainui-Waiwera,Waitemata,Pacific Peoples,masked,masked,masked,<50,<50
112200,Parakai,Waitemata,Pacific Peoples,masked,masked,masked,400,<50
112300,Helensville Rural,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
112400,Helensville,Waitemata,Pacific Peoples,masked,masked,masked,440,<50
112500,Waitoki,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
112600,Waikoukou Valley,Waitemata,Pacific Peoples,masked,masked,masked,<50,<50
112700,Orewa North,Waitemata,Pacific Peoples,masked,masked,masked,545,<50
112800,Hatfields Beach,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
112900,Orewa South,Waitemata,Pacific Peoples,masked,masked,masked,>950,<50
113000,Orewa Central,Waitemata,Pacific Peoples,masked,masked,masked,273,<50
113100,Millwater North,Waitemata,Pacific Peoples,masked,masked,masked,727,<50
113200,Waipatukahu,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
113300,Millwater South,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
113400,Dairy Flat North,Waitemata,Pacific Peoples,masked,masked,masked,571,<50
113500,Dairy Flat West,Waitemata,Pacific Peoples,masked,masked,masked,<50,<50
113600,Kingsway,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
113700,Riverhead Forest,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
113800,Silverdale Central (Auckland),Waitemata,Pacific Peoples,masked,masked,masked,111,<50
113900,Red Beach West,Waitemata,Pacific Peoples,masked,masked,masked,>950,<50
114000,Red Beach East,Waitemata,Pacific Peoples,masked,masked,masked,400,<50
