sa2_code,sa2_name,dhb,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
115500,Coatesville,Waitemata,Pacific Peoples,25,24,31,806,774
115600,Dairy Flat South,Waitemata,Pacific Peoples,9,9,10,900,900
115700,Gulf Harbour North,Waitemata,Pacific Peoples,46,45,47,>950,>950
115800,Manly East,Waitemata,Pacific Peoples,55,55,68,809,809
115900,Riverhead,Waitemata,Pacific Peoples,65,65,64,>950,>950
116000,Army Bay,Waitemata,Pacific Peoples,43,43,40,>950,>950
116100,Kumeu Rural East,Waitemata,Pacific Peoples,88,87,89,>950,>950
116200,Gulf Harbour South,Waitemata,Pacific Peoples,39,38,42,929,905
116300,Paremoremo West,Waitemata,Pacific Peoples,15,14,16,938,875
116400,Taupaki,Waitemata,Pacific Peoples,28,27,32,875,844
116500,Long Bay,Waitemata,Pacific Peoples,23,23,21,>950,>950
116600,Paremoremo East,Waitemata,Pacific Peoples,34,34,40,850,850
116700,Albany Heights,Waitemata,Pacific Peoples,47,47,46,>950,>950
116800,Awaruku,Waitemata,Pacific Peoples,56,56,53,>950,>950
116900,Fairview Heights,Waitemata,Pacific Peoples,34,34,29,>950,>950
117000,Whenuapai,Waitemata,Pacific Peoples,215,209,219,>950,>950
117100,Waitakere Ranges North,Waitemata,Pacific Peoples,23,23,31,742,742
117200,Torbay,Waitemata,Pacific Peoples,62,62,58,>950,>950
117300,Albany Central,Waitemata,Pacific Peoples,28,26,29,>950,897
117400,Albany West,Waitemata,Pacific Peoples,43,42,39,>950,>950
117500,Glamorgan,Waitemata,Pacific Peoples,40,39,41,>950,>950
117600,Oteha East,Waitemata,Pacific Peoples,37,37,49,755,755
117700,Northcross,Waitemata,Pacific Peoples,27,26,30,900,867
117800,Oteha West,Waitemata,Pacific Peoples,16,16,22,727,727
117900,Waiake,Waitemata,Pacific Peoples,50,48,48,>950,>950
118000,Waitakere,Waitemata,Pacific Peoples,67,67,70,>950,>950
118100,Albany South,Waitemata,Pacific Peoples,38,38,39,>950,>950
118200,Browns Bay South West,Waitemata,Pacific Peoples,37,37,37,>950,>950
118300,Browns Bay Central,Waitemata,Pacific Peoples,22,21,26,846,808
118400,Schnapper Rock,Waitemata,Pacific Peoples,29,29,31,935,935
118500,Pinehill,Waitemata,Pacific Peoples,34,34,35,>950,>950
118600,North Harbour,Waitemata,Pacific Peoples,10,10,9,>950,>950
118700,Browns Bay South East,Waitemata,Pacific Peoples,30,30,32,938,938
118800,Westgate Central,Waitemata,Pacific Peoples,masked,masked,masked,750,750
118900,Greenhithe West,Waitemata,Pacific Peoples,39,39,41,>950,>950
119000,Rothesay Bay,Waitemata,Pacific Peoples,33,33,25,>950,>950
119100,Greenhithe East,Waitemata,Pacific Peoples,38,38,41,927,927
119200,Hobsonville,Waitemata,Pacific Peoples,56,55,61,918,902
119300,Inlet Waitemata Harbour,Area outside District Health Board,Pacific Peoples,masked,masked,masked,masked,masked
119400,Greenhithe South,Waitemata,Pacific Peoples,30,30,32,938,938
119500,Murrays Bay West,Waitemata,Pacific Peoples,17,17,19,895,895
119600,Westgate South,Waitemata,Pacific Peoples,246,244,268,918,910
119700,Windsor Park,Waitemata,Pacific Peoples,14,14,15,933,933
119800,West Harbour West,Waitemata,Pacific Peoples,511,501,539,948,929
119900,Unsworth Heights West,Waitemata,Pacific Peoples,46,46,44,>950,>950
120000,Murrays Bay East,Waitemata,Pacific Peoples,22,21,16,>950,>950
120100,Birdwood West,Waitemata,Pacific Peoples,42,41,48,875,854
120200,Hobsonville Point,Waitemata,Pacific Peoples,161,159,155,>950,>950
120300,West Harbour Clearwater Cove,Waitemata,Pacific Peoples,159,155,157,>950,>950
120400,Unsworth Heights East,Waitemata,Pacific Peoples,109,109,111,>950,>950
120500,Mairangi Bay North,Waitemata,Pacific Peoples,36,36,40,900,900
120600,Massey Central,Waitemata,Pacific Peoples,641,623,654,>950,>950
120700,West Harbour Luckens Point,Waitemata,Pacific Peoples,89,85,90,>950,944
120800,Mairangi Bay South,Waitemata,Pacific Peoples,26,26,28,929,929
120900,Massey Royal Road West,Waitemata,Pacific Peoples,438,434,440,>950,>950
121000,Bayview East,Waitemata,Pacific Peoples,182,179,173,>950,>950
121100,Swanson Rural,Waitemata,Pacific Peoples,67,65,67,>950,>950
121200,Sunnynook South,Waitemata,Pacific Peoples,80,80,77,>950,>950
121300,Sunnynook North,Waitemata,Pacific Peoples,47,45,48,>950,938
121400,Bayview West,Waitemata,Pacific Peoples,93,93,90,>950,>950
121500,Totara Vale North,Waitemata,Pacific Peoples,93,92,98,949,939
121600,Royal Heights North,Waitemata,Pacific Peoples,454,446,502,904,888
121700,Massey West,Waitemata,Pacific Peoples,195,189,209,933,904
121800,Beach Haven West,Waitemata,Pacific Peoples,157,155,153,>950,>950
121900,Totara Vale South,Waitemata,Pacific Peoples,151,150,157,>950,>950
122000,Swanson,Waitemata,Pacific Peoples,230,224,225,>950,>950
122100,Bayview South,Waitemata,Pacific Peoples,107,107,121,884,884
122200,Campbells Bay,Waitemata,Pacific Peoples,8,8,8,>950,>950
122300,Royal Heights South,Waitemata,Pacific Peoples,598,581,638,937,911
122400,Beach Haven East,Waitemata,Pacific Peoples,485,474,526,922,901
122500,Massey East,Waitemata,Pacific Peoples,796,777,840,948,925
122600,Forrest Hill North,Waitemata,Pacific Peoples,25,25,23,>950,>950
122700,Glenfield North,Waitemata,Pacific Peoples,134,131,139,>950,942
122800,Birkdale North,Waitemata,Pacific Peoples,330,324,335,>950,>950
122900,Massey South,Waitemata,Pacific Peoples,770,754,820,939,920
123000,Rānui North,Waitemata,Pacific Peoples,925,905,975,949,928
123100,Glenfield West,Waitemata,Pacific Peoples,106,106,108,>950,>950
123200,Te Atatū Peninsula North West,Waitemata,Pacific Peoples,252,246,278,906,885
123300,Glenfield South West,Waitemata,Pacific Peoples,164,160,167,>950,>950
123400,Forrest Hill West,Waitemata,Pacific Peoples,94,92,99,949,929
123500,Wairau Valley,Waitemata,Pacific Peoples,14,14,11,>950,>950
123600,Forrest Hill East,Waitemata,Pacific Peoples,64,64,66,>950,>950
123700,Castor Bay,Waitemata,Pacific Peoples,35,34,41,854,829
123800,Rānui Domain,Waitemata,Pacific Peoples,647,632,673,>950,939
123900,Beach Haven South,Waitemata,Pacific Peoples,78,76,80,>950,950
124000,Glenfield Central,Waitemata,Pacific Peoples,96,92,93,>950,>950
124100,Piha,Waitemata,Pacific Peoples,8,7,10,800,700
124200,Rānui South West,Waitemata,Pacific Peoples,473,455,479,>950,950
124300,Henderson Larnoch,Waitemata,Pacific Peoples,869,850,912,>950,932
124400,Birkdale South,Waitemata,Pacific Peoples,276,273,294,939,929
124500,Te Atatū Peninsula Central,Waitemata,Pacific Peoples,404,390,426,948,915
124600,Glenfield East,Waitemata,Pacific Peoples,83,83,80,>950,>950
124700,Henderson Valley,Waitemata,Pacific Peoples,55,54,52,>950,>950
124800,Te Atatū Peninsula West,Waitemata,Pacific Peoples,412,407,421,>950,>950
124900,Henderson Lincoln West,Waitemata,Pacific Peoples,542,536,577,939,929
125000,Rānui South East,Waitemata,Pacific Peoples,428,423,446,>950,948
125100,Henderson Lincoln East,Waitemata,Pacific Peoples,12,12,13,923,923
125200,Birkenhead West,Waitemata,Pacific Peoples,87,86,86,>950,>950
125300,Te Atatū Peninsula East,Waitemata,Pacific Peoples,219,217,236,928,919
125400,Milford West,Waitemata,Pacific Peoples,32,32,36,889,889
125500,Westlake,Waitemata,Pacific Peoples,43,43,39,>950,>950
125600,Hillcrest North (Auckland),Waitemata,Pacific Peoples,70,69,76,921,908
125700,Henderson Lincoln South,Waitemata,Pacific Peoples,338,330,364,929,907
125800,Hillcrest West (Auckland),Waitemata,Pacific Peoples,57,57,60,950,950
125900,Milford Central,Waitemata,Pacific Peoples,15,15,13,>950,>950
126000,Summerland South,Waitemata,Pacific Peoples,258,255,281,918,907
126100,Summerland North,Waitemata,Pacific Peoples,179,177,178,>950,>950
126200,Hillcrest East (Auckland),Waitemata,Pacific Peoples,84,84,83,>950,>950
126300,Chatswood,Waitemata,Pacific Peoples,56,56,60,933,933
126400,Te Atatū South-Edmonton,Waitemata,Pacific Peoples,538,525,593,907,885
126500,Birkenhead North,Waitemata,Pacific Peoples,52,52,62,839,839
126600,Takapuna West,Waitemata,Pacific Peoples,77,77,78,>950,>950
126700,Henderson North,Waitemata,Pacific Peoples,554,546,584,949,935
126800,Takapuna Central,Waitemata,Pacific Peoples,32,32,34,941,941
126900,Western Heights (Auckland),Waitemata,Pacific Peoples,453,447,462,>950,>950
