"sa2_code","sa2_name","dhb","booster_count","eligible_booster_pop","booster_uptake"
"112600","Waikoukou Valley","Waitemata","759","1128","673"
"112700","Orewa North","Waitemata","3021","3757","804"
"112800","Hatfields Beach","Waitemata","781","1097","712"
"112900","Orewa South","Waitemata","2494","3059","815"
"113000","Orewa Central","Waitemata","2072","2578","804"
"113100","Millwater North","Waitemata","1885","2527","746"
"113200","Waipatukahu","Waitemata","631","925","682"
"113300","Millwater South","Waitemata","1777","2602","683"
"113400","Dairy Flat North","Waitemata","1121","1784","628"
"113500","Dairy Flat West","Waitemata","688","1027","670"
"113600","Kingsway","Waitemata","1114","1594","699"
"113700","Riverhead Forest","Waitemata","masked","masked",">950"
"113800","Silverdale Central (Auckland)","Waitemata","252","384","656"
"113900","Red Beach West","Waitemata","1667","2074","804"
"114000","Red Beach East","Waitemata","2168","2916","743"
"114100","Silverdale South (Auckland)","Waitemata","927","1381","671"
"114200","Waimauku","Waitemata","696","958","727"
"114300","Gulf Islands","Auckland","40","47","851"
"114400","Vipond","Waitemata","1520","2113","719"
"114500","Muriwai","Waitemata","558","767","728"
"114600","Stanmore Bay West","Waitemata","1233","1806","683"
"114700","Kumeu Rural West","Waitemata","868","1236","702"
"114800","Okura Bush","Waitemata","668","991","674"
"114900","Whangapar?oa Central","Waitemata","2192","3058","717"
"115000","Kumeu-Huapai","Waitemata","2528","3478","727"
"115100","Stanmore Bay East","Waitemata","1329","1883","706"
"115200","Manly West","Waitemata","1220","1689","722"
"115300","Muriwai Valley-Bethells Beach","Waitemata","516","731","706"
"115400","Tindalls-Matakatia","Waitemata","1073","1465","732"
"115500","Coatesville","Waitemata","1187","1610","737"
"115600","Dairy Flat South","Waitemata","846","1189","712"
"115700","Gulf Harbour North","Waitemata","1499","2074","723"
"115800","Manly East","Waitemata","1924","2583","745"
"115900","Riverhead","Waitemata","1626","2161","752"
"116000","Army Bay","Waitemata","857","1106","775"
"116100","Kumeu Rural East","Waitemata","1264","1843","686"
"116200","Gulf Harbour South","Waitemata","1612","2147","751"
"116300","Paremoremo West","Waitemata","468","661","708"
"116400","Taupaki","Waitemata","854","1224","698"
"116500","Long Bay","Waitemata","1243","1784","697"
"116600","Paremoremo East","Waitemata","1000","1444","693"
"116700","Albany Heights","Waitemata","1861","2760","674"
"116800","Awaruku","Waitemata","2289","3156","725"
"116900","Fairview Heights","Waitemata","1974","2942","671"
"117000","Whenuapai","Waitemata","2879","4078","706"
"117100","Waitakere Ranges North","Waitemata","626","859","729"
"117200","Torbay","Waitemata","2352","3183","739"
"117300","Albany Central","Waitemata","608","991","614"
"117400","Albany West","Waitemata","1587","2181","728"
"117500","Glamorgan","Waitemata","1635","2314","707"
"117600","Oteha East","Waitemata","1599","2302","695"
"117700","Northcross","Waitemata","1756","2440","720"
"117800","Oteha West","Waitemata","1056","1543","684"
"117900","Waiake","Waitemata","2053","2815","729"
"118000","Waitakere","Waitemata","972","1349","721"
"118100","Albany South","Waitemata","1917","2666","719"
"118200","Browns Bay South West","Waitemata","2138","3049","701"
"118300","Browns Bay Central","Waitemata","1780","2386","746"
"118400","Schnapper Rock","Waitemata","1931","2854","677"
"118500","Pinehill","Waitemata","2459","3590","685"
"118600","North Harbour","Waitemata","480","730","658"
"118700","Browns Bay South East","Waitemata","1533","2131","719"
"118800","Westgate Central","Waitemata","13","27","481"
"118900","Greenhithe West","Waitemata","2006","2665","753"
"119000","Rothesay Bay","Waitemata","1690","2199","769"
"119100","Greenhithe East","Waitemata","1666","2272","733"
"119200","Hobsonville","Waitemata","837","1160","722"
"119300","Inlet Waitemata Harbour","Area outside District Health Board","masked","masked",">950"
"119400","Greenhithe South","Waitemata","1103","1577","699"
"119500","Murrays Bay West","Waitemata","1396","1916","729"
"119600","Westgate South","Waitemata","1180","1684","701"
"119700","Windsor Park","Waitemata","970","1315","738"
"119800","West Harbour West","Waitemata","1664","2609","638"
"119900","Unsworth Heights West","Waitemata","1345","1820","739"
"120000","Murrays Bay East","Waitemata","1243","1664","747"
"120100","Birdwood West","Waitemata","429","594","722"
"120200","Hobsonville Point","Waitemata","5276","6932","761"
"120300","West Harbour Clearwater Cove","Waitemata","2477","3315","747"
"120400","Unsworth Heights East","Waitemata","2108","2874","733"
"120500","Mairangi Bay North","Waitemata","1549","2169","714"
"120600","Massey Central","Waitemata","1326","2130","623"
"120700","West Harbour Luckens Point","Waitemata","1509","2076","727"
"120800","Mairangi Bay South","Waitemata","1542","2116","729"
"120900","Massey Royal Road West","Waitemata","1320","2060","641"
"121000","Bayview East","Waitemata","1809","2591","698"
"121100","Swanson Rural","Waitemata","1133","1641","690"
"121200","Sunnynook South","Waitemata","1261","1876","672"
"121300","Sunnynook North","Waitemata","1389","2080","668"
"121400","Bayview West","Waitemata","1206","1663","725"
"121500","Totara Vale North","Waitemata","1603","2292","699"
"121600","Royal Heights North","Waitemata","1894","2797","677"
"121700","Massey West","Waitemata","791","1194","662"
"121800","Beach Haven West","Waitemata","1762","2333","755"
"121900","Totara Vale South","Waitemata","1969","2915","675"
"122000","Swanson","Waitemata","1489","2080","716"
"122100","Bayview South","Waitemata","1531","2199","696"
"122200","Campbells Bay","Waitemata","1692","2179","777"
"122300","Royal Heights South","Waitemata","1628","2485","655"
"122400","Beach Haven East","Waitemata","1766","2598","680"
"122500","Massey East","Waitemata","1513","2406","629"
"122600","Forrest Hill North","Waitemata","1246","1776","702"
"122700","Glenfield North","Waitemata","1723","2507","687"
"122800","Birkdale North","Waitemata","2052","2929","701"
"122900","Massey South","Waitemata","1911","2987","640"
"123000","R?nui North","Waitemata","1498","2444","613"
"123100","Glenfield West","Waitemata","1650","2367","697"
"123200","Te Atat? Peninsula North West","Waitemata","1568","2189","716"
"123300","Glenfield South West","Waitemata","2042","2923","699"
"123400","Forrest Hill West","Waitemata","2209","3095","714"
"123500","Wairau Valley","Waitemata","103","184","560"
"123600","Forrest Hill East","Waitemata","1899","2605","729"
"123700","Castor Bay","Waitemata","2585","3471","745"
"123800","R?nui Domain","Waitemata","1411","2245","629"
"123900","Beach Haven South","Waitemata","1800","2309","780"
"124000","Glenfield Central","Waitemata","2262","3148","719"
"124100","Piha","Waitemata","443","663","668"
"124200","R?nui South West","Waitemata","1218","1851","658"
"124300","Henderson Larnoch","Waitemata","1768","2819","627"
"124400","Birkdale South","Waitemata","2350","3276","717"
"124500","Te Atat? Peninsula Central","Waitemata","1557","2266","687"
"124600","Glenfield East","Waitemata","1181","1716","688"
"124700","Henderson Valley","Waitemata","691","990","698"
"124800","Te Atat? Peninsula West","Waitemata","1818","2592","701"
"124900","Henderson Lincoln West","Waitemata","1453","2241","648"
"125000","R?nui South East","Waitemata","1319","1908","691"
"125100","Henderson Lincoln East","Waitemata","135","197","685"
"125200","Birkenhead West","Waitemata","2774","3579","775"
"125300","Te Atat? Peninsula East","Waitemata","1702","2230","763"
"125400","Milford West","Waitemata","1731","2289","756"
"125500","Westlake","Waitemata","1670","2229","749"
"125600","Hillcrest North (Auckland)","Waitemata","1891","2661","711"
"125700","Henderson Lincoln South","Waitemata","1204","1791","672"
"125800","Hillcrest West (Auckland)","Waitemata","1782","2402","742"
"125900","Milford Central","Waitemata","1301","1610","808"
"126000","Summerland South","Waitemata","1777","2359","753"
"126100","Summerland North","Waitemata","1384","1919","721"
"126200","Hillcrest East (Auckland)","Waitemata","2082","2904","717"
"126300","Chatswood","Waitemata","2002","2673","749"
"126400","Te Atat? South-Edmonton","Waitemata","1802","2544","708"
"126500","Birkenhead North","Waitemata","1591","2145","742"
"126600","Takapuna West","Waitemata","2438","3422","712"
"126700","Henderson North","Waitemata","1918","2732","702"
"126800","Takapuna Central","Waitemata","1534","2008","764"
"126900","Western Heights (Auckland)","Waitemata","2357","3265","722"
"127000","Te Atat? South-Central","Waitemata","2192","3067","715"
"127100","Northcote Central (Auckland)","Waitemata","991","1474","672"
"127200","Akoranga","Waitemata","783","1014","772"
"127300","Northcote South (Auckland)","Waitemata","1397","1936","722"
"127400","Birkenhead South","Waitemata","1903","2389","797"
"127500","Henderson Central","Waitemata","805","1078","747"
"127600","Waiatarua","Waitemata","1160","1595","727"
"127700","Te Atat? South-McLeod North","Waitemata","1662","2481","670"
"127800","Henderson Valley Park","Waitemata","809","1305","620"
"127900","Henderson North East","Waitemata","1347","1923","700"
"128000","Waitakere Ranges South","Waitemata","531","754","704"
"128100","Northcote Tuff Crater","Waitemata","1215","1682","722"
"128200","Northcote Point (Auckland)","Waitemata","1796","2273","790"
"128300","McLaren Park","Waitemata","1875","2838","661"
"128400","Henderson East","Waitemata","1352","2007","674"
"128500","Te Atat? South-McLeod South","Waitemata","1789","2633","679"
"128600","Takapuna South","Waitemata","877","1154","760"
"128700","Rosebank Peninsula","Auckland","32","51","627"
"128800","Hauraki","Waitemata","2300","3027","760"
"128900","Glendene North","Waitemata","2238","3303","678"
"129000","Sunnyvale West-Parrs Park","Waitemata","1077","1709","630"
"129100","Sunnyvale East","Waitemata","2248","3381","665"
"129200","Point Chevalier West","Auckland","2461","2922","842"
"129300","Belmont (Auckland)","Waitemata","1595","2076","768"
"129400","Bayswater","Waitemata","1504","1941","775"
"129500","Glendene South","Waitemata","1453","2121","685"
"129600","Glen Eden West","Waitemata","1671","2496","669"
"129700","Herne Bay","Auckland","1947","2355","827"
"129800","Westmere North","Auckland","1472","1769","832"
"129900","Point Chevalier East","Auckland","2777","3372","824"
"130000","Oratia","Waitemata","1088","1490","730"
"130100","Glen Eden Rosier","Waitemata","1664","2437","683"
