sa2_code,sa2_name,dhb,booster_count,eligible_booster_pop,booster_uptake
143100,Remuera Abbotts Park,Auckland,74,127,583
143200,Meadowbank East,Auckland,71,93,763
143300,Ellerslie Central,Auckland,105,144,729
143400,Royal Oak East (Auckland),Auckland,85,118,720
143500,Saint Heliers South,Auckland,65,97,670
143600,Hillsborough South (Auckland),Auckland,54,103,524
143700,Saint Johns West,Auckland,47,72,653
143800,Greenlane South,Auckland,99,170,582
143900,Remuera Waiatarua,Auckland,38,61,623
144000,Glendowie North,Auckland,65,83,783
144100,Onehunga West,Auckland,154,251,614
144200,Ellerslie West,Auckland,Masked,Masked,Masked
144300,Onehunga North,Auckland,142,203,700
144400,Ellerslie East,Auckland,63,97,649
144500,Saint Johns East,Auckland,87,155,561
144600,Oneroa West,Auckland,45,75,600
144700,Glen Innes West,Auckland,214,435,492
144800,Ellerslie South,Auckland,60,93,645
144900,Stonefields West,Auckland,29,41,707
145000,Onehunga Central,Auckland,140,214,654
145100,Glendowie South,Auckland,88,151,583
145200,Oranga,Auckland,146,262,557
145300,Mount Wellington North West,Auckland,62,104,596
145400,Panmure Glen Innes Industrial,Auckland,26,48,542
145500,Onehunga-Te Papapa Industrial,Auckland,76,114,667
145600,Te Papapa,Auckland,140,239,586
145700,Stonefields East,Auckland,23,28,821
145800,Glen Innes East-Wai O Taiki Bay,Auckland,251,484,519
145900,Penrose,Auckland,35,51,686
146000,Mount Wellington North East,Auckland,65,109,596
146100,M?ngere Bridge Ambury,Counties Manukau,219,350,626
146200,Mount Wellington Ferndale,Auckland,149,268,556
146300,Point England,Auckland,290,625,464
146400,Bucklands Beach North,Counties Manukau,33,52,635
146500,Mount Wellington East,Auckland,81,153,529
146600,Mount Wellington West,Auckland,129,261,494
146700,Panmure West,Auckland,12,31,387
146800,M?ngere Bridge,Counties Manukau,244,381,640
146900,Oneroa East-Palm Beach,Auckland,28,57,491
147000,Tamaki,Auckland,297,576,516
147100,Panmure East,Auckland,159,300,530
147200,Mount Wellington Central,Auckland,208,354,588
