"sa2_code","sa2_name","dhb","booster_count","eligible_booster_pop","booster_uptake"
"161400","Kingseat-Karaka","Counties Manukau","31","59","525"
"161500","Wattle Downs East","Counties Manukau","157","239","657"
"161600","Takanini North","Counties Manukau","123","247","498"
"161700","Takanini Industrial","Counties Manukau","masked","masked","500"
"161800","Conifer Grove West","Counties Manukau","94","147","639"
"161900","Conifer Grove East","Counties Manukau","129","239","540"
"162000","Takanini West","Counties Manukau","166","330","503"
"162100","Takanini South","Counties Manukau","308","545","565"
"162200","Takanini Central","Counties Manukau","84","100","840"
"162300","Ardmore","Counties Manukau","18","35","514"
"162400","Glenbrook","Counties Manukau","48","78","615"
"162500","Hingaia","Counties Manukau","47","80","588"
"162600","Takanini South East","Counties Manukau","138","294","469"
"162700","Kawakawa Bay-Orere","Counties Manukau","10","18","556"
"162800","Papakura West","Counties Manukau","80","139","576"
"162900","Clevedon","Counties Manukau","13","19","684"
"163000","Papakura North","Counties Manukau","225","382","589"
"163100","Pahurehure","Counties Manukau","114","172","663"
"163200","Papakura Central","Counties Manukau","133","261","510"
"163300","Papakura North East","Counties Manukau","231","410","563"
"163400","Karaka Lakes","Counties Manukau","63","104","606"
"163500","Papakura Kelvin","Counties Manukau","313","617","507"
"163600","Papakura Massey Park","Counties Manukau","188","381","493"
"163700","Rosehill","Counties Manukau","226","410","551"
"163800","Patumahoe","Counties Manukau","18","34","529"
"163900","Papakura East","Counties Manukau","250","448","558"
"164000","?paheke","Counties Manukau","109","185","589"
"164100","Papakura Industrial","Counties Manukau","15","29","517"
"164200","Red Hill","Counties Manukau","149","284","525"
"164300","Drury","Counties Manukau","36","65","554"
"164400","Tamakae","Counties Manukau","28","45","622"
"164500","Hamilton Estate","Counties Manukau","30","48","625"
"164600","Drury Rural","Counties Manukau","41","56","732"
"164700","Waiuku Central","Counties Manukau","19","28","679"
"164800","Waiuku East","Counties Manukau","23","44","523"
"164900","Kendallvale","Counties Manukau","10","14","714"
"165000","Puni","Counties Manukau","35","66","530"
"165100","Ramarama","Counties Manukau","35","49","714"
"165200","Hunua","Counties Manukau","13","17","765"
"165300","Pukekohe North West","Counties Manukau","153","336","455"
"165400","Anselmi Ridge","Counties Manukau","45","58","776"
"165500","Pukekohe West","Counties Manukau","172","373","461"
"165600","Cape Hill","Counties Manukau","30","37","811"
"165700","Rosa Birch Park","Counties Manukau","23","38","605"
"165800","Rooseville Park","Counties Manukau","36","67","537"
"165900","Cloverlea (Auckland)","Counties Manukau","32","46","696"
"166000","Pukekohe Central","Counties Manukau","8","23","348"
"166100","Pukekohe Hospital","Counties Manukau","10","37","270"
"166200","Buckland","Counties Manukau","22","33","667"
"166300","Bombay Hills","Counties Manukau","18","39","462"
"166400","Ararimu","Counties Manukau","17","28","607"
"166500","Colville","Waikato","6","10","600"
"166600","Islands Thames-Coromandel District","Waikato","masked","masked","masked"
"166700","Coromandel","Waikato","8","11","727"
"166900","Mercury Bay North","Waikato","12","15","800"
"167000","Whitianga North","Waikato","9","10","900"
"167100","Whitianga South","Waikato","23","34","676"
"167200","Thames Coast","Waikato","9","11","818"
"167300","Cooks Beach-Ferry Landing","Waikato","masked","6","667"
"167400","Mercury Bay South","Waikato","masked","6","500"
"167500","Kauaeranga","Waikato","masked","masked","masked"
"167600","Thames North","Waikato","20","29","690"
"167700","Thames Central","Waikato","10","12","833"
"167800","Thames South","Waikato","22","32","688"
"167900","Hikuai","Waikato","masked","masked",">950"
"168000","Totora-Kopu","Waikato","masked","masked",">950"
"168100","Tairua","Waikato","11","16","688"
"168200","Pauanui","Waikato","masked","masked","<50"
"168300","Matatoki-Puriri","Waikato","masked","7","714"
"168400","Whangamat? Rural","Waikato","masked","masked","masked"
"168500","Whangamat?","Waikato","17","24","708"
"168600","Miranda-P?korokoro","Counties Manukau","6","11","545"
"168700","Hauraki Plains North","Waikato","masked","6","667"
"168800","Hauraki Plains East","Waikato","masked","masked","800"
"168900","Ngatea","Waikato","11","13","846"
"169000","Hauraki Plains South","Waikato","7","10","700"
"169100","Paeroa Rural","Waikato","6","8","750"
"169200","Paeroa","Waikato","37","58","638"
"169300","Waihi Rural","Waikato","20","28","714"
"169400","Waihi North","Waikato","12","17","706"
"169500","Waihi East","Waikato","7","13","538"
"169600","Waihi South","Waikato","8","18","444"
"169700","Aka Aka","Counties Manukau","16","32","500"
"169800","Mangatangi","Counties Manukau","22","42","524"
"169900","Tuakau Rural","Counties Manukau","34","60","567"
"170000","Tuakau North","Counties Manukau","64","119","538"
"170100","Onewhero","Counties Manukau","19","30","633"
"170200","P?keno Rural","Counties Manukau","18","24","750"
"170300","Tuakau South","Counties Manukau","52","96","542"
"170400","Port Waikato-Waikaretu","Counties Manukau","12","16","750"
"170500","P?keno","Counties Manukau","156","230","678"
"170600","Pukekawa","Counties Manukau","11","14","786"
"170700","Maramarua","Waikato","21","32","656"
"170800","Rangiriri","Waikato","14","29","483"
"170900","Te ?kau","Waikato","masked","9","556"
"171100","Te Kauwhata","Waikato","35","48","729"
"171200","Huntly Rural","Waikato","9","19","474"
"171300","Waerenga","Waikato","masked","7","429"
"171400","Huntly West","Waikato","50","81","617"
