sa2_code,sa2_name,dhb,ta,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
115700,Gulf Harbour North,Waitemata,Auckland,2321,2193,2501,928,877
115800,Manly East,Waitemata,Auckland,2747,2577,3101,886,831
115900,Riverhead,Waitemata,Auckland,2284,2145,2454,931,874
116000,Army Bay,Waitemata,Auckland,1203,1123,1322,910,849
116100,Kumeu Rural East,Waitemata,Auckland,1915,1758,2176,880,808
116200,Gulf Harbour South,Waitemata,Auckland,2303,2162,2531,910,854
116300,Paremoremo West,Waitemata,Auckland,724,659,803,902,821
116400,Taupaki,Waitemata,Auckland,1315,1212,1479,889,819
116500,Long Bay,Waitemata,Auckland,masked,1806,1976,>950,914
116600,Paremoremo East,Waitemata,Auckland,1643,1508,1817,904,830
116700,Albany Heights,Waitemata,Auckland,masked,2740,3021,>950,907
116800,Awaruku,Waitemata,Auckland,3473,3283,3711,936,885
116900,Fairview Heights,Waitemata,Auckland,3140,2942,3305,950,890
117000,Whenuapai,Waitemata,Auckland,masked,3888,4458,>950,872
117100,Waitakere Ranges North,Waitemata,Auckland,958,862,1074,892,803
117200,Torbay,Waitemata,Auckland,3492,3274,3773,926,868
117300,Albany Central,Waitemata,Auckland,masked,917,1023,>950,896
117400,Albany West,Waitemata,Auckland,masked,2238,2443,>950,916
117500,Glamorgan,Waitemata,Auckland,masked,2390,2637,>950,906
117600,Oteha East,Waitemata,Auckland,2443,2327,2582,946,901
117700,Northcross,Waitemata,Auckland,masked,2522,2776,>950,909
117800,Oteha West,Waitemata,Auckland,masked,1548,1661,>950,932
117900,Waiake,Waitemata,Auckland,3101,2897,3276,947,884
118000,Waitakere,Waitemata,Auckland,1509,1388,1678,899,827
118100,Albany South,Waitemata,Auckland,2840,2686,3003,946,894
118200,Browns Bay South West,Waitemata,Auckland,3359,3151,3585,937,879
118300,Browns Bay Central,Waitemata,Auckland,2484,2337,2665,932,877
118400,Schnapper Rock,Waitemata,Auckland,masked,3001,3283,>950,914
118500,Pinehill ,Waitemata,Auckland,masked,3662,3957,>950,925
118600,North Harbour,Waitemata,Auckland,758,709,843,899,841
118700,Browns Bay South East,Waitemata,Auckland,masked,2234,2464,>950,907
118800,Westgate Central,Waitemata,Auckland,masked,24,30,>950,800
118900,Greenhithe West,Waitemata,Auckland,2949,2789,3138,940,889
119000,Rothesay Bay,Waitemata,Auckland,2437,2305,2566,950,898
119100,Greenhithe East,Waitemata,Auckland,masked,2364,2594,>950,911
119200,Hobsonville,Waitemata,Auckland,1196,1116,1261,948,885
119300,Inlet Waitemata Harbour,Waitemata,Auckland,5 or less,5 or less,masked,>950,750
119300,Inlet Waitemata Harbour,Area outside District Health Board,Auckland,5 or less,5 or less,masked,<50,<50
119300,Inlet Waitemata Harbour,Auckland,Auckland,5 or less,5 or less,masked,<50,<50
119400,Greenhithe South,Waitemata,Auckland,1717,1614,1812,948,891
119500,Murrays Bay West,Waitemata,Auckland,masked,2069,2249,>950,920
119600,Westgate South,Waitemata,Auckland,1759,1628,1898,927,858
119700,Windsor Park,Waitemata,Auckland,1385,1307,1507,919,867
119800,West Harbour West,Waitemata,Auckland,2968,2656,3286,903,808
119900,Unsworth Heights West,Waitemata,Auckland,masked,1861,2059,>950,904
120000,Murrays Bay East,Waitemata,Auckland,1833,1747,1959,936,892
120100,Birdwood West,Waitemata,Auckland,634,563,704,901,800
120200,Hobsonville Point,Waitemata,Auckland,masked,6603,7053,>950,936
120300,West Harbour Clearwater Cove,Waitemata,Auckland,3575,3367,3790,943,888
120300,West Harbour Clearwater Cove,Area outside District Health Board,Auckland,3575,3367,3790,943,888
120400,Unsworth Heights East,Waitemata,Auckland,masked,2827,3179,>950,889
120500,Mairangi Bay North,Waitemata,Auckland,2437,2291,2589,941,885
120600,Massey Central,Waitemata,Auckland,2399,2132,2671,898,798
120700,West Harbour Luckens Point,Waitemata,Auckland,2252,2106,2415,933,872
120800,Mairangi Bay South,Waitemata,Auckland,masked,2232,2463,>950,906
120900,Massey Royal Road West,Waitemata,Auckland,2276,2032,2420,940,840
121000,Bayview East,Waitemata,Auckland,masked,2592,2852,>950,909
121100,Swanson Rural,Waitemata,Auckland,1802,1618,2018,893,802
121200,Sunnynook South,Waitemata,Auckland,masked,1928,2094,>950,921
121300,Sunnynook North,Waitemata,Auckland,masked,2175,2329,>950,934
121400,Bayview West,Waitemata,Auckland,masked,1659,1877,>950,884
121500,Totara Vale North,Waitemata,Auckland,masked,2355,2530,>950,931
121600,Royal Heights North,Waitemata,Auckland,2946,2697,3239,910,833
121700,Massey West,Waitemata,Auckland,1282,1159,1408,911,823
121800,Beach Haven West,Waitemata,Auckland,2561,2397,2759,928,869
121900,Totara Vale South,Waitemata,Auckland,masked,2930,3192,>950,918
122000,Swanson,Waitemata,Auckland,2254,2076,2384,945,871
122100,Bayview South,Waitemata,Auckland,masked,2236,2476,>950,903
122200,Campbells Bay,Waitemata,Auckland,masked,2322,2547,>950,912
122300,Royal Heights South,Waitemata,Auckland,2760,2513,3069,899,819
122400,Beach Haven East,Waitemata,Auckland,2835,2559,3130,906,818
122500,Massey East,Waitemata,Auckland,2696,2369,2965,909,799
122600,Forrest Hill North,Waitemata,Auckland,masked,1859,1971,>950,943
122700,Glenfield North,Waitemata,Auckland,masked,2558,2734,>950,936
122800,Birkdale North,Waitemata,Auckland,masked,2965,3369,>950,880
122900,Massey South,Waitemata,Auckland,3336,3024,3677,907,822
123000,Ranui North,Waitemata,Auckland,2840,2462,3201,887,769
123100,Glenfield West,Waitemata,Auckland,masked,2380,2549,>950,934
123200,Te Atatu Peninsula North West,Waitemata,Auckland,2401,2230,2610,920,854
123300,Glenfield South West,Waitemata,Auckland,masked,2923,3193,>950,915
123400,Forrest Hill West,Waitemata,Auckland,masked,3198,3501,>950,913
123500,Wairau Valley ,Waitemata,Auckland,204,186,230,887,809
123600,Forrest Hill East,Waitemata,Auckland,masked,2730,2913,>950,937
123700,Castor Bay,Waitemata,Auckland,masked,3682,4052,>950,909
123800,Ranui Domain,Waitemata,Auckland,2509,2178,2850,880,764
123900,Beach Haven South,Waitemata,Auckland,2519,2380,2656,948,896
124000,Glenfield Central,Waitemata,Auckland,masked,3130,3329,>950,940
124100,Piha,Waitemata,Auckland,721,661,836,862,791
124200,Ranui South West,Waitemata,Auckland,2028,1820,2229,910,817
124300,Henderson Larnoch,Waitemata,Auckland,3178,2815,3436,925,819
124400,Birkdale South,Waitemata,Auckland,masked,3346,3744,>950,894
124500,Te Atatu Peninsula Central,Waitemata,Auckland,2484,2258,2744,905,823
124600,Glenfield East,Waitemata,Auckland,masked,1766,1863,>950,948
124700,Henderson Valley,Waitemata,Auckland,1100,996,1223,899,814
124800,Te Atatu Peninsula West,Waitemata,Auckland,2887,2623,3089,935,849
124900,Henderson Lincoln West,Waitemata,Auckland,2499,2252,2710,922,831
125000,Ranui South East,Waitemata,Auckland,2167,1984,2382,910,833
125100,Henderson Lincoln East,Waitemata,Auckland,193,170,204,946,833
125200,Birkenhead West,Waitemata,Auckland,masked,3608,3970,>950,909
125300,Te Atatu Peninsula East,Waitemata,Auckland,2444,2277,2610,936,872
125400,Milford West,Waitemata,Auckland,2447,2338,2612,937,895
125500,Westlake,Waitemata,Auckland,masked,2301,2504,>950,919
125600,Hillcrest North (Auckland),Waitemata,Auckland,masked,2734,2990,>950,914
125700,Henderson Lincoln South,Waitemata,Auckland,1949,1804,2110,924,855
125800,Hillcrest West (Auckland),Waitemata,Auckland,masked,2445,2713,>950,901
125900,Milford Central,Waitemata,Auckland,1730,1653,1828,946,904
