sa2_code,sa2,dhbresidence,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
111100,Warkworth West,Waitemata,Pacific Peoples,99,98,masked,>950,>950
111200,Puhoi Valley,Waitemata,Pacific Peoples,64,63,masked,>950,>950
111300,Warkworth East,Waitemata,Pacific Peoples,195,190,masked,>950,>950
111400,Sandspit,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
111500,Tawharanui Peninsula,Waitemata,Pacific Peoples,74,72,masked,masked,masked
111600,Te Kuru,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
111700,Snells Beach,Waitemata,Pacific Peoples,109,106,masked,>950,>950
111800,Barrier Islands,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
111900,Algies Bay-Scotts Landing,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
112100,Wainui-Waiwera,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
112200,Parakai,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
112300,Helensville Rural,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
112400,Helensville,Waitemata,Pacific Peoples,111,109,masked,>950,>950
112500,Waitoki,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
112600,Waikoukou Valley,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
112700,Orewa North,Waitemata,Pacific Peoples,58,57,62,935,919
112800,Hatfields Beach,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
112900,Orewa South,Waitemata,Pacific Peoples,57,57,66,864,864
113000,Orewa Central,Waitemata,Pacific Peoples,58,58,69,841,841
113100,Millwater North,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
113200,Waipatukahu,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
113300,Millwater South,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
113400,Dairy Flat North,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
113500,Dairy Flat West,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
113600,Kingsway,Waitemata,Pacific Peoples,44,44,masked,>950,>950
113800,Silverdale Central (Auckland),Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
113900,Red Beach West,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
114000,Red Beach East,Waitemata,Pacific Peoples,60,59,masked,>950,>950
114100,Silverdale South (Auckland),Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
114200,Waimauku,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
114400,Vipond,Waitemata,Pacific Peoples,44,44,masked,>950,>950
114500,Muriwai,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
114600,Stanmore Bay West,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
114700,Kumeu Rural West,Waitemata,Pacific Peoples,67,65,masked,>950,>950
114800,Okura Bush,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
114900,Whangaparoa Central,Waitemata,Pacific Peoples,44,44,49,898,898
115000,Kumeu-Huapai,Waitemata,Pacific Peoples,143,140,masked,>950,>950
115100,Stanmore Bay East,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
115200,Manly West,Waitemata,Pacific Peoples,44,42,masked,>950,masked
115300,Muriwai Valley-Bethells Beach,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
115400,Tindalls-Matakatia,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
115500,Coatesville,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
115600,Dairy Flat South,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
115700,Gulf Harbour North,Waitemata,Pacific Peoples,46,45,masked,>950,>950
115800,Manly East,Waitemata,Pacific Peoples,55,54,68,809,794
115900,Riverhead,Waitemata,Pacific Peoples,65,65,masked,>950,>950
116000,Army Bay,Waitemata,Pacific Peoples,44,44,masked,>950,>950
116100,Kumeu Rural East,Waitemata,Pacific Peoples,87,85,masked,>950,>950
116200,Gulf Harbour South,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
116300,Paremoremo West,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
116400,Taupaki,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
116500,Long Bay,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
116600,Paremoremo East,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
116700,Albany Heights,Waitemata,Pacific Peoples,47,47,masked,>950,>950
116800,Awaruku,Waitemata,Pacific Peoples,55,55,masked,>950,>950
116900,Fairview Heights,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
117000,Whenuapai,Waitemata,Pacific Peoples,213,208,masked,>950,>950
117100,Waitakere Ranges North,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
117200,Torbay,Waitemata,Pacific Peoples,63,63,masked,>950,>950
117300,Albany Central,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
117400,Albany West,Waitemata,Pacific Peoples,44,43,masked,masked,masked
117500,Glamorgan,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
