SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake
112900,Orewa South,Waitemata,Maori,133,124,117,932,880
112900,Orewa South,Waitemata,Pacific Peoples,64,55,55,859,859
113000,Orewa Central,Waitemata,Maori,151,141,138,934,914
113000,Orewa Central,Waitemata,Pacific Peoples,69,57,56,826,812
113100,Millwater North,Waitemata,Maori,75,Masked,Masked,>950,>950
113200,Waipatukahu,Waitemata,Maori,155,143,140,923,903
113300,Millwater South,Waitemata,Maori,131,119,113,908,863
113400,Dairy Flat North,Waitemata,Maori,136,113,104,831,765
113500,Dairy Flat West,Waitemata,Maori,53,45,43,849,811
113600,Kingsway,Waitemata,Maori,82,Masked,Masked,>950,>950
113600,Kingsway,Waitemata,Pacific Peoples,44,Masked,Masked,>950,>950
113800,Silverdale Central (Auckland),Waitemata,Maori,49,39,37,796,755
113900,Red Beach West,Waitemata,Maori,107,93,89,869,832
114000,Red Beach East,Waitemata,Maori,185,Masked,169,>950,914
114000,Red Beach East,Waitemata,Pacific Peoples,54,Masked,Masked,>950,>950
114100,Silverdale South (Auckland),Waitemata,Maori,106,85,81,802,764
114200,Waimauku,Waitemata,Maori,82,Masked,76,>950,927
114400,Vipond,Waitemata,Maori,174,156,152,897,874
114400,Vipond,Waitemata,Pacific Peoples,42,Masked,Masked,>950,>950
114500,Muriwai,Waitemata,Maori,85,Masked,Masked,>950,>950
114600,Stanmore Bay West,Waitemata,Maori,185,174,167,941,903
114700,Kumeu Rural West,Waitemata,Maori,104,Masked,95,>950,913
114700,Kumeu Rural West,Waitemata,Pacific Peoples,65,Masked,59,>950,908
114800,Okura Bush,Waitemata,Maori,60,52,48,867,800
114900,Whangaparoa Central,Waitemata,Maori,248,222,213,895,859
114900,Whangaparoa Central,Waitemata,Pacific Peoples,48,41,38,854,792
115000,Kumeu-Huapai,Waitemata,Maori,234,Masked,Masked,>950,>950
115000,Kumeu-Huapai,Waitemata,Pacific Peoples,141,Masked,133,>950,943
115100,Stanmore Bay East,Waitemata,Maori,215,197,188,916,874
115200,Manly West,Waitemata,Maori,153,145,135,948,882
115200,Manly West,Waitemata,Pacific Peoples,46,42,40,913,870
115300,Muriwai Valley-Bethells Beach,Waitemata,Maori,68,63,62,926,912
115400,Tindalls-Matakatia,Waitemata,Maori,94,Masked,89,>950,947
115500,Coatesville,Waitemata,Maori,70,62,57,886,814
115600,Dairy Flat South,Waitemata,Maori,63,52,50,825,794
115700,Gulf Harbour North,Waitemata,Maori,119,Masked,Masked,>950,>950
115700,Gulf Harbour North,Waitemata,Pacific Peoples,47,Masked,Masked,>950,>950
115800,Manly East,Waitemata,Maori,199,172,165,864,829
115800,Manly East,Waitemata,Pacific Peoples,70,53,51,757,729
115900,Riverhead,Waitemata,Maori,176,152,147,864,835
115900,Riverhead,Waitemata,Pacific Peoples,64,Masked,Masked,>950,>950
116000,Army Bay,Waitemata,Maori,64,Masked,Masked,>950,>950
116000,Army Bay,Waitemata,Pacific Peoples,40,Masked,Masked,>950,>950
116100,Kumeu Rural East,Waitemata,Maori,176,155,146,881,830
116100,Kumeu Rural East,Waitemata,Pacific Peoples,91,Masked,82,>950,901
116200,Gulf Harbour South,Waitemata,Maori,60,52,48,867,800
116200,Gulf Harbour South,Waitemata,Pacific Peoples,40,37,36,925,900
116400,Taupaki,Waitemata,Maori,87,Masked,80,>950,920
116600,Paremoremo East,Waitemata,Maori,127,Masked,116,>950,913
116600,Paremoremo East,Waitemata,Pacific Peoples,40,31,30,775,750
116700,Albany Heights,Waitemata,Maori,104,96,92,923,885
116700,Albany Heights,Waitemata,Pacific Peoples,48,Masked,Masked,>950,>950
116800,Awaruku,Waitemata,Maori,124,Masked,Masked,>950,>950
116800,Awaruku,Waitemata,Pacific Peoples,52,Masked,Masked,>950,>950
116900,Fairview Heights,Waitemata,Maori,73,66,63,904,863
117000,Whenuapai,Waitemata,Maori,413,381,369,923,893
