SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake
110400,Cape Rodney,Waitemata,Pacific Peoples,50,40,39,800,780
110500,Wellsford,Waitemata,Maori,291,216,186,742,639
110500,Wellsford,Waitemata,Pacific Peoples,63,54,52,857,825
110700,South Head,Waitemata,Maori,359,301,266,838,741
110700,South Head,Waitemata,Pacific Peoples,51,39,35,765,686
110800,Kaipara Hills,Waitemata,Maori,258,218,191,845,740
110900,Dome Valley-Matakana,Waitemata,Maori,80,66,60,825,750
111100,Warkworth West,Waitemata,Maori,146,120,110,822,753
111100,Warkworth West,Waitemata,Pacific Peoples,93,Masked,Masked,>950,>950
111200,Puhoi Valley,Waitemata,Maori,189,165,147,873,778
111200,Puhoi Valley,Waitemata,Pacific Peoples,55,Masked,Masked,>950,>950
111300,Warkworth East,Waitemata,Maori,196,168,152,857,776
111300,Warkworth East,Waitemata,Pacific Peoples,161,Masked,Masked,>950,>950
111500,Tawharanui Peninsula,Waitemata,Maori,78,67,62,859,795
111600,Te Kuru,Waitemata,Maori,148,137,123,926,831
111700,Snells Beach,Waitemata,Maori,232,208,181,897,780
111700,Snells Beach,Waitemata,Pacific Peoples,104,Masked,95,>950,913
111800,Barrier Islands,Auckland,Maori,167,129,118,772,707
111900,Algies Bay-Scotts Landing,Waitemata,Maori,42,Masked,Masked,>950,>950
112100,Wainui-Waiwera,Waitemata,Maori,96,87,82,906,854
112200,Parakai,Waitemata,Maori,188,162,143,862,761
112300,Helensville Rural,Waitemata,Maori,102,93,87,912,853
112400,Helensville,Waitemata,Maori,404,345,299,854,740
112400,Helensville,Waitemata,Pacific Peoples,101,79,74,782,733
112500,Waitoki,Waitemata,Maori,63,55,52,873,825
112600,Waikoukou Valley,Waitemata,Maori,86,80,77,930,895
112700,Orewa North,Waitemata,Maori,163,151,144,926,883
112700,Orewa North,Waitemata,Pacific Peoples,64,60,55,938,859
112800,Hatfields Beach,Waitemata,Maori,101,94,91,931,901
112900,Orewa South,Waitemata,Maori,131,121,115,924,878
112900,Orewa South,Waitemata,Pacific Peoples,64,55,55,859,859
113000,Orewa Central,Waitemata,Maori,153,141,134,922,876
113000,Orewa Central,Waitemata,Pacific Peoples,69,57,54,826,783
113100,Millwater North,Waitemata,Maori,74,Masked,70,>950,946
113200,Waipatukahu,Waitemata,Maori,156,142,135,910,865
113300,Millwater South,Waitemata,Maori,129,114,104,884,806
113400,Dairy Flat North,Waitemata,Maori,138,112,95,812,688
113500,Dairy Flat West,Waitemata,Maori,54,46,44,852,815
113600,Kingsway,Waitemata,Maori,82,Masked,68,>950,829
113600,Kingsway,Waitemata,Pacific Peoples,44,Masked,40,>950,909
113800,Silverdale Central (Auckland),Waitemata,Maori,49,37,37,755,755
113900,Red Beach West,Waitemata,Maori,105,92,82,876,781
114000,Red Beach East,Waitemata,Maori,187,175,164,936,877
114000,Red Beach East,Waitemata,Pacific Peoples,53,Masked,Masked,>950,>950
114100,Silverdale South (Auckland),Waitemata,Maori,105,82,75,781,714
114200,Waimauku,Waitemata,Maori,83,Masked,73,>950,880
114400,Vipond,Waitemata,Maori,177,158,151,893,853
114400,Vipond,Waitemata,Pacific Peoples,44,Masked,Masked,>950,>950
114500,Muriwai,Waitemata,Maori,84,Masked,77,>950,917
114600,Stanmore Bay West,Waitemata,Maori,185,171,154,924,832
114700,Kumeu Rural West,Waitemata,Maori,106,99,90,934,849
114700,Kumeu Rural West,Waitemata,Pacific Peoples,66,Masked,58,>950,879
114800,Okura Bush,Waitemata,Maori,61,51,46,836,754
114900,Whangaparoa Central,Waitemata,Maori,246,217,204,882,829
114900,Whangaparoa Central,Waitemata,Pacific Peoples,49,41,36,837,735
115000,Kumeu-Huapai,Waitemata,Maori,234,Masked,213,>950,910
115000,Kumeu-Huapai,Waitemata,Pacific Peoples,144,Masked,132,>950,917
115100,Stanmore Bay East,Waitemata,Maori,218,197,181,904,830
115200,Manly West,Waitemata,Maori,154,140,121,909,786
115200,Manly West,Waitemata,Pacific Peoples,45,40,33,889,733
115300,Muriwai Valley-Bethells Beach,Waitemata,Maori,68,62,55,912,809
115400,Tindalls-Matakatia,Waitemata,Maori,93,Masked,86,>950,925
115500,Coatesville,Waitemata,Maori,69,61,54,884,783
115600,Dairy Flat South,Waitemata,Maori,61,51,46,836,754
115700,Gulf Harbour North,Waitemata,Maori,117,Masked,107,>950,915
115700,Gulf Harbour North,Waitemata,Pacific Peoples,48,Masked,43,>950,896
115800,Manly East,Waitemata,Maori,199,173,162,869,814
115800,Manly East,Waitemata,Pacific Peoples,71,52,51,732,718
115900,Riverhead,Waitemata,Maori,173,143,128,827,740
115900,Riverhead,Waitemata,Pacific Peoples,65,61,61,938,938
116000,Army Bay,Waitemata,Maori,66,Masked,61,>950,924
116100,Kumeu Rural East,Waitemata,Maori,176,152,138,864,784
116100,Kumeu Rural East,Waitemata,Pacific Peoples,89,83,74,933,831
116200,Gulf Harbour South,Waitemata,Maori,57,48,42.0,842,737
116200,Gulf Harbour South,Waitemata,Pacific Peoples,40,37,36.0,925,900
116400,Taupaki,Waitemata,Maori,87,Masked,80,>950,920
116600,Paremoremo East,Waitemata,Maori,126,119,112,944,889
116600,Paremoremo East,Waitemata,Pacific Peoples,40,30,29,750,725
116700,Albany Heights,Waitemata,Maori,103,96,88,932,854
116700,Albany Heights,Waitemata,Pacific Peoples,45,Masked,42,>950,933
116800,Awaruku,Waitemata,Maori,124,Masked,112,>950,903
116800,Awaruku,Waitemata,Pacific Peoples,51,Masked,Masked,>950,>950
116900,Fairview Heights,Waitemata,Maori,71,64,59,901,831
117000,Whenuapai,Waitemata,Maori,417,385,349,923,837
117000,Whenuapai,Waitemata,Pacific Peoples,205,188,171,917,834
117100,Waitakere Ranges North,Waitemata,Maori,80,Masked,74,>950,925
117200,Torbay,Waitemata,Maori,130,Masked,119,>950,915
117200,Torbay,Waitemata,Pacific Peoples,60,Masked,Masked,>950,>950
117300,Albany Central,Waitemata,Maori,114,96,87,842,763
117400,Albany West,Waitemata,Maori,61,Masked,Masked,>950,>950
117400,Albany West,Waitemata,Pacific Peoples,45,Masked,Masked,>950,>950
117500,Glamorgan,Waitemata,Maori,140,130,124,929,886
117500,Glamorgan,Waitemata,Pacific Peoples,43,Masked,38,>950,884
117600,Oteha East,Waitemata,Maori,72,67,63,931,875
117600,Oteha East,Waitemata,Pacific Peoples,48,37,37,771,771
117700,Northcross,Waitemata,Maori,100,Masked,94,>950,940
117900,Waiake,Waitemata,Maori,125,110,102,880,816
117900,Waiake,Waitemata,Pacific Peoples,50,46,39,920,780
118000,Waitakere,Waitemata,Maori,177,155,142,876,802
118000,Waitakere,Waitemata,Pacific Peoples,70,64,61,914,871
118100,Albany South,Waitemata,Maori,96,89,82,927,854
118100,Albany South,Waitemata,Pacific Peoples,40,Masked,Masked,>950,>950
118200,Browns Bay South West,Waitemata,Maori,129,115,110,891,853
118300,Browns Bay Central,Waitemata,Maori,97,91,91,938,938
118400,Schnapper Rock,Waitemata,Maori,88,80,76,909,864
118500,Pinehill ,Waitemata,Maori,70,63,60,900,857
118600,North Harbour,Waitemata,Maori,71,53,49,746,690
118700,Browns Bay South East,Waitemata,Maori,79,72,70,911,886
118900,Greenhithe West,Waitemata,Maori,116,104,99,897,853
118900,Greenhithe West,Waitemata,Pacific Peoples,41,Masked,38,>950,927
119000,Rothesay Bay,Waitemata,Maori,55,Masked,52,>950,945
119100,Greenhithe East,Waitemata,Maori,94,85,85,904,904
119100,Greenhithe East,Waitemata,Pacific Peoples,40,38,37,950,925
119200,Hobsonville,Waitemata,Maori,59,Masked,Masked,>950,>950
119200,Hobsonville,Waitemata,Pacific Peoples,59,51,49,864,831
119400,Greenhithe South,Waitemata,Maori,70,Masked,Masked,>950,>950
119500,Murrays Bay West,Waitemata,Maori,74,Masked,69,>950,932
119600,Westgate South,Waitemata,Maori,253,211,197.0,834,779
119600,Westgate South,Waitemata,Pacific Peoples,264,222,203.0,841,769
119800,West Harbour West,Waitemata,Maori,559.0,462,384,826,687
119800,West Harbour West,Waitemata,Pacific Peoples,552.0,499,448,904,812
119900,Unsworth Heights West,Waitemata,Maori,57,Masked,Masked,>950,>950
119900,Unsworth Heights West,Waitemata,Pacific Peoples,44,Masked,Masked,>950,>950
120000,Murrays Bay East,Waitemata,Maori,63,Masked,58,>950,921
120100,Birdwood West,Waitemata,Maori,97,87,72,897,742
120100,Birdwood West,Waitemata,Pacific Peoples,44,37,34,841,773
120200,Hobsonville Point,Waitemata,Maori,240,227,221,946,921
120200,Hobsonville Point,Waitemata,Pacific Peoples,153,Masked,143,>950,935
120300,West Harbour Clearwater Cove,Waitemata,Maori,200,Masked,188,>950,940
120300,West Harbour Clearwater Cove,Waitemata,Pacific Peoples,154,Masked,138,>950,896
120400,Unsworth Heights East,Waitemata,Maori,163,154,141,945,865
120400,Unsworth Heights East,Waitemata,Pacific Peoples,109,Masked,99,>950,908
120500,Mairangi Bay North,Waitemata,Maori,85,Masked,77,>950,906
120600,Massey Central,Waitemata,Maori,468,414,348,885,744
120600,Massey Central,Waitemata,Pacific Peoples,659,615,556,933,844
120700,West Harbour Luckens Point,Waitemata,Maori,102,Masked,Masked,>950,>950
120700,West Harbour Luckens Point,Waitemata,Pacific Peoples,87,81,74,931,851
120800,Mairangi Bay South,Waitemata,Maori,90,Masked,82,>950,911
120900,Massey Royal Road West,Waitemata,Maori,370,312,271,843,732
120900,Massey Royal Road West,Waitemata,Pacific Peoples,442,Masked,401,>950,907
121000,Bayview East,Waitemata,Maori,188,170.0,151.0,904,803
121000,Bayview East,Waitemata,Pacific Peoples,167,Masked,156.0,>950,934
121100,Swanson Rural,Waitemata,Maori,192,168,159,875,828
121100,Swanson Rural,Waitemata,Pacific Peoples,68,Masked,62,>950,912
121200,Sunnynook South,Waitemata,Maori,112,101,87.0,902,777
121200,Sunnynook South,Waitemata,Pacific Peoples,81,Masked,Masked,>950,>950
121300,Sunnynook North,Waitemata,Maori,95,90,87,947,916
121300,Sunnynook North,Waitemata,Pacific Peoples,45,42,39,933,867
121400,Bayview West,Waitemata,Maori,125,102,91.0,816,728
121400,Bayview West,Waitemata,Pacific Peoples,91,Masked,Masked,>950,>950
121500,Totara Vale North,Waitemata,Maori,153,136,122,889,797
121500,Totara Vale North,Waitemata,Pacific Peoples,103,94,89,913,864
121600,Royal Heights North,Waitemata,Maori,432,382,332,884,769
121600,Royal Heights North,Waitemata,Pacific Peoples,490,424,396,865,808
121700,Massey West,Waitemata,Maori,182,150,115,824,632
121700,Massey West,Waitemata,Pacific Peoples,216,192,175,889,810
121800,Beach Haven West,Waitemata,Maori,254,230,214,906,843
121800,Beach Haven West,Waitemata,Pacific Peoples,149,Masked,Masked,>950,>950
121900,Totara Vale South,Waitemata,Maori,202,183,172,906,851
121900,Totara Vale South,Waitemata,Pacific Peoples,158,146,140,924,886
122000,Swanson,Waitemata,Maori,282,251,227,890,805
122000,Swanson,Waitemata,Pacific Peoples,224,Masked,203,>950,906
122100,Bayview South,Waitemata,Maori,132,Masked,120,>950,909
122100,Bayview South,Waitemata,Pacific Peoples,120,107,104,892,867
122200,Campbells Bay,Waitemata,Maori,80,Masked,Masked,>950,>950
122300,Royal Heights South,Waitemata,Maori,489,404,349,826,714
122300,Royal Heights South,Waitemata,Pacific Peoples,644,581,534,902,829
122400,Beach Haven East,Waitemata,Maori,592,498,428.0,841,723
122400,Beach Haven East,Waitemata,Pacific Peoples,523,470,430.0,899,822
122500,Massey East,Waitemata,Maori,478,391,339,818,709
122500,Massey East,Waitemata,Pacific Peoples,845,761,693,901,820
122600,Forrest Hill North,Waitemata,Maori,63,58,54,921,857
122700,Glenfield North,Waitemata,Maori,150,132.0,118.0,880,787
122700,Glenfield North,Waitemata,Pacific Peoples,135,124.0,121.0,919,896
122800,Birkdale North,Waitemata,Maori,419,380,342,907,816
122800,Birkdale North,Waitemata,Pacific Peoples,334,Masked,301,>950,901
122900,Massey South,Waitemata,Maori,640,544,499,850,780
122900,Massey South,Waitemata,Pacific Peoples,807,732,680,907,843
123000,Ranui North,Waitemata,Maori,671,571,484,851,721
123000,Ranui North,Waitemata,Pacific Peoples,992,905,835,912,842
123100,Glenfield West,Waitemata,Maori,144,133,128,924,889
123100,Glenfield West,Waitemata,Pacific Peoples,110,Masked,102,>950,927
123200,Te Atatu Peninsula North West,Waitemata,Maori,495,442,394,893,796
123200,Te Atatu Peninsula North West,Waitemata,Pacific Peoples,274,234,222,854,810
123300,Glenfield South West,Waitemata,Maori,177.0,162.0,152.0,915,859
123300,Glenfield South West,Waitemata,Pacific Peoples,168.0,159.0,146.0,946,869
123400,Forrest Hill West,Waitemata,Maori,111,Masked,100,>950,901
123400,Forrest Hill West,Waitemata,Pacific Peoples,97,89,77,918,794
123600,Forrest Hill East,Waitemata,Maori,96,86,82,896,854
123600,Forrest Hill East,Waitemata,Pacific Peoples,67,Masked,63,>950,940
123700,Castor Bay,Waitemata,Maori,115,Masked,Masked,>950,>950
123800,Ranui Domain,Waitemata,Maori,615,504,418,820,680
123800,Ranui Domain,Waitemata,Pacific Peoples,666,605,540,908,811
123900,Beach Haven South,Waitemata,Maori,171,Masked,154,>950,901
123900,Beach Haven South,Waitemata,Pacific Peoples,78,74,67,949,859
124000,Glenfield Central,Waitemata,Maori,164,Masked,145,>950,884
124000,Glenfield Central,Waitemata,Pacific Peoples,92,87,78,946,848
124100,Piha,Waitemata,Maori,96,81,79,844,823
124200,Ranui South West,Waitemata,Maori,377,316,280,838,743
124200,Ranui South West,Waitemata,Pacific Peoples,462,434,397,939,859
124300,Henderson Larnoch,Waitemata,Maori,611,530,462,867,756
124300,Henderson Larnoch,Waitemata,Pacific Peoples,916,834,764,910,834
124400,Birkdale South,Waitemata,Maori,320,298,283,931,884
124400,Birkdale South,Waitemata,Pacific Peoples,297,274,264,923,889
124500,Te Atatu Peninsula Central,Waitemata,Maori,550,507,449,922,816
124500,Te Atatu Peninsula Central,Waitemata,Pacific Peoples,427,384,352,899,824
124600,Glenfield East,Waitemata,Maori,100,89.0,82.0,890,820
124600,Glenfield East,Waitemata,Pacific Peoples,81,Masked,Masked,>950,>950
124700,Henderson Valley,Waitemata,Maori,127,110,103,866,811
124700,Henderson Valley,Waitemata,Pacific Peoples,48,Masked,45,>950,938
124800,Te Atatu Peninsula West,Waitemata,Maori,555,502,458,905,825
124800,Te Atatu Peninsula West,Waitemata,Pacific Peoples,424,Masked,368,>950,868
124900,Henderson Lincoln West,Waitemata,Maori,448,369,308,824,688
124900,Henderson Lincoln West,Waitemata,Pacific Peoples,590,537,506,910,858
125000,Ranui South East,Waitemata,Maori,288,245,219,851,760
125000,Ranui South East,Waitemata,Pacific Peoples,441,409,385,927,873
125200,Birkenhead West,Waitemata,Maori,187,Masked,176,>950,941
125200,Birkenhead West,Waitemata,Pacific Peoples,82,Masked,74,>950,902
125300,Te Atatu Peninsula East,Waitemata,Maori,285,264,242,926,849
125300,Te Atatu Peninsula East,Waitemata,Pacific Peoples,233,211,196,906,841
125400,Milford West,Waitemata,Maori,78,Masked,72,>950,923
125500,Westlake,Waitemata,Maori,70,Masked,64,>950,914
125600,Hillcrest North (Auckland),Waitemata,Maori,153,139,131,908,856
125600,Hillcrest North (Auckland),Waitemata,Pacific Peoples,78,70,68,897,872
125700,Henderson Lincoln South,Waitemata,Maori,254,221,204,870,803
125700,Henderson Lincoln South,Waitemata,Pacific Peoples,359,316,298,880,830
125800,Hillcrest West (Auckland),Waitemata,Maori,135,122,112,904,830
125800,Hillcrest West (Auckland),Waitemata,Pacific Peoples,57,51,48,895,842
126000,Summerland South,Waitemata,Maori,181,162,153,895,845
126000,Summerland South,Waitemata,Pacific Peoples,277,242,232,874,838
126100,Summerland North,Waitemata,Maori,150,Masked,132,>950,880
126100,Summerland North,Waitemata,Pacific Peoples,176,Masked,167,>950,949
126200,Hillcrest East (Auckland),Waitemata,Maori,186,176,163,946,876
126200,Hillcrest East (Auckland),Waitemata,Pacific Peoples,83,Masked,Masked,>950,>950
126300,Chatswood,Waitemata,Maori,111,94,89,847,802
126300,Chatswood,Waitemata,Pacific Peoples,60,57,56,950,933
126400,Te Atatu South-Edmonton,Waitemata,Maori,433,384,339,887,783
126400,Te Atatu South-Edmonton,Waitemata,Pacific Peoples,598,522,486,873,813
126500,Birkenhead North,Waitemata,Maori,135,Masked,119,>950,881
126500,Birkenhead North,Waitemata,Pacific Peoples,61,54,51,885,836
126600,Takapuna West,Waitemata,Maori,146,126,117,863,801
126600,Takapuna West,Waitemata,Pacific Peoples,77,70,69,909,896
126700,Henderson North,Waitemata,Maori,451,396,364,878,807
126700,Henderson North,Waitemata,Pacific Peoples,592,536,491,905,829
126800,Takapuna Central,Waitemata,Maori,77,Masked,72,>950,935
126900,Western Heights (Auckland),Waitemata,Maori,331,289,260,873,785
126900,Western Heights (Auckland),Waitemata,Pacific Peoples,456,433,411,950,901
127000,Te Atatu South-Central,Waitemata,Maori,397,372,349,937,879
127000,Te Atatu South-Central,Waitemata,Pacific Peoples,537,487,460,907,857
127100,Northcote Central (Auckland),Waitemata,Maori,185,171,151,924,816
127100,Northcote Central (Auckland),Waitemata,Pacific Peoples,217,202,185,931,853
127200,Akoranga,Waitemata,Maori,98,86.0,79.0,878,806
127200,Akoranga,Waitemata,Pacific Peoples,85,78.0,70.0,918,824
127300,Northcote South (Auckland),Waitemata,Maori,119,110,103,924,866
127300,Northcote South (Auckland),Waitemata,Pacific Peoples,60,Masked,Masked,>950,>950
127400,Birkenhead South,Waitemata,Maori,79,Masked,Masked,>950,>950
127500,Henderson Central,Waitemata,Maori,150.0,129.0,115.0,860,767
127500,Henderson Central,Waitemata,Pacific Peoples,141.0,126.0,113.0,894,801
127600,Waiatarua,Waitemata,Maori,182,163,157,896,863
127600,Waiatarua,Waitemata,Pacific Peoples,67,Masked,60,>950,896
127700,Te Atatu South-McLeod North,Waitemata,Maori,352,317,283,901,804
127700,Te Atatu South-McLeod North,Waitemata,Pacific Peoples,487,450,429,924,881
127800,Henderson Valley Park,Waitemata,Maori,335,293,249,875,743
127800,Henderson Valley Park,Waitemata,Pacific Peoples,563,Masked,497,>950,883
127900,Henderson North East,Waitemata,Maori,228,189,170,829,746
127900,Henderson North East,Waitemata,Pacific Peoples,374,325,302,869,807
128000,Waitakere Ranges South,Waitemata,Maori,85,Masked,80,>950,941
128100,Northcote Tuff Crater,Waitemata,Maori,68.0,Masked,63.0,>950,926
128100,Northcote Tuff Crater,Waitemata,Pacific Peoples,59.0,Masked,Masked,>950,>950
128200,Northcote Point (Auckland),Waitemata,Maori,133,Masked,121,>950,910
128200,Northcote Point (Auckland),Waitemata,Pacific Peoples,66,Masked,Masked,>950,>950
128300,McLaren Park,Waitemata,Maori,516,460,407,891,789
128300,McLaren Park,Waitemata,Pacific Peoples,"1,077",935,863,868,801
128400,Henderson East,Waitemata,Maori,265,238,213,898,804
128400,Henderson East,Waitemata,Pacific Peoples,477,430,402,901,843
128500,Te Atatu South-McLeod South,Waitemata,Maori,381,325,301,853,790
128500,Te Atatu South-McLeod South,Waitemata,Pacific Peoples,556,518,481,932,865
128600,Takapuna South,Waitemata,Maori,46,Masked,Masked,>950,>950
128800,Hauraki,Waitemata,Maori,151,138,133,914,881
128800,Hauraki,Waitemata,Pacific Peoples,49,Masked,45,>950,918
128900,Glendene North,Waitemata,Maori,483,433,390,896,807
128900,Glendene North,Waitemata,Pacific Peoples,983,897,840,913,855
129000,Sunnyvale West-Parrs Park,Waitemata,Maori,305,268,232,879,761
129000,Sunnyvale West-Parrs Park,Waitemata,Pacific Peoples,634,574,523,905,825
129100,Sunnyvale East,Waitemata,Maori,569,514,451,903,793
129100,Sunnyvale East,Waitemata,Pacific Peoples,755,677,620,897,821
129200,Point Chevalier West,Auckland,Maori,221,205,196,928,887
129200,Point Chevalier West,Auckland,Pacific Peoples,185,167,158,903,854
129300,Belmont (Auckland),Waitemata,Maori,153,Masked,140,>950,915
129300,Belmont (Auckland),Waitemata,Pacific Peoples,72,57,51,792,708
129400,Bayswater,Waitemata,Maori,194,178,172,918,887
